Solanaceae,Species,NumberOfSequences
0,canephora,5
0,chinensis,5
0,hallii,5
0,caerulescens,4
0,aestivum,3
0,australis,3
0,bicolor,3
0,dulcis,3
0,impetiginosus,3
0,moellendorffii,3
0,oleracea,3
0,oligosanthes,3
0,persica,3
0,sativa,3
0,tauschii,3
0,aurea,2
0,campestris,2
0,comosus,2
0,esculenta,2
0,hybrid,2
0,italica,2
0,mays,2
0,perrieri,2
0,thaliana,2
0,truncatula,2
0,andersonii,1
0,arietinum,1
0,barthii,1
0,brachyantha,1
0,carota,1
0,catenatum,1
0,communis,1
0,cretica,1
0,curcas,1
0,distachyon,1
0,europaea,1
0,glaberrima,1
0,glumipatula,1
0,granatum,1
0,grandis,1
0,guttata,1
0,hygrometricum,1
0,lyrata,1
0,meridionalis,1
0,miliaceum,1
0,nivara,1
0,notabilis,1
0,orientale,1
0,pruriens,1
0,punctata,1
0,rapa,1
0,regia,1
0,rubella,1
0,rufipogon,1
0,shenzhenica,1
0,sylvatica,1
0,trichocarpa,1
0,turgidum,1
0,urartu,1
0,vinifera,1
0,viridis,1
0,vulgare,1
0,yedoensis,1
1,annuum,16
1,tuberosum,12
1,tabacum,8
1,baccatum,6
1,chinense,6
1,sylvestris,4
1,attenuata,3
1,americanum,2
1,lycopersicum,2
1,melongena,1
