DomainType,Organisms,NumberOfOccurrence
1,Capsicum annuum (Capsicum pepper),68
1,Nicotiana tabacum (Common tobacco),24
1,Solanum tuberosum (Potato),21
1,Nicotiana sylvestris (Wood tobacco) (South American tobacco),14
1,Nicotiana attenuata (Coyote tobacco),13
1,Capsicum chinense (Scotch bonnet) (Bonnet pepper),12
1,Solanum lycopersicum (Tomato) (Lycopersicon esculentum),11
1,Capsicum baccatum (Peruvian pepper),10
1,Nicotiana obtusifolia,7
1,Nicotiana acuminata (Acuminate tobacco),6
1,Nicotiana glutinosa (Tobacco),6
1,Nicotiana alata (Winged tobacco) (Persian tobacco),5
1,Nicotiana clevelandii (Wild tobacco),5
1,Nicotiana miersii,5
1,Nicotiana occidentalis subsp. hesperis,5
1,Nicotiana pauciflora,5
1,Nicotiana repanda,5
1,Nicotiana rustica (Aztec tobacco),5
1,Nicotiana linearis,4
1,Nicotiana megalosiphon,4
1,Nicotiana quadrivalvis,4
1,Nicotiana simulans,4
1,Nicotiana spegazzinii,4
1,Nicotiana umbratica,4
1,Nicotiana benthamiana,3
1,Solanum chacoense (Chaco potato),3
1,Solanum americanum (American black nightshade) (Solanum nodiflorum),2
1,Solanum nigrum (Black nightshade),2
1,Nicotiana cavicola,1
1,Nicotiana corymbosa,1
1,Solanum melongena (Eggplant) (Aubergine),1
1,Solanum phureja,1
2,Capsicum annuum (Capsicum pepper),49
2,Nicotiana tabacum (Common tobacco),35
2,Solanum tuberosum (Potato),26
2,Nicotiana sylvestris (Wood tobacco) (South American tobacco),19
2,Solanum lycopersicum (Tomato) (Lycopersicon esculentum),19
2,Capsicum chinense (Scotch bonnet) (Bonnet pepper),13
2,Nicotiana attenuata (Coyote tobacco),11
2,Capsicum baccatum (Peruvian pepper),10
2,Nicotiana acuminata (Acuminate tobacco),7
2,Nicotiana glutinosa (Tobacco),7
2,Nicotiana obtusifolia,7
2,Nicotiana occidentalis subsp. hesperis,6
2,Nicotiana repanda,6
2,Nicotiana alata (Winged tobacco) (Persian tobacco),5
2,Nicotiana clevelandii (Wild tobacco),5
2,Nicotiana linearis,5
2,Nicotiana megalosiphon,5
2,Nicotiana miersii,5
2,Nicotiana pauciflora,5
2,Nicotiana quadrivalvis,5
2,Nicotiana rustica (Aztec tobacco),5
2,Nicotiana simulans,5
2,Nicotiana spegazzinii,5
2,Nicotiana umbratica,5
2,Nicotiana benthamiana,4
2,Solanum americanum (American black nightshade) (Solanum nodiflorum),4
2,Solanum chacoense (Chaco potato),4
2,Solanum nigrum (Black nightshade),4
2,Nicotiana cavicola,2
2,Nicotiana corymbosa,2
2,Solanum phureja,1
3,Solanum tuberosum (Potato),34
3,Capsicum annuum (Capsicum pepper),16
3,Capsicum chinense (Scotch bonnet) (Bonnet pepper),16
3,Solanum lycopersicum (Tomato) (Lycopersicon esculentum),14
3,Capsicum baccatum (Peruvian pepper),12
3,Nicotiana tabacum (Common tobacco),11
3,Selaginella moellendorffii (Spikemoss),10
3,Nicotiana sylvestris (Wood tobacco) (South American tobacco),6
3,Solanum chacoense (Chaco potato),6
3,Coffea canephora (Robusta coffee),5
3,Rosa chinensis (China rose),5
3,Solanum nigrum (Black nightshade),5
3,Nicotiana attenuata (Coyote tobacco),4
3,Cuscuta australis,3
3,Dichanthelium oligosanthes,3
3,Sorghum bicolor (Sorghum) (Sorghum vulgare),3
3,Triticum aestivum (Wheat),3
3,Aegilops tauschii subsp. strangulata (Goatgrass),2
3,Ananas comosus (Pineapple) (Ananas ananas),2
3,Genlisea aurea,2
3,Handroanthus impetiginosus,2
3,Leersia perrieri,2
3,Manihot esculenta (Cassava) (Jatropha manihot),2
3,Medicago truncatula (Barrel medic) (Medicago tribuloides),2
3,Panicum hallii var. hallii,2
3,Prunus dulcis (Almond) (Amygdalus dulcis),2
3,Prunus persica (Peach) (Amygdalus persica),2
3,Saccharum hybrid cultivar R570,2
3,Setaria italica (Foxtail millet) (Panicum italicum),2
3,Zea mays (Maize),2
3,Aegilops tauschii (Tausch's goatgrass) (Aegilops squarrosa),1
3,Apostasia shenzhenica,1
3,Arabidopsis lyrata subsp. lyrata (Lyre-leaved rock-cress),1
3,Arabidopsis thaliana (Mouse-ear cress),1
3,Brachypodium distachyon (Purple false brome) (Trachynia distachya),1
3,Brassica campestris (Field mustard),1
3,Brassica cretica (Mustard),1
3,Brassica oleracea (Wild cabbage),1
3,Brassica oleracea var. oleracea,1
3,Brassica rapa subsp. pekinensis (Chinese cabbage) (Brassica pekinensis),1
3,Capsella rubella,1
3,Cicer arietinum (Chickpea) (Garbanzo),1
3,Cuscuta campestris,1
3,Daucus carota subsp. sativus (Carrot),1
3,Dendrobium catenatum,1
3,Dorcoceras hygrometricum,1
3,Erythranthe guttata (Yellow monkey flower) (Mimulus guttatus),1
3,Eucalyptus grandis (Flooded gum),1
3,Fagus sylvatica (Beechnut),1
3,Hordeum vulgare subsp. vulgare (Domesticated barley),1
3,Jatropha curcas (Barbados nut),1
3,Juglans regia (English walnut),1
3,Morus notabilis,1
3,Mucuna pruriens (Velvet bean) (Dolichos pruriens),1
3,Noccaea caerulescens (Alpine penny-cress) (Thlaspi caerulescens),1
3,Olea europaea (Common olive),1
3,Oryza barthii,1
3,Oryza brachyantha,1
3,Oryza glaberrima (African rice),1
3,Oryza glumipatula,1
3,Oryza meridionalis,1
3,Oryza nivara (Indian wild rice) (Oryza sativa f. spontanea),1
3,Oryza punctata (Red rice),1
3,Oryza rufipogon (Brownbeard rice) (Asian wild rice),1
3,Oryza sativa subsp. indica (Rice),1
3,Oryza sativa subsp. japonica (Rice),1
3,Panicum hallii,1
3,Panicum miliaceum (Proso millet) (Broomcorn millet),1
3,Parasponia andersonii (Sponia andersonii),1
3,Populus trichocarpa (Western balsam poplar) (Populus balsamifera subsp. trichocarpa),1
3,Prunus yedoensis var. nudiflora,1
3,Punica granatum (Pomegranate),1
3,Ricinus communis (Castor bean),1
3,Setaria viridis (Green bristlegrass) (Setaria italica subsp. viridis),1
3,Solanum americanum (American black nightshade) (Solanum nodiflorum),1
3,Solanum phureja,1
3,Spinacia oleracea (Spinach),1
3,Triticum turgidum subsp. durum (Durum wheat) (Triticum durum),1
3,Triticum urartu (Red wild einkorn) (Crithodium urartu),1
3,Vitis vinifera (Grape),1
