Organism,CysteineCount,NumberOfSequences
Aegilops tauschii (Tausch's goatgrass) (Aegilops squarrosa),11,1
Aegilops tauschii subsp. strangulata (Goatgrass),9,1
Aegilops tauschii subsp. strangulata (Goatgrass),11,1
Ananas comosus (Pineapple) (Ananas ananas),8,3
Apostasia shenzhenica,10,1
Arabidopsis lyrata subsp. lyrata (Lyre-leaved rock-cress),8,1
Arabidopsis thaliana (Mouse-ear cress),8,2
Arachis hypogaea (Peanut),8,2
Arachis hypogaea (Peanut),9,2
Atropa belladonna (Belladonna) (Deadly nightshade),8,1
Brachypodium distachyon (Purple false brome) (Trachynia distachya),8,1
Brachypodium distachyon (Purple false brome) (Trachynia distachya),9,1
Brassica campestris (Field mustard),8,1
Brassica cretica (Mustard),8,1
Brassica oleracea (Wild cabbage),8,1
Brassica oleracea var. oleracea,8,1
Brassica rapa subsp. pekinensis (Chinese cabbage) (Brassica pekinensis),8,1
Camellia sinensis var. sinensis,24,1
Capsella rubella,8,1
Capsicum annuum (Capsicum pepper),25,42
Capsicum annuum (Capsicum pepper),17,13
Capsicum annuum (Capsicum pepper),9,10
Capsicum annuum (Capsicum pepper),24,10
Capsicum annuum (Capsicum pepper),33,7
Capsicum annuum (Capsicum pepper),8,6
Capsicum annuum (Capsicum pepper),26,3
Capsicum annuum (Capsicum pepper),4,1
Capsicum annuum (Capsicum pepper),12,1
Capsicum annuum (Capsicum pepper),15,1
Capsicum annuum (Capsicum pepper),16,1
Capsicum annuum (Capsicum pepper),19,1
Capsicum annuum (Capsicum pepper),32,1
Capsicum annuum (Capsicum pepper),34,1
Capsicum annuum (Capsicum pepper),50,1
Capsicum baccatum (Peruvian pepper),9,3
Capsicum baccatum (Peruvian pepper),24,3
Capsicum baccatum (Peruvian pepper),8,2
Capsicum baccatum (Peruvian pepper),10,1
Capsicum baccatum (Peruvian pepper),25,1
Capsicum baccatum (Peruvian pepper),33,1
Capsicum chinense (Scotch bonnet) (Bonnet pepper),8,3
Capsicum chinense (Scotch bonnet) (Bonnet pepper),9,2
Capsicum chinense (Scotch bonnet) (Bonnet pepper),22,2
Capsicum chinense (Scotch bonnet) (Bonnet pepper),24,2
Capsicum chinense (Scotch bonnet) (Bonnet pepper),33,2
Capsicum chinense (Scotch bonnet) (Bonnet pepper),10,1
Capsicum chinense (Scotch bonnet) (Bonnet pepper),25,1
Cicer arietinum (Chickpea) (Garbanzo),8,1
Coffea canephora (Robusta coffee),9,6
Cuscuta australis,8,3
Cuscuta australis,9,1
Cuscuta campestris,9,2
Cuscuta campestris,10,2
Daucus carota subsp. sativus (Carrot),21,1
Dendrobium catenatum,9,1
Dichanthelium oligosanthes,9,2
Dichanthelium oligosanthes,8,1
Dichanthelium oligosanthes,10,1
Dorcoceras hygrometricum,8,1
Eragrostis curvula (weeping love grass),9,1
Eragrostis curvula (weeping love grass),10,1
Eragrostis curvula (weeping love grass),11,1
Erythranthe guttata (Yellow monkey flower) (Mimulus guttatus),8,1
Eucalyptus grandis (Flooded gum),11,1
Fagus sylvatica (Beechnut),38,1
Genlisea aurea,8,1
Genlisea aurea,13,1
Handroanthus impetiginosus,9,2
Handroanthus impetiginosus,8,1
Hordeum vulgare subsp. vulgare (Domesticated barley),10,1
Jatropha curcas (Barbados nut),8,1
Juglans regia (English walnut),8,1
Leersia perrieri,9,1
Leersia perrieri,10,1
Lupinus angustifolius (Narrow-leaved blue lupine),16,1
Manihot esculenta (Cassava) (Jatropha manihot),8,2
Medicago truncatula (Barrel medic) (Medicago tribuloides),9,2
Morus notabilis,11,1
Mucuna pruriens (Velvet bean) (Dolichos pruriens),9,1
Musa balbisiana (Banana),8,1
Nicotiana acuminata (Acuminate tobacco),56,1
Nicotiana alata (Winged tobacco) (Persian tobacco),32,1
Nicotiana alata (Winged tobacco) (Persian tobacco),48,1
Nicotiana attenuata (Coyote tobacco),8,3
Nicotiana attenuata (Coyote tobacco),9,2
Nicotiana attenuata (Coyote tobacco),3,1
Nicotiana attenuata (Coyote tobacco),24,1
Nicotiana attenuata (Coyote tobacco),40,1
Nicotiana attenuata (Coyote tobacco),45,1
Nicotiana attenuata (Coyote tobacco),48,1
Nicotiana attenuata (Coyote tobacco),56,1
Nicotiana benthamiana,32,1
Nicotiana cavicola,16,1
Nicotiana clevelandii (Wild tobacco),48,1
Nicotiana corymbosa,16,1
Nicotiana glutinosa (Tobacco),48,1
Nicotiana glutinosa (Tobacco),64,1
Nicotiana linearis,40,1
Nicotiana megalosiphon,40,1
Nicotiana miersii,48,1
Nicotiana obtusifolia,63,2
Nicotiana occidentalis subsp. hesperis,48,1
Nicotiana pauciflora,48,1
Nicotiana quadrivalvis,48,1
Nicotiana repanda,48,1
Nicotiana rustica (Aztec tobacco),56,1
Nicotiana simulans,40,1
Nicotiana spegazzinii,40,1
Nicotiana sylvestris (Wood tobacco) (South American tobacco),8,3
Nicotiana sylvestris (Wood tobacco) (South American tobacco),24,2
Nicotiana sylvestris (Wood tobacco) (South American tobacco),9,1
Nicotiana sylvestris (Wood tobacco) (South American tobacco),22,1
Nicotiana sylvestris (Wood tobacco) (South American tobacco),48,1
Nicotiana sylvestris (Wood tobacco) (South American tobacco),56,1
Nicotiana sylvestris (Wood tobacco) (South American tobacco),88,1
Nicotiana tabacum (Common tobacco),8,6
Nicotiana tabacum (Common tobacco),48,6
Nicotiana tabacum (Common tobacco),24,2
Nicotiana tabacum (Common tobacco),32,2
Nicotiana tabacum (Common tobacco),7,1
Nicotiana tabacum (Common tobacco),9,1
Nicotiana tabacum (Common tobacco),10,1
Nicotiana tabacum (Common tobacco),16,1
Nicotiana tabacum (Common tobacco),42,1
Nicotiana tabacum (Common tobacco),50,1
Nicotiana umbratica,40,1
Noccaea caerulescens (Alpine penny-cress) (Thlaspi caerulescens),8,4
Olea europaea (Common olive),9,1
Oryza barthii,9,1
Oryza brachyantha,10,1
Oryza glaberrima (African rice),9,1
Oryza glumipatula,9,1
Oryza meridionalis,9,1
Oryza nivara (Indian wild rice) (Oryza sativa f. spontanea),9,1
Oryza punctata (Red rice),9,1
Oryza rufipogon (Brownbeard rice) (Asian wild rice),9,1
Oryza sativa subsp. indica (Rice),9,1
Oryza sativa subsp. japonica (Rice),9,2
Panicum hallii,9,1
Panicum hallii var. hallii,9,2
Panicum hallii var. hallii,10,1
Panicum hallii var. hallii,11,1
Panicum miliaceum (Proso millet) (Broomcorn millet),6,1
Panicum miliaceum (Proso millet) (Broomcorn millet),8,1
Panicum miliaceum (Proso millet) (Broomcorn millet),10,1
Parasponia andersonii (Sponia andersonii),8,1
Populus alba (White poplar),12,1
Populus trichocarpa (Western balsam poplar) (Populus balsamifera subsp. trichocarpa),8,1
Prunus dulcis (Almond) (Amygdalus dulcis),8,2
Prunus dulcis (Almond) (Amygdalus dulcis),9,1
Prunus persica (Peach) (Amygdalus persica),8,2
Prunus persica (Peach) (Amygdalus persica),9,1
Prunus yedoensis var. nudiflora,9,1
Punica granatum (Pomegranate),9,1
Ricinus communis (Castor bean),8,1
Rosa chinensis (China rose),9,4
Rosa chinensis (China rose),10,1
Saccharum hybrid cultivar R570,7,1
Saccharum hybrid cultivar R570,9,1
Salvia splendens (Scarlet sage),10,1
Selaginella moellendorffii (Spikemoss),24,6
Selaginella moellendorffii (Spikemoss),15,1
Setaria italica (Foxtail millet) (Panicum italicum),10,1
Setaria italica (Foxtail millet) (Panicum italicum),11,1
Setaria viridis (Green bristlegrass) (Setaria italica subsp. viridis),10,1
Solanum americanum (American black nightshade) (Solanum nodiflorum),8,1
Solanum americanum (American black nightshade) (Solanum nodiflorum),9,1
Solanum americanum (American black nightshade) (Solanum nodiflorum),16,1
Solanum americanum (American black nightshade) (Solanum nodiflorum),17,1
Solanum chacoense (Chaco potato),16,2
Solanum chacoense (Chaco potato),17,2
Solanum chacoense (Chaco potato),11,1
Solanum lycopersicum (Tomato) (Lycopersicon esculentum),24,6
Solanum lycopersicum (Tomato) (Lycopersicon esculentum),16,4
Solanum lycopersicum (Tomato) (Lycopersicon esculentum),9,3
Solanum lycopersicum (Tomato) (Lycopersicon esculentum),15,2
Solanum lycopersicum (Tomato) (Lycopersicon esculentum),7,1
Solanum lycopersicum (Tomato) (Lycopersicon esculentum),10,1
