OrganismID,RCLID,Occurrences
3476,RL-12,1
3562,RL-12,1
3694,RL-27,1
3702,RL-27,2
3711,RL-27,1
3712,RL-27,1
3755,RL-33,2
3755,RL-42,1
3760,RL-33,2
3760,RL-42,1
3827,RL-39,1
3880,RL-12,2
3983,RL-27,2
3988,RL-27,1
4072,RL-1,188
4072,RL-6,88
4072,RL-3,81
4072,RL-9,16
4072,RL-11,12
4072,RL-4,6
4072,RL-18,4
4072,RL-25,4
4072,RL-22,3
4072,RL-10,2
4072,RL-12,2
4072,RL-19,2
4072,RL-28,2
4072,RL-36,2
4072,RL-38,2
4072,RL-40,1
4072,RL-43,1
4081,RL-10,12
4081,RL-7,11
4081,RL-1,7
4081,RL-4,7
4081,RL-20,4
4081,RL-23,4
4081,RL-46,4
4081,RL-19,3
4081,RL-2,2
4081,RL-49,2
4081,RL-5,2
4081,RL-12,1
4086,RL-1,12
4086,RL-5,1
4087,RL-1,12
4087,RL-3,6
4093,RL-1,8
4093,RL-3,5
4096,RL-1,41
4096,RL-3,6
4096,RL-12,2
4096,RL-2,2
4096,RL-24,2
4096,RL-30,2
4096,RL-32,2
4096,RL-10,1
4096,RL-37,1
4096,RL-43,1
4096,RL-45,1
4096,RL-51,1
4097,RL-1,77
4097,RL-3,10
4097,RL-2,7
4097,RL-5,5
4097,RL-12,4
4097,RL-24,4
4097,RL-30,4
4097,RL-10,2
4097,RL-14,2
4097,RL-32,2
4097,RL-37,2
4097,RL-43,2
4097,RL-54,1
4100,RL-1,4
4100,RL-8,2
4100,RL-4,1
4108,RL-2,4
4108,RL-13,2
4108,RL-20,2
4108,RL-50,2
4108,RL-11,1
4108,RL-17,1
4108,RL-9,1
4111,RL-1,1
4112,RL-1,6
4112,RL-4,3
4112,RL-27,2
4112,RL-8,2
4113,RL-2,30
4113,RL-1,25
4113,RL-9,22
4113,RL-13,19
4113,RL-20,4
4113,RL-36,4
4113,RL-10,3
4113,RL-12,3
4113,RL-26,3
4113,RL-11,2
4113,RL-14,2
4113,RL-18,2
4113,RL-34,2
4113,RL-5,2
4113,RL-50,2
4113,RL-17,1
4113,RL-19,1
4113,RL-30,1
4113,RL-4,1
4113,RL-48,1
4146,RL-10,1
4155,RL-27,1
4529,RL-12,1
4533,RL-12,1
4536,RL-12,1
4537,RL-12,1
4538,RL-12,1
4540,RL-44,1
4555,RL-44,2
4556,RL-44,1
4558,RL-27,1
4558,RL-33,1
4558,RL-62,1
4565,RL-33,2
4565,RL-59,1
4567,RL-33,1
4572,RL-33,1
4577,RL-12,2
4615,RL-33,2
15368,RL-33,1
22663,RL-33,1
28930,RL-27,1
29760,RL-27,1
33114,RL-1,5
33114,RL-6,4
33114,RL-9,4
33114,RL-10,2
33114,RL-18,2
33114,RL-21,2
33114,RL-29,2
33114,RL-31,2
33114,RL-47,2
33114,RL-11,1
33114,RL-12,1
33114,RL-36,1
33114,RL-37,1
33114,RL-38,1
33114,RL-4,1
33114,RL-40,1
33114,RL-43,1
35889,RL-1,22
35889,RL-2,4
37682,RL-59,1
39946,RL-12,1
39947,RL-12,2
40148,RL-12,1
40149,RL-12,1
49390,RL-33,2
49390,RL-41,1
49390,RL-52,1
49390,RL-53,1
49451,RL-1,43
49451,RL-12,2
49451,RL-24,2
49451,RL-10,1
49451,RL-30,1
49451,RL-37,1
49451,RL-43,1
51240,RL-27,1
51351,RL-27,1
65489,RL-12,1
69181,RL-27,1
71139,RL-41,1
74649,RL-39,2
74649,RL-12,1
74649,RL-40,1
74649,RL-55,1
76336,RL-2,6
76336,RL-1,2
76336,RL-16,2
76336,RL-7,1
77586,RL-12,2
79200,RL-57,1
80379,RL-1,10
80379,RL-3,5
80379,RL-9,4
80379,RL-21,3
80379,RL-29,3
80379,RL-10,2
80379,RL-18,2
80379,RL-22,2
80379,RL-25,2
80379,RL-6,2
80379,RL-11,1
80379,RL-19,1
80379,RL-36,1
80379,RL-37,1
80379,RL-38,1
80379,RL-40,1
80379,RL-43,1
81866,RL-1,11
81972,RL-27,1
81985,RL-27,1
88036,RL-39,4
88036,RL-4,3
88036,RL-9,2
88036,RL-33,1
88036,RL-60,1
107243,RL-27,4
109376,RL-27,1
109975,RL-4,5
109975,RL-35,2
109975,RL-8,2
112509,RL-33,1
118690,RL-8,2
118690,RL-4,1
118701,RL-1,9
118703,RL-1,6
118703,RL-8,2
118703,RL-4,1
118704,RL-1,10
118704,RL-7,1
118709,RL-1,6
118709,RL-8,2
118709,RL-4,1
118712,RL-1,6
118712,RL-8,2
118712,RL-4,1
131158,RL-58,1
131158,RL-61,1
132261,RL-9,1
157652,RL-40,1
172790,RL-1,2
172790,RL-9,1
180498,RL-27,1
192259,RL-35,1
192259,RL-56,1
200300,RL-1,7
200300,RL-17,2
200301,RL-1,2
200301,RL-5,1
200306,RL-1,6
200306,RL-4,3
200306,RL-15,2
200315,RL-1,10
200315,RL-5,1
200316,RL-1,26
200316,RL-5,4
200361,RL-33,1
200361,RL-59,1
206008,RL-33,1
267555,RL-1,1
267555,RL-18,1
267555,RL-9,1
278839,RL-1,11
429701,RL-27,3
472368,RL-27,1
888268,RL-12,1
888268,RL-27,1
888268,RL-33,1
906689,RL-33,1
981085,RL-33,1
1088818,RL-27,1
1504633,RL-33,2
1504633,RL-44,2
2094558,RL-42,1
