OrganismID,LinkerID,Occurrences
4072,L-5,196
4072,L-33,123
4072,L-8,13
4072,L-42,10
4072,L-3,6
4072,L-44,6
4072,L-67,6
4072,L-68,6
4072,L-9,3
4072,L-16,2
4072,L-23,2
4072,L-37,2
4072,L-46,2
4072,L-73,2
4072,L-75,2
4072,L-10,1
4072,L-12,1
4072,L-15,1
4072,L-19,1
4072,L-38,1
4072,L-51,1
4072,L-57,1
4072,L-72,1
4072,L-76,1
4081,L-21,5
4081,L-48,5
4081,L-16,3
4081,L-66,3
4081,L-71,3
4081,L-3,2
4081,L-47,2
4081,L-54,2
4081,L-64,2
4081,L-74,2
4081,L-75,2
4081,L-11,1
4081,L-13,1
4081,L-24,1
4081,L-45,1
4081,L-46,1
4081,L-58,1
4081,L-62,1
4081,L-65,1
4086,L-1,6
4086,L-29,4
4086,L-27,2
4086,L-25,1
4087,L-25,10
4087,L-1,5
4087,L-3,3
4093,L-1,6
4093,L-25,5
4093,L-26,2
4096,L-1,23
4096,L-25,19
4096,L-27,2
4096,L-28,2
4096,L-29,2
4096,L-65,2
4096,L-24,1
4096,L-3,1
4096,L-39,1
4096,L-55,1
4096,L-56,1
4096,L-78,1
4097,L-1,38
4097,L-25,25
4097,L-26,16
4097,L-4,7
4097,L-65,4
4097,L-24,2
4097,L-27,2
4097,L-29,2
4097,L-3,2
4097,L-30,2
4097,L-50,2
4097,L-55,2
4097,L-56,2
4097,L-78,2
4097,L-31,1
4097,L-39,1
4100,L-1,3
4100,L-25,3
4100,L-43,1
4108,L-47,2
4108,L-1,1
4108,L-13,1
4108,L-3,1
4108,L-73,1
4108,L-77,1
4111,L-17,1
4112,L-36,2
4112,L-47,2
4112,L-1,1
4112,L-3,1
4113,L-47,20
4113,L-3,17
4113,L-13,13
4113,L-56,6
4113,L-1,2
4113,L-16,2
4113,L-71,2
4113,L-14,1
4113,L-18,1
4113,L-45,1
4113,L-46,1
4113,L-52,1
4113,L-65,1
4113,L-68,1
4113,L-69,1
4113,L-70,1
4113,L-73,1
4113,L-75,1
4113,L-77,1
33114,L-5,6
33114,L-33,3
33114,L-42,2
33114,L-16,1
33114,L-22,1
33114,L-3,1
33114,L-44,1
33114,L-46,1
33114,L-53,1
33114,L-67,1
33114,L-68,1
33114,L-75,1
33114,L-8,1
35889,L-25,6
35889,L-27,6
35889,L-1,4
35889,L-2,4
35889,L-3,4
35889,L-40,2
49451,L-1,18
49451,L-25,18
49451,L-27,2
49451,L-6,2
49451,L-24,1
49451,L-29,1
49451,L-3,1
49451,L-55,1
49451,L-56,1
49451,L-78,1
76336,L-1,4
76336,L-25,3
76336,L-39,1
76336,L-41,1
76336,L-43,1
76336,L-5,1
80379,L-5,6
80379,L-3,3
80379,L-33,3
80379,L-42,2
80379,L-16,1
80379,L-22,1
80379,L-23,1
80379,L-35,1
80379,L-46,1
80379,L-53,1
80379,L-67,1
80379,L-68,1
80379,L-72,1
80379,L-73,1
80379,L-75,1
80379,L-8,1
81866,L-1,5
81866,L-25,3
81866,L-26,2
81866,L-29,1
109975,L-49,3
109975,L-47,2
109975,L-1,1
109975,L-3,1
109975,L-78,1
118690,L-25,2
118690,L-1,1
118701,L-1,3
118701,L-25,2
118701,L-27,1
118701,L-3,1
118701,L-30,1
118701,L-34,1
118703,L-1,4
118703,L-25,3
118703,L-43,1
118703,L-61,1
118704,L-25,5
118704,L-1,4
118704,L-3,1
118704,L-32,1
118709,L-1,4
118709,L-25,4
118709,L-43,1
118712,L-25,5
118712,L-1,4
172790,L-3,1
172790,L-47,1
200300,L-25,3
200300,L-1,2
200300,L-27,1
200300,L-3,1
200300,L-30,1
200300,L-7,1
200301,L-1,1
200301,L-25,1
200301,L-29,1
200306,L-1,5
200306,L-25,5
200306,L-43,1
200315,L-25,6
200315,L-1,5
200316,L-1,10
200316,L-25,10
200316,L-26,6
200316,L-20,2
200316,L-3,2
278839,L-1,5
278839,L-25,3
278839,L-26,2
278839,L-29,1
