LinkerID,OrganismID,Occurrences
L-1,4097,38
L-1,4096,23
L-1,49451,18
L-1,200316,10
L-1,4086,6
L-1,4093,6
L-1,4087,5
L-1,81866,5
L-1,200306,5
L-1,200315,5
L-1,278839,5
L-1,35889,4
L-1,76336,4
L-1,118703,4
L-1,118704,4
L-1,118709,4
L-1,118712,4
L-1,4100,3
L-1,118701,3
L-1,4113,2
L-1,200300,2
L-1,4108,1
L-1,4112,1
L-1,109975,1
L-1,118690,1
L-1,200301,1
L-10,4072,1
L-11,4081,1
L-12,4072,1
L-13,4113,13
L-13,4081,1
L-13,4108,1
L-14,4113,1
L-15,4072,1
L-16,4081,3
L-16,4072,2
L-16,4113,2
L-16,33114,1
L-16,80379,1
L-17,4111,1
L-18,4113,1
L-19,4072,1
L-2,35889,4
L-20,200316,2
L-21,4081,5
L-22,33114,1
L-22,80379,1
L-23,4072,2
L-23,80379,1
L-24,4097,2
L-24,4081,1
L-24,4096,1
L-24,49451,1
L-25,4097,25
L-25,4096,19
L-25,49451,18
L-25,4087,10
L-25,200316,10
L-25,35889,6
L-25,200315,6
L-25,4093,5
L-25,118704,5
L-25,118712,5
L-25,200306,5
L-25,118709,4
L-25,4100,3
L-25,76336,3
L-25,81866,3
L-25,118703,3
L-25,200300,3
L-25,278839,3
L-25,118690,2
L-25,118701,2
L-25,4086,1
L-25,200301,1
L-26,4097,16
L-26,200316,6
L-26,4093,2
L-26,81866,2
L-26,278839,2
L-27,35889,6
L-27,4086,2
L-27,4096,2
L-27,4097,2
L-27,49451,2
L-27,118701,1
L-27,200300,1
L-28,4096,2
L-29,4086,4
L-29,4096,2
L-29,4097,2
L-29,49451,1
L-29,81866,1
L-29,200301,1
L-29,278839,1
L-3,4113,17
L-3,4072,6
L-3,35889,4
L-3,4087,3
L-3,80379,3
L-3,4081,2
L-3,4097,2
L-3,200316,2
L-3,4096,1
L-3,4108,1
L-3,4112,1
L-3,33114,1
L-3,49451,1
L-3,109975,1
L-3,118701,1
L-3,118704,1
L-3,172790,1
L-3,200300,1
L-30,4097,2
L-30,118701,1
L-30,200300,1
L-31,4097,1
L-32,118704,1
L-33,4072,123
L-33,33114,3
L-33,80379,3
L-34,118701,1
L-35,80379,1
L-36,4112,2
L-37,4072,2
L-38,4072,1
L-39,4096,1
L-39,4097,1
L-39,76336,1
L-4,4097,7
L-40,35889,2
L-41,76336,1
L-42,4072,10
L-42,33114,2
L-42,80379,2
L-43,4100,1
L-43,76336,1
L-43,118703,1
L-43,118709,1
L-43,200306,1
L-44,4072,6
L-44,33114,1
L-45,4081,1
L-45,4113,1
L-46,4072,2
L-46,4081,1
L-46,4113,1
L-46,33114,1
L-46,80379,1
L-47,4113,20
L-47,4081,2
L-47,4108,2
L-47,4112,2
L-47,109975,2
L-47,172790,1
L-48,4081,5
L-49,109975,3
L-5,4072,196
L-5,33114,6
L-5,80379,6
L-5,76336,1
L-50,4097,2
L-51,4072,1
L-52,4113,1
L-53,33114,1
L-53,80379,1
L-54,4081,2
L-55,4097,2
L-55,4096,1
L-55,49451,1
L-56,4113,6
L-56,4097,2
L-56,4096,1
L-56,49451,1
L-57,4072,1
L-58,4081,1
L-6,49451,2
L-61,118703,1
L-62,4081,1
L-64,4081,2
L-65,4097,4
L-65,4096,2
L-65,4081,1
L-65,4113,1
L-66,4081,3
L-67,4072,6
L-67,33114,1
L-67,80379,1
L-68,4072,6
L-68,4113,1
L-68,33114,1
L-68,80379,1
L-69,4113,1
L-7,200300,1
L-70,4113,1
L-71,4081,3
L-71,4113,2
L-72,4072,1
L-72,80379,1
L-73,4072,2
L-73,4108,1
L-73,4113,1
L-73,80379,1
L-74,4081,2
L-75,4072,2
L-75,4081,2
L-75,4113,1
L-75,33114,1
L-75,80379,1
L-76,4072,1
L-77,4108,1
L-77,4113,1
L-78,4097,2
L-78,4096,1
L-78,49451,1
L-78,109975,1
L-8,4072,13
L-8,33114,1
L-8,80379,1
L-9,4072,3
