Species,RCL,Occurrences
acuminata,CPRNC,12
acuminata,CPFNC,1
aestivum,CPQYC,2
aestivum,CHQYC,1
alata,CPRNC,12
alata,CTLNC,6
americanum,CTREC,5
americanum,CPLFC,2
americanum,CTFEC,2
andersonii,CPQFC,1
annuum,CPRNC,188
annuum,CPRYC,88
annuum,CTLNC,81
annuum,CTLEC,16
annuum,CPKNC,12
annuum,CTREC,6
annuum,CTQEC,4
annuum,CTQHC,4
annuum,CSRNC,3
annuum,CIQVC,2
annuum,CLQVC,2
annuum,CPQFC,2
annuum,CTKEC,2
annuum,CTMEC,2
annuum,CTPNC,2
annuum,CPQIC,1
annuum,CPRDC,1
arietinum,CPLIC,1
attenuata,CPRNC,43
attenuata,CPQFC,2
attenuata,CTTEC,2
attenuata,CLQFC,1
attenuata,CPRDC,1
attenuata,CTKEC,1
attenuata,CTRNC,1
aurea,CPLFC,1
aurea,CYLIC,1
australis,CPRNC,1
australis,CTLEC,1
australis,CTQEC,1
baccatum,CPRNC,5
baccatum,CPRYC,4
baccatum,CTLEC,4
baccatum,CLGNC,2
baccatum,CPAIC,2
baccatum,CPANC,2
baccatum,CTKEC,2
baccatum,CTLDC,2
baccatum,CTQEC,2
baccatum,CIQVC,1
baccatum,CLQFC,1
baccatum,CLQVC,1
baccatum,CPKNC,1
baccatum,CPQFC,1
baccatum,CPQIC,1
baccatum,CPRDC,1
baccatum,CTREC,1
barthii,CPQFC,1
benthamiana,CPRNC,4
benthamiana,CTFEC,2
benthamiana,CTREC,1
bicolor,CIETC,1
bicolor,CPLYC,1
bicolor,CPQYC,1
brachyantha,CPQFC,1
caerulescens,CPLYC,4
campestris,CPLYC,1
campestris,CTLEC,1
canephora,CPQYC,2
canephora,CPFFC,1
canephora,CPLVC,1
canephora,CPRFC,1
carota,CYLYC,1
catenatum,CPQYC,1
cavicola,CTFEC,2
cavicola,CTREC,1
chacoense,CPLNC,4
chacoense,CSKEC,2
chacoense,CSYEC,2
chacoense,CTQQC,2
chacoense,CPKNC,1
chacoense,CPRIC,1
chacoense,CTLEC,1
chinense,CPRNC,10
chinense,CTLNC,5
chinense,CTLEC,4
chinense,CPAIC,3
chinense,CPANC,3
chinense,CPRYC,2
chinense,CSRNC,2
chinense,CTKEC,2
chinense,CTQEC,2
chinense,CTQHC,2
chinense,CIQVC,1
chinense,CLQFC,1
chinense,CLQVC,1
chinense,CPKNC,1
chinense,CPQIC,1
chinense,CPRDC,1
chinense,CTMEC,1
chinensis,CPLIC,2
chinensis,CIQIC,1
chinensis,CPQFC,1
chinensis,CPQIC,1
clevelandii,CPRNC,11
communis,CPLYC,1
comosus,CPQYC,2
corymbosa,CPRNC,2
corymbosa,CPFNC,1
cretica,CPLYC,1
curcas,CPLYC,1
distachyon,CPQYC,1
dulcis,CPQYC,2
dulcis,CNKIC,1
esculenta,CPLYC,2
europaea,CTKEC,1
glaberrima,CPQFC,1
glumipatula,CPQFC,1
glutinosa,CPRNC,22
glutinosa,CPLNC,4
granatum,CPQYC,1
grandis,CPLVC,1
guttata,CPLYC,1
hallii,CPQYC,3
hallii,CAMYC,2
hybrid,CIEIC,1
hybrid,CPMYC,1
hygrometricum,CPLYC,1
impetiginosus,CPLYC,3
italica,CAMYC,2
linearis,CPRNC,9
lycopersicum,CTKEC,12
lycopersicum,CTFNC,11
lycopersicum,CPRNC,7
lycopersicum,CTREC,7
lycopersicum,CPKEC,4
lycopersicum,CPSYC,4
lycopersicum,CTQQC,4
lycopersicum,CTMEC,3
lycopersicum,CHLNC,2
lycopersicum,CPFNC,2
lycopersicum,CPLNC,2
lycopersicum,CPQFC,1
lyrata,CPLYC,1
mays,CPQFC,2
megalosiphon,CPRNC,6
megalosiphon,CTFEC,2
megalosiphon,CTREC,1
melongena,CPRNC,1
meridionalis,CPQFC,1
miersii,CPRNC,10
miersii,CTFNC,1
miliaceum,CAMYC,1
moellendorffii,CPLIC,4
moellendorffii,CTREC,3
moellendorffii,CTLEC,2
moellendorffii,CPQYC,1
moellendorffii,CTFKC,1
nigrum,CPRNC,6
nigrum,CTREC,3
nigrum,CPLYC,2
nigrum,CTFEC,2
nivara,CPQFC,1
notabilis,CPQYC,1
obtusifolia,CPRNC,26
obtusifolia,CPFNC,4
occidentalis,CPRNC,6
occidentalis,CTREC,3
occidentalis,CTIEC,2
oleracea,CPLYC,2
oleracea,CPQFC,1
oligosanthes,CPLYC,1
oligosanthes,CPQFC,1
oligosanthes,CPQYC,1
pauciflora,CPRNC,10
pauciflora,CPFNC,1
perrieri,CPQFC,2
persica,CPQYC,2
persica,CNKIC,1
phureja,CPRNC,2
phureja,CTLEC,1
pruriens,CPQIC,1
punctata,CPQFC,1
quadrivalvis,CPRNC,11
rapa,CPLYC,1
regia,CPLYC,1
repanda,CPLNC,6
repanda,CPQNC,2
repanda,CPRNC,2
repanda,CTFNC,1
rubella,CPLYC,1
rufipogon,CPQFC,1
rustica,CPRNC,8
rustica,CTLNC,5
sativa,CPQFC,3
shenzhenica,CPLYC,1
simulans,CPRNC,6
simulans,CTFEC,2
simulans,CTREC,1
spegazzinii,CPRNC,7
spegazzinii,CPRIC,2
sylvatica,CPLYC,1
sylvestris,CPRNC,41
sylvestris,CTLNC,6
sylvestris,CPLNC,2
sylvestris,CPQFC,2
sylvestris,CRRNC,2
sylvestris,CTRNC,2
sylvestris,CTTEC,2
sylvestris,CLQFC,1
sylvestris,CLQKC,1
sylvestris,CPRDC,1
sylvestris,CSFNC,1
sylvestris,CTKEC,1
tabacum,CPRNC,77
tabacum,CTLNC,10
tabacum,CPLNC,7
tabacum,CPFNC,5
tabacum,CPQFC,4
tabacum,CTRNC,4
tabacum,CTTEC,4
tabacum,CLQFC,2
tabacum,CPPNC,2
tabacum,CPRDC,2
tabacum,CRRNC,2
tabacum,CTKEC,2
tabacum,CTQDC,1
tauschii,CHQYC,2
tauschii,CPQYC,1
thaliana,CPLYC,2
trichocarpa,CPLYC,1
truncatula,CPQFC,2
tuberosum,CPLNC,30
tuberosum,CPRNC,25
tuberosum,CTLEC,22
tuberosum,CSKEC,19
tuberosum,CLQVC,4
tuberosum,CTQQC,4
tuberosum,CLQYC,3
tuberosum,CPQFC,3
tuberosum,CTKEC,3
tuberosum,CPFNC,2
tuberosum,CPFYC,2
tuberosum,CPKNC,2
tuberosum,CPPNC,2
tuberosum,CSYEC,2
tuberosum,CTQEC,2
tuberosum,CIREC,1
tuberosum,CPRIC,1
tuberosum,CTMEC,1
tuberosum,CTREC,1
tuberosum,CTRNC,1
turgidum,CPQYC,1
umbratica,CPRNC,6
umbratica,CTFEC,2
umbratica,CTREC,1
urartu,CPQYC,1
vinifera,CPLYC,1
viridis,CAMYC,1
vulgare,CPQYC,1
yedoensis,CNKIC,1
