Genus,Solanaceae,Solanaceae
Aegilops,0,3
Ananas,0,5
Apium,0,1
Apostasia,0,1
Arabidopsis,0,4
Arachis,0,5
Atropa,1,1
Brachypodium,0,2
Brassica,0,5
Camellia,0,1
Capsella,0,1
Capsicum,1,123
Carpinus,0,1
Cicer,0,1
Clostridia,0,1
Coffea,0,8
Cuscuta,0,8
Daucus,0,1
Dendrobium,0,1
Dichanthelium,0,4
Dorcoceras,0,1
Durio,0,2
Eragrostis,0,3
Erythranthe,0,1
Eucalyptus,0,1
Fagus,0,1
Genlisea,0,2
Handroanthus,0,3
Hevea,0,1
Hordeum,0,1
Jatropha,0,1
Leersia,0,2
Lupinus,0,4
Manihot,0,2
Medicago,0,2
Microthlaspi,0,1
Morella,0,3
Morus,0,1
Mucuna,0,1
Musa,0,1
Nicotiana,1,65
Noccaea,0,4
Olea,0,1
Oryza,0,12
Panicum,0,8
Parasponia,0,1
Populus,0,2
Prunus,0,10
Punica,0,1
Raphanus,0,1
Ricinus,0,1
Rosa,0,5
Saccharum,0,2
Salix,0,3
Salvia,0,1
Selaginella,0,7
Setaria,0,3
Solanum,1,99
Sorghum,0,3
Spinacia,0,1
Trema,0,1
Triticum,0,5
Vitis,0,3
Zea,0,2
