Genus,Solanaceae,Solanaceae
Aegilops,0,2
Ananas,0,2
Apostasia,0,1
Arabidopsis,0,2
Brachypodium,0,1
Brassica,0,2
Capsella,0,1
Capsicum,1,184
Cicer,0,1
Coffea,0,5
Cuscuta,0,3
Daucus,0,1
Dendrobium,0,1
Dichanthelium,0,3
Dorcoceras,0,1
Erythranthe,0,1
Eucalyptus,0,1
Fagus,0,1
Genlisea,0,2
Handroanthus,0,2
Hordeum,0,1
Jatropha,0,1
Leersia,0,2
Manihot,0,2
Medicago,0,2
Morus,0,1
Mucuna,0,1
Nicotiana,1,267
Noccaea,0,1
Olea,0,1
Oryza,0,4
Panicum,0,3
Parasponia,0,1
Populus,0,1
Prunus,0,3
Punica,0,1
Ricinus,0,1
Rosa,0,5
Saccharum,0,2
Selaginella,0,10
Setaria,0,2
Solanum,1,152
Sorghum,0,3
Spinacia,0,1
Trema,0,1
Triticum,0,3
Vitis,0,1
Zea,0,2
