RCL,Number of Occurrences
CPRNC,291
CTLNC,36
CPLNC,35
CTLEC,25
CPLYC,23
CPQFC,23
CTKEC,20
CPQYC,19
CTREC,19
CPRYC,18
CTFEC,12
CPFNC,12
CSKEC,11
CTQEC,10
CTQQC,8
CPLIC,7
CTRNC,7
CPKNC,7
CTFNC,7
CLQVC,6
CPANC,5
CSRNC,5
CTMEC,5
CPAIC,5
CPRDC,4
CTQHC,4
CPPNC,4
CPKEC,4
CTTEC,4
CPLFC,3
CPQIC,3
CRRNC,3
CPSYC,3
CPRIC,3
CAMYC,3
CHLNC,2
CTLDC,2
CPQNC,2
CNKIC,2
CTIEC,2
CPLVC,2
CIQVC,2
CSYEC,2
CLGNC,2
CPFYC,2
CLQYC,2
CLQFC,2
CTPNC,2
CPFFC,1
CYLIC,1
CIEIC,1
CHQYC,1
CPDIC,1
CLQKC,1
CIQIC,1
CIREC,1
CTFKC,1
CPMYC,1
CIETC,1
CPRFC,1
CTQDC,1
CSFNC,1
CYLYC,1
