Species,Cysteine Count,Number of Occurrences
Aegilops tauschii ,11,1
Aegilops tauschii subsp. strangulata ,9,1
Aegilops tauschii subsp. strangulata ,11,1
Ananas comosus ,8,3
Ananas comosus var. bracteatus,11,1
Ananas comosus var. bracteatus,13,1
Apium graveolens ,8,1
Apostasia shenzhenica,10,1
Arabidopsis lyrata subsp. lyrata ,8,1
Arabidopsis thaliana ,8,3
Arachis duranensis ,8,1
Arachis hypogaea ,8,2
Arachis hypogaea ,9,2
Atropa belladonna ,8,1
Brachypodium distachyon ,8,1
Brachypodium distachyon ,9,1
Brassica campestris ,8,1
Brassica cretica ,8,1
Brassica oleracea ,8,1
Brassica oleracea var. oleracea,8,1
Brassica rapa subsp. pekinensis ,8,1
Camellia sinensis var. sinensis,24,1
Capsella rubella,8,1
Capsicum annuum ,25,42
Capsicum annuum ,17,13
Capsicum annuum ,9,10
Capsicum annuum ,24,10
Capsicum annuum ,33,7
Capsicum annuum ,8,6
Capsicum annuum ,26,3
Capsicum annuum ,4,1
Capsicum annuum ,12,1
Capsicum annuum ,15,1
Capsicum annuum ,16,1
Capsicum annuum ,19,1
Capsicum annuum ,32,1
Capsicum annuum ,34,1
Capsicum annuum ,50,1
Capsicum baccatum ,9,3
Capsicum baccatum ,24,3
Capsicum baccatum ,8,2
Capsicum baccatum ,10,1
Capsicum baccatum ,25,1
Capsicum baccatum ,33,1
Capsicum chinense ,8,3
Capsicum chinense ,9,2
Capsicum chinense ,22,2
Capsicum chinense ,24,2
Capsicum chinense ,33,2
Capsicum chinense ,10,1
Capsicum chinense ,25,1
Carpinus fangiana,9,1
Cicer arietinum ,8,1
Clostridia bacterium,4,1
Coffea arabica ,9,2
Coffea canephora ,9,6
Cuscuta australis,8,3
Cuscuta australis,9,1
Cuscuta campestris,9,2
Cuscuta campestris,10,2
Daucus carota subsp. sativus ,21,1
Dendrobium catenatum,9,1
Dichanthelium oligosanthes,9,2
Dichanthelium oligosanthes,8,1
Dichanthelium oligosanthes,10,1
Dorcoceras hygrometricum,8,1
Durio zibethinus ,8,2
Eragrostis curvula ,9,1
Eragrostis curvula ,10,1
Eragrostis curvula ,11,1
Erythranthe guttata ,8,1
Eucalyptus grandis ,11,1
Fagus sylvatica ,38,1
Genlisea aurea,8,1
Genlisea aurea,13,1
Handroanthus impetiginosus,9,2
Handroanthus impetiginosus,8,1
Hevea brasiliensis ,3,1
Hordeum vulgare subsp. vulgare ,10,1
Jatropha curcas ,8,1
Leersia perrieri,9,1
Leersia perrieri,10,1
Lupinus albus ,8,2
Lupinus albus ,10,1
Lupinus angustifolius ,16,1
Manihot esculenta ,8,2
Medicago truncatula ,9,2
Microthlaspi erraticum,9,1
Morella rubra,8,2
Morella rubra,11,1
Morus notabilis,11,1
Mucuna pruriens ,9,1
Musa balbisiana ,8,1
Nicotiana acuminata ,56,1
Nicotiana alata ,32,1
Nicotiana alata ,48,1
Nicotiana attenuata ,8,3
Nicotiana attenuata ,9,2
Nicotiana attenuata ,3,1
Nicotiana attenuata ,24,1
Nicotiana attenuata ,40,1
Nicotiana attenuata ,45,1
Nicotiana attenuata ,48,1
Nicotiana attenuata ,56,1
Nicotiana benthamiana,32,1
Nicotiana cavicola,16,1
Nicotiana clevelandii ,48,1
Nicotiana corymbosa,16,1
Nicotiana glutinosa ,48,1
Nicotiana glutinosa ,64,1
Nicotiana linearis,40,1
Nicotiana megalosiphon,40,1
Nicotiana miersii,48,1
Nicotiana obtusifolia,63,2
Nicotiana occidentalis subsp. hesperis,48,1
Nicotiana pauciflora,48,1
Nicotiana quadrivalvis,48,1
Nicotiana repanda,48,1
Nicotiana rustica ,56,1
Nicotiana simulans,40,1
Nicotiana spegazzinii,40,1
Nicotiana sylvestris ,8,3
Nicotiana sylvestris ,24,2
Nicotiana sylvestris ,9,1
Nicotiana sylvestris ,22,1
Nicotiana sylvestris ,48,1
Nicotiana sylvestris ,56,1
Nicotiana sylvestris ,88,1
Nicotiana tabacum ,8,6
Nicotiana tabacum ,48,6
Nicotiana tabacum ,24,2
Nicotiana tabacum ,32,2
Nicotiana tabacum ,7,1
Nicotiana tabacum ,9,1
Nicotiana tabacum ,10,1
Nicotiana tabacum ,16,1
Nicotiana tabacum ,42,1
Nicotiana tabacum ,50,1
Nicotiana umbratica,40,1
Noccaea caerulescens ,8,4
Olea europaea ,9,1
Oryza barthii,9,1
Oryza brachyantha,10,1
Oryza glaberrima ,9,1
Oryza glumipatula,9,1
Oryza meridionalis,9,1
Oryza meyeriana var. granulata,9,1
Oryza nivara ,9,1
Oryza punctata ,9,1
Oryza rufipogon ,9,1
Oryza sativa subsp. indica ,9,1
Oryza sativa subsp. japonica ,9,2
