id,linkerID,linker,type
1,L-1,DPRNP,1
2,L-2,GPKNP,1
3,L-3,DPKNP,1
4,L-4,DPRNS,1
5,L-5,DPNNP,1
6,L-6,DLRNP,1
7,L-7,DPTNP,1
8,L-8,DPNHP,1
9,L-9,GPNNP,1
10,L-10,DPNTP,1
11,L-11,DNNHG,1
12,L-12,DPNSP,1
13,L-13,DPKKP,1
14,L-14,HPKNP,1
15,L-15,HPNNP,1
16,L-16,DPRKP,1
17,L-17,NPENP,1
18,L-18,DLKNP,1
19,L-19,DPNNS,1
20,L-20,DPINP,1
21,L-21,DPKRP,1
22,L-22,DPKEGP,1
23,L-23,DPRKT,1
24,L-24,ESDEP,1
25,L-25,EEKKN,2
26,L-26,EEKKD,2
27,L-27,EEKNN,2
28,L-28,EKKDN,2
29,L-29,EEKDN,2
30,L-30,EKEDN,2
31,L-31,KEKDN,2
32,L-32,EAKKN,2
33,L-33,EGNAE,2
34,L-34,EETKN,2
35,L-35,EGNTE,2
36,L-36,ETKRI,2
37,L-37,EENAE,2
38,L-38,GGNAE,2
39,L-39,KEKKN,2
40,L-40,EEKKT,2
41,L-41,QEKKN,2
42,L-42,EASAE,2
43,L-43,EEKTN,2
44,L-44,EGSAE,2
45,L-45,EGSPR,2
46,L-46,EGSPK,2
47,L-47,EGSPE,2
48,L-48,EGSPL,2
49,L-49,EGSPQ,2
50,L-50,EEDKN,2
51,L-51,EGGAE,2
52,L-52,EGSPT,2
53,L-53,EGSAK,2
54,L-54,QGSPQ,2
55,L-55,GLVKI,2
56,L-56,GDEQI,2
57,L-57,EGNVE,2
58,L-58,EKDNN,2
59,L-59,QRNAK,2
60,L-60,EETQK,2
61,L-61,EEKKS,2
62,L-62,EISNK,2
63,L-63,EISNE,2
64,L-64,KISNK,2
65,L-65,GNKKF,2
66,L-66,ETKRV,2
67,L-67,QGETL,2
68,L-68,GLAKI,2
69,L-69,GGNTL,2
70,L-70,RGKTL,2
71,L-71,GLAKL,2
72,L-72,GGNTI,2
73,L-73,GSTKL,2
74,L-74,GGKTF,2
75,L-75,EGKTI,2
76,L-76,GRNTI,2
77,L-77,EGNRV,2
78,L-78,EGETI,2
