ID,OrganismID,Organism,Solanaceae,n-domains,NumberOfSequences
0,37682,Aegilops tauschii (Tausch's goatgrass) (Aegilops squarrosa),0,1,1
1,4615,Ananas comosus (Pineapple) (Ananas ananas),0,1,2
2,1088818,Apostasia shenzhenica,0,1,1
3,81972,Arabidopsis lyrata subsp. lyrata (Lyre-leaved rock-cress),0,1,1
4,3702,Arabidopsis thaliana (Mouse-ear cress),0,1,2
5,15368,Brachypodium distachyon (Purple false brome) (Trachynia distachya),0,1,1
6,109376,Brassica oleracea var. oleracea,0,1,1
7,51351,Brassica rapa subsp. pekinensis (Chinese cabbage) (Brassica pekinensis),0,1,1
8,81985,Capsella rubella,0,1,1
9,4072,Capsicum annuum (Bell pepper),1,5,54
10,4072,Capsicum annuum (Bell pepper),1,1,16
11,4072,Capsicum annuum (Bell pepper),1,3,16
12,4072,Capsicum annuum (Bell pepper),1,7,9
13,4072,Capsicum annuum (Bell pepper),1,4,2
14,4072,Capsicum annuum (Bell pepper),1,11,1
17,33114,Capsicum baccatum (Peruvian pepper),1,7,1
15,33114,Capsicum baccatum (Peruvian pepper),1,1,6
16,33114,Capsicum baccatum (Peruvian pepper),1,5,4
18,80379,Capsicum chinense (Scotch bonnet) (Bonnet pepper),1,1,6
19,80379,Capsicum chinense (Scotch bonnet) (Bonnet pepper),1,5,3
20,80379,Capsicum chinense (Scotch bonnet) (Bonnet pepper),1,7,2
21,80379,Capsicum chinense (Scotch bonnet) (Bonnet pepper),1,3,1
22,80379,Capsicum chinense (Scotch bonnet) (Bonnet pepper),1,4,1
23,3827,Cicer arietinum (Chickpea) (Garbanzo),0,1,1
24,49390,Coffea canephora (Robusta coffee),0,1,5
25,267555,Cuscuta australis,0,1,3
26,79200,Daucus carota subsp. sativus,0,1,1
27,906689,Dendrobium catenatum,0,1,1
28,888268,Dichanthelium oligosanthes,0,1,3
29,472368,Dorcoceras hygrometricum,0,1,1
30,4155,Erythranthe guttata (Yellow monkey flower) (Mimulus guttatus),0,1,1
31,71139,Eucalyptus grandis (Flooded gum),0,1,1
32,28930,Fagus sylvatica (Beechnut),0,1,1
33,192259,Genlisea aurea,0,1,2
34,429701,Handroanthus impetiginosus,0,1,3
35,112509,Hordeum vulgare subsp. vulgare (Domesticated barley),0,1,1
36,180498,Jatropha curcas (Barbados nut),0,1,1
37,51240,Juglans regia (English walnut),0,1,1
38,77586,Leersia perrieri,0,1,2
39,3983,Manihot esculenta (Cassava) (Jatropha manihot),0,1,2
40,3880,Medicago truncatula (Barrel medic) (Medicago tribuloides),0,1,2
41,981085,Morus notabilis,0,1,1
42,157652,Mucuna pruriens (Velvet bean) (Dolichos pruriens),0,1,1
43,4086,Nicotiana acuminata (Acuminate tobacco),1,13,1
44,4087,Nicotiana alata (Winged tobacco) (Persian tobacco),1,7,1
45,4087,Nicotiana alata (Winged tobacco) (Persian tobacco),1,11,1
51,49451,Nicotiana attenuata (Coyote tobacco),1,13,1
50,49451,Nicotiana attenuata (Coyote tobacco),1,11,1
49,49451,Nicotiana attenuata (Coyote tobacco),1,10,1
47,49451,Nicotiana attenuata (Coyote tobacco),1,5,1
46,49451,Nicotiana attenuata (Coyote tobacco),1,1,3
48,49451,Nicotiana attenuata (Coyote tobacco),1,9,1
52,4100,Nicotiana benthamiana,1,7,1
53,118690,Nicotiana cavicola,1,3,1
54,81866,Nicotiana clevelandii (Wild tobacco),1,11,1
55,200301,Nicotiana corymbosa,1,3,1
57,35889,Nicotiana glutinosa (Tobacco),1,15,1
56,35889,Nicotiana glutinosa (Tobacco),1,11,1
58,118701,Nicotiana linearis,1,9,1
59,118703,Nicotiana megalosiphon,1,9,1
60,118704,Nicotiana miersii,1,11,1
61,200316,Nicotiana obtusifolia,1,15,2
62,200306,Nicotiana occidentalis subsp. hesperis,1,11,1
63,200315,Nicotiana pauciflora,1,11,1
64,278839,Nicotiana quadrivalvis,1,11,1
65,76336,Nicotiana repanda,1,11,1
66,4093,Nicotiana rustica (Aztec tobacco),1,13,1
67,118709,Nicotiana simulans,1,9,1
68,200300,Nicotiana spegazzinii,1,9,1
69,4096,Nicotiana sylvestris (Wood tobacco) (South American tobacco),1,1,4
70,4096,Nicotiana sylvestris (Wood tobacco) (South American tobacco),1,4,2
71,4096,Nicotiana sylvestris (Wood tobacco) (South American tobacco),1,5,1
72,4096,Nicotiana sylvestris (Wood tobacco) (South American tobacco),1,11,1
73,4096,Nicotiana sylvestris (Wood tobacco) (South American tobacco),1,13,1
74,4096,Nicotiana sylvestris (Wood tobacco) (South American tobacco),1,21,1
75,4097,Nicotiana tabacum (Common tobacco),1,1,8
76,4097,Nicotiana tabacum (Common tobacco),1,11,6
77,4097,Nicotiana tabacum (Common tobacco),1,5,2
78,4097,Nicotiana tabacum (Common tobacco),1,3,1
79,4097,Nicotiana tabacum (Common tobacco),1,6,1
80,4097,Nicotiana tabacum (Common tobacco),1,7,1
81,4097,Nicotiana tabacum (Common tobacco),1,10,1
82,4097,Nicotiana tabacum (Common tobacco),1,12,1
83,118712,Nicotiana umbratica,1,9,1
84,107243,Noccaea caerulescens (Alpine penny-cress) (Thlaspi caerulescens),0,1,4
85,4146,Olea europaea (Common olive),0,1,1
86,65489,Oryza barthii,0,1,1
87,4533,Oryza brachyantha,0,1,1
88,4538,Oryza glaberrima (African rice),0,1,1
89,40148,Oryza glumipatula,0,1,1
90,40149,Oryza meridionalis,0,1,1
91,4536,Oryza nivara (Indian wild rice) (Oryza sativa f. spontanea),0,1,1
92,4537,Oryza punctata (Red rice),0,1,1
93,4529,Oryza rufipogon (Brownbeard rice) (Asian wild rice),0,1,1
94,39946,Oryza sativa subsp. indica (Rice),0,1,1
95,39947,Oryza sativa subsp. japonica (Rice),0,1,1
96,206008,Panicum hallii,0,1,1
97,1504633,Panicum hallii var. hallii,0,1,4
98,3476,Parasponia andersonii (Sponia andersonii),0,1,1
99,3694,Populus trichocarpa (Western balsam poplar) (Populus balsamifera subsp. trichocarpa),0,1,2
100,3760,Prunus persica (Peach) (Amygdalus persica),0,1,3
