LinkerType,Organism,Occurences
1,Capsicum annuum (Bell pepper),226
1,Nicotiana tabacum (Common tobacco),49
1,Solanum tuberosum (Potato),36
1,Nicotiana sylvestris (Wood tobacco) (South American tobacco),25
1,Nicotiana attenuata (Coyote tobacco),22
1,Nicotiana obtusifolia,14
1,Solanum lycopersicum (Tomato) (Lycopersicon esculentum),14
1,Capsicum chinense (Scotch bonnet) (Bonnet pepper),13
1,Nicotiana glutinosa (Tobacco),12
1,Capsicum baccatum (Peruvian pepper),10
1,Nicotiana alata (Winged tobacco) (Persian tobacco),8
1,Nicotiana acuminata (Acuminate tobacco),6
1,Nicotiana rustica (Aztec tobacco),6
1,Nicotiana clevelandii (Wild tobacco),5
1,Nicotiana miersii,5
1,Nicotiana occidentalis subsp. hesperis,5
1,Nicotiana pauciflora,5
1,Nicotiana quadrivalvis,5
1,Nicotiana repanda,5
1,Nicotiana linearis,4
1,Nicotiana megalosiphon,4
1,Nicotiana simulans,4
1,Nicotiana spegazzinii,4
1,Nicotiana umbratica,4
1,Nicotiana benthamiana,3
1,Solanum chacoense (Chaco potato),3
1,Solanum americanum (American black nightshade) (Solanum nodiflorum),2
1,Solanum nigrum (Black nightshade),2
1,Nicotiana cavicola,1
1,Nicotiana corymbosa,1
1,Solanum melongena (Eggplant) (Aubergine),1
1,Solanum phureja,1
2,Capsicum annuum (Bell pepper),164
2,Nicotiana tabacum (Common tobacco),61
2,Solanum tuberosum (Potato),38
2,Nicotiana sylvestris (Wood tobacco) (South American tobacco),31
2,Solanum lycopersicum (Tomato) (Lycopersicon esculentum),28
2,Nicotiana attenuata (Coyote tobacco),24
2,Nicotiana obtusifolia,16
2,Nicotiana glutinosa (Tobacco),14
2,Capsicum chinense (Scotch bonnet) (Bonnet pepper),13
2,Capsicum baccatum (Peruvian pepper),11
2,Nicotiana alata (Winged tobacco) (Persian tobacco),10
2,Nicotiana acuminata (Acuminate tobacco),7
2,Nicotiana rustica (Aztec tobacco),7
2,Nicotiana clevelandii (Wild tobacco),6
2,Nicotiana miersii,6
2,Nicotiana occidentalis subsp. hesperis,6
2,Nicotiana pauciflora,6
2,Nicotiana quadrivalvis,6
2,Nicotiana repanda,6
2,Solanum americanum (American black nightshade) (Solanum nodiflorum),6
2,Nicotiana linearis,5
2,Nicotiana megalosiphon,5
2,Nicotiana simulans,5
2,Nicotiana spegazzinii,5
2,Nicotiana umbratica,5
2,Nicotiana benthamiana,4
2,Solanum chacoense (Chaco potato),4
2,Solanum nigrum (Black nightshade),4
2,Nicotiana cavicola,2
2,Nicotiana corymbosa,2
2,Solanum phureja,1
