Organism,TargetProtease,Occurrences
Aegilops tauschii (Tausch's goatgrass) (Aegilops squarrosa),Unknown,1
Ananas comosus (Pineapple) (Ananas ananas),Unknown,2
Apostasia shenzhenica,Chymotrypsin,1
Arabidopsis lyrata subsp. lyrata (Lyre-leaved rock-cress),Chymotrypsin,1
Arabidopsis thaliana (Mouse-ear cress),Chymotrypsin,2
Brachypodium distachyon (Purple false brome) (Trachynia distachya),Unknown,1
Brassica oleracea var. oleracea,Chymotrypsin,1
Brassica rapa subsp. pekinensis (Chinese cabbage) (Brassica pekinensis),Chymotrypsin,1
Capsella rubella,Chymotrypsin,1
Capsicum annuum (Bell pepper),Trypsin,300
Capsicum annuum (Bell pepper),Chymotrypsin,97
Capsicum annuum (Bell pepper),Unknown,19
Capsicum baccatum (Peruvian pepper),Trypsin,14
Capsicum baccatum (Peruvian pepper),Unknown,7
Capsicum baccatum (Peruvian pepper),Chymotrypsin,6
Capsicum baccatum (Peruvian pepper),Elastase,6
Capsicum chinense (Scotch bonnet) (Bonnet pepper),Trypsin,18
Capsicum chinense (Scotch bonnet) (Bonnet pepper),Chymotrypsin,9
Capsicum chinense (Scotch bonnet) (Bonnet pepper),Unknown,9
Capsicum chinense (Scotch bonnet) (Bonnet pepper),Elastase,6
Cicer arietinum (Chickpea) (Garbanzo),Chymotrypsin,1
Coffea canephora (Robusta coffee),Chymotrypsin,2
Coffea canephora (Robusta coffee),Unknown,2
Coffea canephora (Robusta coffee),Trypsin,1
Cuscuta australis,Chymotrypsin,1
Cuscuta australis,Trypsin,1
Cuscuta australis,Unknown,1
Daucus carota subsp. sativus,Chymotrypsin,1
Dendrobium catenatum,Unknown,1
Dichanthelium oligosanthes,Unknown,2
Dichanthelium oligosanthes,Chymotrypsin,1
Dorcoceras hygrometricum,Chymotrypsin,1
Erythranthe guttata (Yellow monkey flower) (Mimulus guttatus),Chymotrypsin,1
Eucalyptus grandis (Flooded gum),Chymotrypsin,1
Fagus sylvatica (Beechnut),Chymotrypsin,1
Genlisea aurea,Chymotrypsin,2
Handroanthus impetiginosus,Chymotrypsin,3
Hordeum vulgare subsp. vulgare (Domesticated barley),Unknown,1
Jatropha curcas (Barbados nut),Chymotrypsin,1
Juglans regia (English walnut),Chymotrypsin,1
Leersia perrieri,Unknown,2
Manihot esculenta (Cassava) (Jatropha manihot),Chymotrypsin,2
Medicago truncatula (Barrel medic) (Medicago tribuloides),Unknown,2
Morus notabilis,Unknown,1
Mucuna pruriens (Velvet bean) (Dolichos pruriens),Unknown,1
Nicotiana acuminata (Acuminate tobacco),Trypsin,12
Nicotiana acuminata (Acuminate tobacco),Chymotrypsin,1
Nicotiana alata (Winged tobacco) (Persian tobacco),Trypsin,12
Nicotiana alata (Winged tobacco) (Persian tobacco),Chymotrypsin,6
Nicotiana attenuata (Coyote tobacco),Trypsin,46
Nicotiana attenuata (Coyote tobacco),Unknown,5
Nicotiana benthamiana,Trypsin,5
Nicotiana benthamiana,Chymotrypsin,2
Nicotiana cavicola,Chymotrypsin,2
Nicotiana cavicola,Trypsin,1
Nicotiana clevelandii (Wild tobacco),Trypsin,11
Nicotiana corymbosa,Trypsin,2
Nicotiana corymbosa,Chymotrypsin,1
Nicotiana glutinosa (Tobacco),Trypsin,22
Nicotiana glutinosa (Tobacco),Chymotrypsin,4
Nicotiana linearis,Trypsin,9
Nicotiana megalosiphon,Trypsin,7
Nicotiana megalosiphon,Chymotrypsin,2
Nicotiana miersii,Trypsin,10
Nicotiana miersii,Chymotrypsin,1
Nicotiana obtusifolia,Trypsin,26
Nicotiana obtusifolia,Chymotrypsin,4
Nicotiana occidentalis subsp. hesperis,Trypsin,9
Nicotiana occidentalis subsp. hesperis,Chymotrypsin,2
Nicotiana pauciflora,Trypsin,10
Nicotiana pauciflora,Chymotrypsin,1
Nicotiana quadrivalvis,Trypsin,11
Nicotiana repanda,Chymotrypsin,7
Nicotiana repanda,Trypsin,2
Nicotiana repanda,Unknown,2
Nicotiana rustica (Aztec tobacco),Trypsin,8
Nicotiana rustica (Aztec tobacco),Chymotrypsin,5
Nicotiana simulans,Trypsin,7
Nicotiana simulans,Chymotrypsin,2
Nicotiana spegazzinii,Trypsin,9
Nicotiana sylvestris (Wood tobacco) (South American tobacco),Trypsin,47
Nicotiana sylvestris (Wood tobacco) (South American tobacco),Chymotrypsin,9
Nicotiana sylvestris (Wood tobacco) (South American tobacco),Unknown,6
Nicotiana tabacum (Common tobacco),Trypsin,87
Nicotiana tabacum (Common tobacco),Chymotrypsin,22
Nicotiana tabacum (Common tobacco),Unknown,13
Nicotiana umbratica,Trypsin,7
Nicotiana umbratica,Chymotrypsin,2
Noccaea caerulescens (Alpine penny-cress) (Thlaspi caerulescens),Chymotrypsin,4
Olea europaea (Common olive),Trypsin,1
Oryza barthii,Unknown,1
Oryza brachyantha,Unknown,1
Oryza glaberrima (African rice),Unknown,1
Oryza glumipatula,Unknown,1
Oryza meridionalis,Unknown,1
Oryza nivara (Indian wild rice) (Oryza sativa f. spontanea),Unknown,1
Oryza punctata (Red rice),Unknown,1
Oryza rufipogon (Brownbeard rice) (Asian wild rice),Unknown,1
Oryza sativa subsp. indica (Rice),Unknown,1
Oryza sativa subsp. japonica (Rice),Unknown,1
Panicum hallii,Unknown,1
Panicum hallii var. hallii,Unknown,4
Parasponia andersonii (Sponia andersonii),Unknown,1
Populus trichocarpa (Western balsam poplar) (Populus balsamifera subsp. trichocarpa),Chymotrypsin,2
Prunus persica (Peach) (Amygdalus persica),Unknown,2
Prunus persica (Peach) (Amygdalus persica),Trypsin,1
Prunus yedoensis var. nudiflora,Trypsin,1
