ID,DomainID,Organism
1,IRD-1,Solanum lycopersicum (Tomato) (Lycopersicon esculentum)
2,IRD-2,Solanum nigrum (Black nightshade)
3,IRD-3,Solanum nigrum (Black nightshade)
4,IRD-4,Solanum lycopersicum (Tomato) (Lycopersicon esculentum)
5,IRD-5,Nicotiana tabacum (Common tobacco)
6,IRD-6,Nicotiana tabacum (Common tobacco)
7,IRD-7,Solanum lycopersicum (Tomato) (Lycopersicon esculentum)
8,IRD-8,Solanum tuberosum (Potato)
9,IRD-9,Solanum tuberosum (Potato)
10,IRD-10,Capsicum chinense (Scotch bonnet) (Bonnet pepper)
10,IRD-10,Capsicum annuum (Bell pepper)
11,IRD-11,Capsicum baccatum (Peruvian pepper)
12,IRD-12,Capsicum annuum (Bell pepper)
13,IRD-13,Solanum tuberosum (Potato)
14,IRD-14,Capsicum annuum (Bell pepper)
14,IRD-14,Capsicum chinense (Scotch bonnet) (Bonnet pepper)
15,IRD-15,Capsicum annuum (Bell pepper)
16,IRD-16,Solanum tuberosum (Potato)
17,IRD-17,Olea europaea (Common olive)
18,IRD-18,Solanum lycopersicum (Tomato) (Lycopersicon esculentum)
19,IRD-19,Solanum lycopersicum (Tomato) (Lycopersicon esculentum)
20,IRD-20,Solanum lycopersicum (Tomato) (Lycopersicon esculentum)
21,IRD-21,Solanum tuberosum (Potato)
22,IRD-22,Solanum tuberosum (Potato)
23,IRD-23,Solanum tuberosum (Potato)
24,IRD-24,Solanum tuberosum (Potato)
25,IRD-25,Solanum tuberosum (Potato)
26,IRD-26,Solanum chacoense (Chaco potato)
27,IRD-27,Solanum tuberosum (Potato)
28,IRD-28,Capsicum annuum (Bell pepper)
29,IRD-29,Capsicum baccatum (Peruvian pepper)
30,IRD-30,Capsicum chinense (Scotch bonnet) (Bonnet pepper)
31,IRD-31,Solanum tuberosum (Potato)
32,IRD-32,Solanum lycopersicum (Tomato) (Lycopersicon esculentum)
33,IRD-33,Solanum tuberosum (Potato)
34,IRD-34,Solanum chacoense (Chaco potato)
35,IRD-35,Capsicum chinense (Scotch bonnet) (Bonnet pepper)
36,IRD-36,Capsicum chinense (Scotch bonnet) (Bonnet pepper)
37,IRD-37,Capsicum baccatum (Peruvian pepper)
38,IRD-38,Nicotiana tabacum (Common tobacco)
39,IRD-39,Nicotiana sylvestris (Wood tobacco) (South American tobacco)
40,IRD-40,Solanum lycopersicum (Tomato) (Lycopersicon esculentum)
41,IRD-41,Nicotiana tabacum (Common tobacco)
41,IRD-41,Nicotiana sylvestris (Wood tobacco) (South American tobacco)
42,IRD-42,Nicotiana attenuata (Coyote tobacco)
43,IRD-43,Capsicum annuum (Bell pepper)
43,IRD-43,Capsicum chinense (Scotch bonnet) (Bonnet pepper)
44,IRD-44,Capsicum chinense (Scotch bonnet) (Bonnet pepper)
45,IRD-45,Capsicum baccatum (Peruvian pepper)
46,IRD-46,Solanum tuberosum (Potato)
47,IRD-47,Solanum lycopersicum (Tomato) (Lycopersicon esculentum)
48,IRD-48,Capsicum annuum (Bell pepper)
49,IRD-49,Capsicum annuum (Bell pepper)
50,IRD-50,Capsicum annuum (Bell pepper)
51,IRD-51,Solanum melongena (Eggplant) (Aubergine)
52,IRD-52,Solanum tuberosum (Potato)
53,IRD-53,Solanum tuberosum (Potato)
54,IRD-54,Solanum tuberosum (Potato)
55,IRD-55,Solanum lycopersicum (Tomato) (Lycopersicon esculentum)
56,IRD-56,Solanum tuberosum (Potato)
57,IRD-57,Solanum tuberosum (Potato)
58,IRD-58,Solanum tuberosum (Potato)
58,IRD-58,Solanum chacoense (Chaco potato)
59,IRD-59,Solanum tuberosum (Potato)
60,IRD-60,Capsicum annuum (Bell pepper)
61,IRD-61,Nicotiana obtusifolia
62,IRD-62,Solanum lycopersicum (Tomato) (Lycopersicon esculentum)
63,IRD-63,Solanum lycopersicum (Tomato) (Lycopersicon esculentum)
64,IRD-64,Solanum tuberosum (Potato)
65,IRD-65,Solanum tuberosum (Potato)
66,IRD-66,Solanum tuberosum (Potato)
67,IRD-67,Capsicum annuum (Bell pepper)
68,IRD-68,Capsicum chinense (Scotch bonnet) (Bonnet pepper)
