Genus,Species,No. of Pin-II Pis
Aegilops,tauschii,1
Ananas,comosus,3
Apostasia,shenzhenica,1
Arabidopsis,lyrata,1
Arabidopsis,thaliana,2
Atropa,belladonna,1
Brachypodium,distachyon,2
Brassica,oleracea,1
Brassica,rapa,1
Capsella,rubella,1
Capsicum,annuum,99
Capsicum,baccatum,11
Capsicum,chinense,13
Cicer,arietinum,1
Coffea,canephora,6
Cuscuta,australis,4
Daucus,carota,1
Dendrobium,catenatum,1
Dichanthelium,oligosanthes,4
Dorcoceras,hygrometricum,1
Erythranthe,guttata,1
Eucalyptus,grandis,1
Fagus,sylvatica,1
Genlisea,aurea,2
Handroanthus,impetiginosus,3
Hordeum,vulgare,1
Jatropha,curcas,1
Juglans,regia,1
Leersia,perrieri,2
Manihot,esculenta,2
Medicago,truncatula,2
Morus,notabilis,1
Mucuna,pruriens,1
Nicotiana,acuminata,1
Nicotiana,alata,2
Nicotiana,attenuata,11
Nicotiana,benthamiana,1
Nicotiana,cavicola,1
Nicotiana,clevelandii,1
Nicotiana,corymbosa,1
Nicotiana,glutinosa,2
Nicotiana,linearis,1
Nicotiana,megalosiphon,1
Nicotiana,miersii,1
Nicotiana,obtusifolia,2
Nicotiana,occidentalis,1
Nicotiana,pauciflora,1
Nicotiana,quadrivalvis,1
Nicotiana,repanda,1
Nicotiana,rustica,1
Nicotiana,simulans,1
Nicotiana,spegazzinii,1
Nicotiana,sylvestris,10
Nicotiana,tabacum,22
Nicotiana,umbratica,1
Noccaea,caerulescens,4
Olea,europaea,1
Oryza,barthii,1
Oryza,brachyantha,1
Oryza,glaberrima,1
Oryza,glumipatula,1
Oryza,meridionalis,1
Oryza,nivara,1
Oryza,punctata,1
Oryza,rufipogon,1
Oryza,sativa,2
Panicum,hallii,5
Parasponia,andersonii,1
Populus,trichocarpa,2
Prunus,persica,3
Prunus,yedoensis,1
Punica,granatum,1
Quercus,suber,4
Ricinus,communis,1
Rosa,chinensis,5
Saccharum,hybrid,2
Selaginella,moellendorffii,7
Setaria,italica,2
Solanum,americanum,4
Solanum,chacoense,5
Solanum,lycopersicum,19
Solanum,melongena,1
Solanum,nigrum,4
Solanum,phureja,1
Solanum,tuberosum,52
Sorghum,bicolor,3
Spinacia,oleracea,1
Trema,orientale,1
Triticum,aestivum,1
Triticum,urartu,1
Vitis,vinifera,1
Zea,mays,2
