Organism,DomainID
Solanum lycopersicum (Tomato) (Lycopersicon esculentum),IRD-1
Solanum nigrum (Black nightshade),IRD-3
Solanum lycopersicum (Tomato) (Lycopersicon esculentum),IRD-4
Nicotiana tabacum (Common tobacco),IRD-5
Nicotiana tabacum (Common tobacco),IRD-6
Solanum lycopersicum (Tomato) (Lycopersicon esculentum),IRD-7
Solanum tuberosum (Potato),IRD-8
Solanum tuberosum (Potato),IRD-9
Capsicum annuum (Bell pepper),IRD-12
Solanum tuberosum (Potato),IRD-13
Capsicum annuum (Bell pepper),IRD-14
Solanum tuberosum (Potato),IRD-16
Solanum lycopersicum (Tomato) (Lycopersicon esculentum),IRD-18
Solanum lycopersicum (Tomato) (Lycopersicon esculentum),IRD-19
Solanum lycopersicum (Tomato) (Lycopersicon esculentum),IRD-20
Solanum tuberosum (Potato),IRD-21
Solanum tuberosum (Potato),IRD-23
Solanum tuberosum (Potato),IRD-24
Solanum tuberosum (Potato),IRD-25
Solanum tuberosum (Potato),IRD-27
Capsicum annuum (Bell pepper),IRD-28
Capsicum chinense (Scotch bonnet) (Bonnet pepper),IRD-30
Solanum lycopersicum (Tomato) (Lycopersicon esculentum),IRD-32
Solanum tuberosum (Potato),IRD-33
Nicotiana tabacum (Common tobacco),IRD-38
Nicotiana sylvestris (Wood tobacco) (South American tobacco),IRD-39
Solanum lycopersicum (Tomato) (Lycopersicon esculentum),IRD-40
Nicotiana tabacum (Common tobacco),IRD-41
Nicotiana sylvestris (Wood tobacco) (South American tobacco),IRD-41
Nicotiana attenuata (Coyote tobacco),IRD-42
Capsicum annuum (Bell pepper),IRD-43
Solanum tuberosum (Potato),IRD-46
Solanum lycopersicum (Tomato) (Lycopersicon esculentum),IRD-47
Capsicum annuum (Bell pepper),IRD-50
Solanum melongena (Eggplant) (Aubergine),IRD-51
Solanum tuberosum (Potato),IRD-52
Solanum tuberosum (Potato),IRD-53
Solanum tuberosum (Potato),IRD-54
Solanum lycopersicum (Tomato) (Lycopersicon esculentum),IRD-55
Solanum tuberosum (Potato),IRD-56
Solanum tuberosum (Potato),IRD-57
Solanum tuberosum (Potato),IRD-58
Solanum tuberosum (Potato),IRD-59
Nicotiana obtusifolia,IRD-61
Solanum lycopersicum (Tomato) (Lycopersicon esculentum),IRD-62
Solanum lycopersicum (Tomato) (Lycopersicon esculentum),IRD-63
Solanum tuberosum (Potato),IRD-65
Capsicum chinense (Scotch bonnet) (Bonnet pepper),IRD-68
Solanum lycopersicum (Tomato) (Lycopersicon esculentum),IRD-69
Solanum lycopersicum (Tomato) (Lycopersicon esculentum),IRD-70
Solanum lycopersicum (Tomato) (Lycopersicon esculentum),IRD-73
Nicotiana tabacum (Common tobacco),IRD-74
Nicotiana tabacum (Common tobacco),IRD-75
Nicotiana tabacum (Common tobacco),IRD-76
Nicotiana repanda,IRD-77
Capsicum annuum (Bell pepper),IRD-78
Nicotiana spegazzinii,IRD-81
Capsicum annuum (Bell pepper),IRD-83
Capsicum annuum (Bell pepper),IRD-84
Capsicum annuum (Bell pepper),IRD-90
Capsicum annuum (Bell pepper),IRD-93
Capsicum annuum (Bell pepper),IRD-105
Capsicum annuum (Bell pepper),IRD-106
Capsicum annuum (Bell pepper),IRD-121
Capsicum annuum (Bell pepper),IRD-122
Capsicum annuum (Bell pepper),IRD-124
Capsicum annuum (Bell pepper),IRD-132
Capsicum annuum (Bell pepper),IRD-133
Capsicum annuum (Bell pepper),IRD-137
Capsicum annuum (Bell pepper),IRD-138
Capsicum annuum (Bell pepper),IRD-143
Solanum tuberosum (Potato),IRD-151
Nicotiana sylvestris (Wood tobacco) (South American tobacco),IRD-152
Nicotiana tabacum (Common tobacco),IRD-152
Nicotiana alata (Winged tobacco) (Persian tobacco),IRD-153
Nicotiana sylvestris (Wood tobacco) (South American tobacco),IRD-153
Nicotiana tabacum (Common tobacco),IRD-153
Nicotiana obtusifolia,IRD-154
Nicotiana obtusifolia,IRD-155
Nicotiana obtusifolia,IRD-156
Nicotiana obtusifolia,IRD-157
Nicotiana obtusifolia,IRD-158
Nicotiana obtusifolia,IRD-159
Nicotiana attenuata (Coyote tobacco),IRD-165
Nicotiana attenuata (Coyote tobacco),IRD-166
Nicotiana attenuata (Coyote tobacco),IRD-167
Nicotiana attenuata (Coyote tobacco),IRD-168
Nicotiana attenuata (Coyote tobacco),IRD-169
Nicotiana pauciflora,IRD-169
Nicotiana rustica (Aztec tobacco),IRD-170
Nicotiana rustica (Aztec tobacco),IRD-171
Nicotiana tabacum (Common tobacco),IRD-172
Nicotiana rustica (Aztec tobacco),IRD-172
Nicotiana rustica (Aztec tobacco),IRD-173
Nicotiana sylvestris (Wood tobacco) (South American tobacco),IRD-174
Nicotiana sylvestris (Wood tobacco) (South American tobacco),IRD-175
Nicotiana sylvestris (Wood tobacco) (South American tobacco),IRD-176
Nicotiana corymbosa,IRD-176
Nicotiana acuminata (Acuminate tobacco),IRD-176
Nicotiana sylvestris (Wood tobacco) (South American tobacco),IRD-177
Nicotiana sylvestris (Wood tobacco) (South American tobacco),IRD-178
Nicotiana acuminata (Acuminate tobacco),IRD-179
Nicotiana acuminata (Acuminate tobacco),IRD-180
Nicotiana acuminata (Acuminate tobacco),IRD-181
Nicotiana acuminata (Acuminate tobacco),IRD-182
Nicotiana acuminata (Acuminate tobacco),IRD-183
Nicotiana tabacum (Common tobacco),IRD-184
Nicotiana clevelandii (Wild tobacco),IRD-185
Nicotiana quadrivalvis,IRD-185
Nicotiana clevelandii (Wild tobacco),IRD-186
Nicotiana quadrivalvis,IRD-186
Nicotiana clevelandii (Wild tobacco),IRD-187
Nicotiana clevelandii (Wild tobacco),IRD-188
Nicotiana clevelandii (Wild tobacco),IRD-189
Nicotiana quadrivalvis,IRD-189
Nicotiana quadrivalvis,IRD-190
Nicotiana alata (Winged tobacco) (Persian tobacco),IRD-191
Nicotiana alata (Winged tobacco) (Persian tobacco),IRD-192
Nicotiana pauciflora,IRD-193
Nicotiana pauciflora,IRD-194
Nicotiana pauciflora,IRD-195
Nicotiana miersii,IRD-196
Nicotiana pauciflora,IRD-196
Nicotiana miersii,IRD-197
Nicotiana miersii,IRD-198
Nicotiana miersii,IRD-199
Nicotiana miersii,IRD-200
Nicotiana tabacum (Common tobacco),IRD-201
Nicotiana tabacum (Common tobacco),IRD-203
