Organism,IRD
Aegilops tauschii (Tausch's goatgrass) (Aegilops squarrosa),IRD-400
Ananas comosus (Pineapple) (Ananas ananas),IRD-336
Ananas comosus (Pineapple) (Ananas ananas),IRD-337
Apostasia shenzhenica,IRD-309
Arabidopsis lyrata subsp. lyrata (Lyre-leaved rock-cress),IRD-314
Arabidopsis thaliana (Mouse-ear cress),IRD-307
Brachypodium distachyon (Purple false brome) (Trachynia distachya),IRD-397
Brassica oleracea var. oleracea,IRD-311
Brassica rapa subsp. pekinensis (Chinese cabbage) (Brassica pekinensis),IRD-310
Capsella rubella,IRD-312
Capsicum annuum (Bell pepper),IRD-10
Capsicum annuum (Bell pepper),IRD-100
Capsicum annuum (Bell pepper),IRD-101
Capsicum annuum (Bell pepper),IRD-102
Capsicum annuum (Bell pepper),IRD-103
Capsicum annuum (Bell pepper),IRD-104
Capsicum annuum (Bell pepper),IRD-105
Capsicum annuum (Bell pepper),IRD-106
Capsicum annuum (Bell pepper),IRD-107
Capsicum annuum (Bell pepper),IRD-108
Capsicum annuum (Bell pepper),IRD-109
Capsicum annuum (Bell pepper),IRD-110
Capsicum annuum (Bell pepper),IRD-111
Capsicum annuum (Bell pepper),IRD-112
Capsicum annuum (Bell pepper),IRD-113
Capsicum annuum (Bell pepper),IRD-114
Capsicum annuum (Bell pepper),IRD-115
Capsicum annuum (Bell pepper),IRD-116
Capsicum annuum (Bell pepper),IRD-117
Capsicum annuum (Bell pepper),IRD-118
Capsicum annuum (Bell pepper),IRD-12
Capsicum annuum (Bell pepper),IRD-120
Capsicum annuum (Bell pepper),IRD-121
Capsicum annuum (Bell pepper),IRD-122
Capsicum annuum (Bell pepper),IRD-123
Capsicum annuum (Bell pepper),IRD-124
Capsicum annuum (Bell pepper),IRD-125
Capsicum annuum (Bell pepper),IRD-126
Capsicum annuum (Bell pepper),IRD-127
Capsicum annuum (Bell pepper),IRD-128
Capsicum annuum (Bell pepper),IRD-129
Capsicum annuum (Bell pepper),IRD-130
Capsicum annuum (Bell pepper),IRD-132
Capsicum annuum (Bell pepper),IRD-133
Capsicum annuum (Bell pepper),IRD-135
Capsicum annuum (Bell pepper),IRD-136
Capsicum annuum (Bell pepper),IRD-137
Capsicum annuum (Bell pepper),IRD-138
Capsicum annuum (Bell pepper),IRD-139
Capsicum annuum (Bell pepper),IRD-14
Capsicum annuum (Bell pepper),IRD-141
Capsicum annuum (Bell pepper),IRD-143
