Genus,Type-I  IRD,Type-II  IRD,Type-III  IRD
Aegilops,,,2.0
Ananas,,,2.0
Apostasia,,,1.0
Arabidopsis,,,2.0
Brachypodium,,,1.0
Brassica,,,2.0
Capsella,,,1.0
Capsicum,84.0,65.0,34.0
Cicer,,,1.0
Coffea,,,5.0
Cuscuta,,,3.0
Daucus,,,1.0
Dendrobium,,,1.0
Dichanthelium,,,3.0
Dorcoceras,,,1.0
Erythranthe,,,1.0
Eucalyptus,,,1.0
Fagus,,,1.0
Genlisea,,,2.0
Handroanthus,,,2.0
Hordeum,,,1.0
Jatropha,,,1.0
Juglans,,,1.0
Leersia,,,2.0
Manihot,,,2.0
Medicago,,,2.0
Morus,,,1.0
Mucuna,,,1.0
Nicotiana,114.0,136.0,17.0
Noccaea,,,1.0
Olea,,,1.0
Oryza,,,4.0
Panicum,,,3.0
Parasponia,,,1.0
Populus,,,1.0
Prunus,,,3.0
Punica,,,1.0
Ricinus,,,1.0
Rosa,,,5.0
Saccharum,,,2.0
Selaginella,,,10.0
Setaria,,,2.0
Solanum,39.0,53.0,59.0
Sorghum,,,3.0
Spinacia,,,1.0
Triticum,,,3.0
Vitis,,,1.0
Zea,,,2.0
