Genus,Species,Number of PIN-II PI
Aegilops,tauschii,3
Ananas,comosus,3
Apostasia,shenzhenica,1
Arabidopsis,thaliana,2
Arabidopsis,lyrata,1
Arachis,hypogaea,4
Atropa,belladonna,1
Brachypodium,distachyon,2
Brassica,oleracea,2
Brassica,campestris,1
Brassica,cretica,1
Brassica,rapa,1
Camellia,sinensis,1
Capsella,rubella,1
Capsicum,annuum,99
Capsicum,chinense,13
Capsicum,baccatum,11
Cicer,arietinum,1
Coffea,canephora,6
Cuscuta,australis,4
Cuscuta,campestris,4
Daucus,carota,1
Dendrobium,catenatum,1
Dichanthelium,oligosanthes,4
Dorcoceras,hygrometricum,1
Eragrostis,curvula,3
Erythranthe,guttata,1
Eucalyptus,grandis,1
Fagus,sylvatica,1
Genlisea,aurea,2
Handroanthus,impetiginosus,3
Hordeum,vulgare,1
Jatropha,curcas,1
Juglans,regia,1
Leersia,perrieri,2
Lupinus,angustifolius,1
Manihot,esculenta,2
Medicago,truncatula,2
Morus,notabilis,1
Mucuna,pruriens,1
Musa,balbisiana,1
Nicotiana,tabacum,22
Nicotiana,attenuata,11
Nicotiana,sylvestris,10
Nicotiana,alata,2
Nicotiana,glutinosa,2
Nicotiana,obtusifolia,2
Nicotiana,acuminata,1
Nicotiana,benthamiana,1
Nicotiana,cavicola,1
Nicotiana,clevelandii,1
Nicotiana,corymbosa,1
Nicotiana,linearis,1
Nicotiana,megalosiphon,1
Nicotiana,miersii,1
Nicotiana,occidentalis,1
Nicotiana,pauciflora,1
Nicotiana,quadrivalvis,1
Nicotiana,repanda,1
Nicotiana,rustica,1
Nicotiana,simulans,1
Nicotiana,spegazzinii,1
Nicotiana,umbratica,1
Noccaea,caerulescens,4
Olea,europaea,1
Oryza,sativa,3
Oryza,barthii,1
Oryza,brachyantha,1
Oryza,glaberrima,1
Oryza,glumipatula,1
Oryza,meridionalis,1
Oryza,nivara,1
Oryza,punctata,1
Oryza,rufipogon,1
Panicum,hallii,5
Panicum,miliaceum,3
Parasponia,andersonii,1
Populus,alba,1
Populus,trichocarpa,1
Prunus,dulcis,3
Prunus,persica,3
Prunus,yedoensis,1
Punica,granatum,1
Ricinus,communis,1
Rosa,chinensis,5
Saccharum,hybrid,2
Salvia,splendens,1
Selaginella,moellendorffii,7
Setaria,italica,2
Setaria,viridis,1
Solanum,tuberosum,52
Solanum,lycopersicum,21
Solanum,chacoense,5
Solanum,americanum,4
Solanum,nigrum,4
Solanum,melongena,1
Solanum,phureja,1
Sorghum,bicolor,3
Spinacia,oleracea,1
Trema,orientale,1
Triticum,aestivum,3
Triticum,turgidum,1
Triticum,urartu,1
Vitis,vinifera,3
Zea,mays,2
