Organism,n-Domains,Number of PIN-II Pis
Aegilops tauschii (Tausch's goatgrass) (Aegilops squarrosa),1,1
Aegilops tauschii subsp. strangulata (Goatgrass),1,2
Ananas comosus (Pineapple) (Ananas ananas),1,2
Apostasia shenzhenica,1,1
Arabidopsis lyrata subsp. lyrata (Lyre-leaved rock-cress),1,1
Arabidopsis thaliana (Mouse-ear cress),1,2
Brachypodium distachyon (Purple false brome) (Trachynia distachya),1,1
Brassica campestris (Field mustard),1,1
Brassica cretica (Mustard),1,1
Brassica oleracea (Wild cabbage),1,1
Brassica oleracea var. oleracea,1,1
Brassica rapa subsp. pekinensis (Chinese cabbage) (Brassica pekinensis),1,1
Capsella rubella,1,1
Capsicum annuum (Capsicum pepper),5,55
Capsicum annuum (Capsicum pepper),1,16
Capsicum annuum (Capsicum pepper),3,16
Capsicum annuum (Capsicum pepper),7,9
Capsicum annuum (Capsicum pepper),4,1
Capsicum annuum (Capsicum pepper),11,1
Capsicum baccatum (Peruvian pepper),1,6
Capsicum baccatum (Peruvian pepper),5,4
Capsicum baccatum (Peruvian pepper),7,1
Capsicum chinense (Scotch bonnet) (Bonnet pepper),1,6
Capsicum chinense (Scotch bonnet) (Bonnet pepper),5,3
Capsicum chinense (Scotch bonnet) (Bonnet pepper),7,2
Capsicum chinense (Scotch bonnet) (Bonnet pepper),3,1
Capsicum chinense (Scotch bonnet) (Bonnet pepper),4,1
Cicer arietinum (Chickpea) (Garbanzo),1,1
Coffea canephora (Robusta coffee),1,5
Cuscuta australis,1,3
Cuscuta campestris,1,1
Daucus carota subsp. sativus (Carrot),1,1
Dendrobium catenatum,1,1
Dichanthelium oligosanthes,1,3
Dorcoceras hygrometricum,1,1
Erythranthe guttata (Yellow monkey flower) (Mimulus guttatus),1,1
Eucalyptus grandis (Flooded gum),1,1
Fagus sylvatica (Beechnut),1,1
Genlisea aurea,1,2
Handroanthus impetiginosus,1,3
Hordeum vulgare subsp. vulgare (Domesticated barley),1,1
Jatropha curcas (Barbados nut),1,1
Juglans regia (English walnut),1,1
Leersia perrieri,1,2
Manihot esculenta (Cassava) (Jatropha manihot),1,2
Medicago truncatula (Barrel medic) (Medicago tribuloides),1,2
Morus notabilis,1,1
Mucuna pruriens (Velvet bean) (Dolichos pruriens),1,1
Nicotiana acuminata (Acuminate tobacco),13,1
Nicotiana alata (Winged tobacco) (Persian tobacco),7,1
Nicotiana alata (Winged tobacco) (Persian tobacco),11,1
Nicotiana attenuata (Coyote tobacco),1,3
Nicotiana attenuata (Coyote tobacco),5,1
Nicotiana attenuata (Coyote tobacco),9,1
Nicotiana attenuata (Coyote tobacco),10,1
Nicotiana attenuata (Coyote tobacco),11,1
Nicotiana attenuata (Coyote tobacco),13,1
Nicotiana benthamiana,7,1
Nicotiana cavicola,3,1
Nicotiana clevelandii (Wild tobacco),11,1
Nicotiana corymbosa,3,1
Nicotiana glutinosa (Tobacco),11,1
Nicotiana glutinosa (Tobacco),15,1
Nicotiana linearis,9,1
Nicotiana megalosiphon,9,1
Nicotiana miersii,11,1
Nicotiana obtusifolia,15,2
Nicotiana occidentalis subsp. hesperis,11,1
Nicotiana pauciflora,11,1
Nicotiana quadrivalvis,11,1
Nicotiana repanda,11,1
Nicotiana rustica (Aztec tobacco),13,1
Nicotiana simulans,9,1
Nicotiana spegazzinii,9,1
