Genus,Domain Type,Number of Occurrences
Aegilops,3,3
Ananas,3,2
Apostasia,3,1
Arabidopsis,3,3
Brachypodium,3,1
Brassica,3,5
Capsella,3,1
Capsicum,1,249
Capsicum,2,188
Capsicum,3,54
Cicer,3,1
Coffea,3,5
Cuscuta,3,4
Daucus,3,1
Dendrobium,3,1
Dichanthelium,3,3
Dorcoceras,3,1
Erythranthe,3,1
Eucalyptus,3,1
Fagus,3,1
Genlisea,3,2
Handroanthus,3,3
Hordeum,3,1
Jatropha,3,1
Juglans,3,1
Leersia,3,2
Manihot,3,2
Medicago,3,2
Morus,3,1
Mucuna,3,1
Nicotiana,2,239
Nicotiana,1,197
Nicotiana,3,23
Noccaea,3,4
Olea,3,1
Oryza,3,11
Panicum,3,6
Parasponia,3,1
Populus,3,1
Prunus,3,7
Punica,3,1
Ricinus,3,1
Rosa,3,5
Saccharum,3,2
Selaginella,3,11
Setaria,3,3
Solanum,3,91
Solanum,2,79
Solanum,1,58
Sorghum,3,3
Spinacia,3,1
Triticum,3,5
Vitis,3,1
Zea,3,2
