Specie,Solanaceae,Number of PIs
Aegilops tauschii,0,1
Aegilops tauschii subsp. strangulata,0,2
Ananas comosus,0,3
Apostasia shenzhenica,0,1
Arabidopsis lyrata subsp. lyrata,0,1
Arabidopsis thaliana,0,2
Arachis hypogaea,0,4
Atropa belladonna,1,1
Brachypodium distachyon,0,2
Brassica campestris,0,1
Brassica cretica,0,1
Brassica oleracea,0,1
Brassica oleracea var. oleracea,0,1
Brassica rapa subsp. pekinensis,0,1
Camellia sinensis var. sinensis,0,1
Capsella rubella,0,1
Capsicum annuum,1,99
Capsicum baccatum,1,11
Capsicum chinense,1,13
Cicer arietinum,0,1
Coffea canephora,0,6
Cuscuta australis,0,4
Cuscuta campestris,0,4
Daucus carota subsp. sativus,0,1
Dendrobium catenatum,0,1
Dichanthelium oligosanthes,0,4
Dorcoceras hygrometricum,0,1
Eragrostis curvula,0,3
Erythranthe guttata,0,1
Eucalyptus grandis,0,1
Fagus sylvatica,0,1
Genlisea aurea,0,2
Handroanthus impetiginosus,0,3
Hordeum vulgare subsp. vulgare,0,1
Jatropha curcas,0,1
Juglans regia,0,1
Leersia perrieri,0,2
Lupinus angustifolius,0,1
Manihot esculenta,0,2
Medicago truncatula,0,2
Morus notabilis,0,1
Mucuna pruriens,0,1
Musa balbisiana,0,1
Nicotiana acuminata,1,1
Nicotiana alata,1,2
Nicotiana attenuata,1,11
Nicotiana benthamiana,1,1
Nicotiana cavicola,1,1
Nicotiana clevelandii,1,1
Nicotiana corymbosa,1,1
Nicotiana glutinosa,1,2
Nicotiana linearis,1,1
Nicotiana megalosiphon,1,1
Nicotiana miersii,1,1
Nicotiana obtusifolia,1,2
Nicotiana occidentalis subsp. hesperis,1,1
Nicotiana pauciflora,1,1
Nicotiana quadrivalvis,1,1
Nicotiana repanda,1,1
Nicotiana rustica,1,1
Nicotiana simulans,1,1
Nicotiana spegazzinii,1,1
Nicotiana sylvestris,1,10
Nicotiana tabacum,1,22
Nicotiana umbratica,1,1
Noccaea caerulescens,0,4
Olea europaea,0,1
Oryza barthii,0,1
Oryza brachyantha,0,1
Oryza glaberrima,0,1
Oryza glumipatula,0,1
Oryza meridionalis,0,1
Oryza nivara,0,1
Oryza punctata,0,1
Oryza rufipogon,0,1
Oryza sativa subsp. indica,0,1
Oryza sativa subsp. japonica,0,2
Panicum hallii,0,1
Panicum hallii var. hallii,0,4
Panicum miliaceum,0,3
Parasponia andersonii,0,1
Populus alba,0,1
Populus trichocarpa,0,1
Prunus dulcis,0,3
Prunus persica,0,3
Prunus yedoensis var. nudiflora,0,1
Punica granatum,0,1
Ricinus communis,0,1
Rosa chinensis,0,5
Saccharum hybrid cultivar R570,0,2
Salvia splendens,0,1
Selaginella moellendorffii,0,7
Setaria italica,0,2
Setaria viridis,0,1
Solanum americanum,1,4
Solanum chacoense,1,5
Solanum lycopersicum,1,21
Solanum melongena,1,1
Solanum nigrum,1,4
Solanum phureja,1,1
Solanum tuberosum,1,52
Sorghum bicolor,0,3
Spinacia oleracea,0,1
Trema orientale,0,1
Triticum aestivum,0,3
Triticum turgidum subsp. durum,0,1
Triticum urartu,0,1
Vitis vinifera,0,3
Zea mays,0,2
