Genus,Solanaceae,Number of PIs
Aegilops,0,3
Ananas,0,3
Apostasia,0,1
Arabidopsis,0,3
Arachis,0,4
Atropa,1,1
Brachypodium,0,2
Brassica,0,5
Camellia,0,1
Capsella,0,1
Capsicum,1,123
Cicer,0,1
Coffea,0,6
Cuscuta,0,8
Daucus,0,1
Dendrobium,0,1
Dichanthelium,0,4
Dorcoceras,0,1
Eragrostis,0,3
Erythranthe,0,1
Eucalyptus,0,1
Fagus,0,1
Genlisea,0,2
Handroanthus,0,3
Hordeum,0,1
Jatropha,0,1
Juglans,0,1
Leersia,0,2
Lupinus,0,1
Manihot,0,2
Medicago,0,2
Morus,0,1
Mucuna,0,1
Musa,0,1
Nicotiana,1,65
Noccaea,0,4
Olea,0,1
Oryza,0,11
Panicum,0,8
Parasponia,0,1
Populus,0,2
Prunus,0,7
Punica,0,1
Ricinus,0,1
Rosa,0,5
Saccharum,0,2
Salvia,0,1
Selaginella,0,7
Setaria,0,3
Solanum,1,88
Sorghum,0,3
Spinacia,0,1
Trema,0,1
Triticum,0,5
Vitis,0,3
Zea,0,2
