Species,Number of IRDs
Capsicum annuum,134
Solanum tuberosum,81
Nicotiana tabacum,70
Solanum lycopersicum,45
Capsicum chinense,41
Nicotiana sylvestris,39
Capsicum baccatum,32
Nicotiana attenuata,28
Nicotiana obtusifolia,14
Nicotiana glutinosa,13
Nicotiana acuminata,13
Solanum chacoense,13
Nicotiana occidentalis subsp. hesperis,11
Nicotiana repanda,11
Solanum nigrum,11
Nicotiana clevelandii,10
Selaginella moellendorffii,10
Nicotiana miersii,10
Nicotiana pauciflora,10
Nicotiana rustica,10
Nicotiana alata,10
Nicotiana linearis,9
Nicotiana spegazzinii,9
Nicotiana quadrivalvis,9
Nicotiana megalosiphon,9
Nicotiana umbratica,9
Nicotiana simulans,9
Solanum americanum,7
Nicotiana benthamiana,7
Coffea canephora,5
Rosa chinensis,5
Nicotiana cavicola,3
Dichanthelium oligosanthes,3
Nicotiana corymbosa,3
Cuscuta australis,3
Triticum aestivum,3
Solanum phureja,3
Sorghum bicolor,3
Genlisea aurea,2
Setaria italica,2
Leersia perrieri,2
Zea mays,2
Saccharum hybrid cultivar R570,2
Panicum hallii var. hallii,2
Prunus dulcis,2
Handroanthus impetiginosus,2
Aegilops tauschii subsp. strangulata,2
Prunus persica,2
Manihot esculenta,2
Ananas comosus,2
Medicago truncatula,2
Jatropha curcas,1
Panicum hallii,1
Oryza glaberrima,1
Oryza brachyantha,1
Brachypodium distachyon,1
Aegilops tauschii,1
Vitis vinifera,1
Noccaea caerulescens,1
Olea europaea,1
Fagus sylvatica,1
Brassica campestris,1
Setaria viridis,1
Oryza glumipatula,1
Brassica cretica,1
Cicer arietinum,1
Brassica oleracea,1
Juglans regia,1
Hordeum vulgare subsp. vulgare,1
Erythranthe guttata,1
Daucus carota subsp. sativus,1
Arabidopsis lyrata subsp. lyrata,1
Dendrobium catenatum,1
Parasponia andersonii,1
Oryza barthii,1
Arabidopsis thaliana,1
Capsella rubella,1
Triticum urartu,1
Oryza sativa subsp. japonica,1
Apostasia shenzhenica,1
Prunus yedoensis var. nudiflora,1
Dorcoceras hygrometricum,1
Punica granatum,1
Spinacia oleracea,1
Panicum miliaceum,1
Oryza rufipogon,1
Solanum melongena,1
Populus trichocarpa,1
Morus notabilis,1
Mucuna pruriens,1
Cuscuta campestris,1
Oryza nivara,1
Eucalyptus grandis,1
Triticum turgidum subsp. durum,1
Brassica oleracea var. oleracea,1
Oryza punctata,1
Brassica rapa subsp. pekinensis,1
Ricinus communis,1
Trema orientale,1
Oryza sativa subsp. indica,1
Oryza meridionalis,1
