RCL,Number of Occurrences
CPRNC,576
CTLNC,113
CPRYC,94
CPLNC,55
CTLEC,52
CPQFC,36
CTREC,34
CPLYC,31
CTKEC,26
CPQYC,24
CSKEC,21
CPKNC,17
CPFNC,16
CTFEC,14
CTFNC,13
CTQEC,11
CTQQC,10
CTTEC,8
CTRNC,8
CLQVC,8
CPLIC,7
CTMEC,7
CPRDC,7
CLQFC,6
CTQHC,6
CAMYC,6
CPANC,5
CPAIC,5
CPQIC,5
CSRNC,5
CIQVC,4
CRRNC,4
CPPNC,4
CSYEC,4
CPRIC,4
CPSYC,4
CPKEC,4
CNKIC,3
CPLFC,3
CHQYC,3
CLQYC,3
CTPNC,2
CTLDC,2
CTIEC,2
CPFYC,2
CPLVC,2
CLGNC,2
CPQNC,2
CHLNC,2
CPFFC,1
CYLYC,1
CTQDC,1
CIEIC,1
CIETC,1
CSFNC,1
CYLIC,1
CPMYC,1
CLQKC,1
CIQIC,1
CTFKC,1
CPRFC,1
CIREC,1
