Genus,RCL,Occurrences
Aegilops,CHQYC,2
Aegilops,CPQYC,1
Ananas,CPQYC,2
Apostasia,CPLYC,1
Arabidopsis,CPLYC,3
Brachypodium,CPQYC,1
Brassica,CPLYC,5
Capsella,CPLYC,1
Capsicum,CPRNC,203
Capsicum,CPRYC,94
Capsicum,CTLNC,86
Capsicum,CTLEC,24
Capsicum,CPKNC,14
Capsicum,CTQEC,8
Capsicum,CTREC,7
Capsicum,CTKEC,6
Capsicum,CTQHC,6
Capsicum,CPAIC,5
Capsicum,CPANC,5
Capsicum,CSRNC,5
Capsicum,CIQVC,4
Capsicum,CLQVC,4
Capsicum,CPQFC,3
Capsicum,CPQIC,3
Capsicum,CPRDC,3
Capsicum,CTMEC,3
Capsicum,CLGNC,2
Capsicum,CLQFC,2
Capsicum,CTLDC,2
Capsicum,CTPNC,2
Cicer,CPLIC,1
Coffea,CPQYC,2
Coffea,CPFFC,1
Coffea,CPLVC,1
Coffea,CPRFC,1
Cuscuta,CTLEC,2
Cuscuta,CPRNC,1
Cuscuta,CTQEC,1
Daucus,CYLYC,1
Dendrobium,CPQYC,1
Dichanthelium,CPLYC,1
Dichanthelium,CPQFC,1
Dichanthelium,CPQYC,1
Dorcoceras,CPLYC,1
Erythranthe,CPLYC,1
Eucalyptus,CPLVC,1
Fagus,CPLYC,1
Genlisea,CPLFC,1
Genlisea,CYLIC,1
Handroanthus,CPLYC,3
Hordeum,CPQYC,1
Jatropha,CPLYC,1
Juglans,CPLYC,1
Leersia,CPQFC,2
Manihot,CPLYC,2
Medicago,CPQFC,2
Morus,CPQYC,1
Mucuna,CPQIC,1
Nicotiana,CPRNC,331
Nicotiana,CTLNC,27
Nicotiana,CPLNC,19
Nicotiana,CPFNC,12
Nicotiana,CTFEC,10
Nicotiana,CPQFC,8
Nicotiana,CTREC,8
Nicotiana,CTTEC,8
Nicotiana,CTRNC,7
Nicotiana,CLQFC,4
Nicotiana,CPRDC,4
Nicotiana,CRRNC,4
Nicotiana,CTKEC,4
Nicotiana,CPPNC,2
Nicotiana,CPQNC,2
Nicotiana,CPRIC,2
Nicotiana,CTFNC,2
Nicotiana,CTIEC,2
Nicotiana,CLQKC,1
Nicotiana,CSFNC,1
Nicotiana,CTQDC,1
Noccaea,CPLYC,4
Olea,CTKEC,1
Oryza,CPQFC,11
Panicum,CAMYC,3
Panicum,CPQYC,3
Parasponia,CPQFC,1
Populus,CPLYC,1
Prunus,CPQYC,4
Prunus,CNKIC,3
Punica,CPQYC,1
Ricinus,CPLYC,1
Rosa,CPLIC,2
Rosa,CIQIC,1
Rosa,CPQFC,1
Rosa,CPQIC,1
Saccharum,CIEIC,1
Saccharum,CPMYC,1
Selaginella,CPLIC,4
Selaginella,CTREC,3
Selaginella,CTLEC,2
Selaginella,CPQYC,1
Selaginella,CTFKC,1
Setaria,CAMYC,3
Solanum,CPRNC,41
Solanum,CPLNC,36
Solanum,CTLEC,24
Solanum,CSKEC,21
Solanum,CTREC,16
Solanum,CTKEC,15
Solanum,CTFNC,11
Solanum,CTQQC,10
Solanum,CLQVC,4
Solanum,CPFNC,4
Solanum,CPKEC,4
Solanum,CPQFC,4
Solanum,CPSYC,4
Solanum,CSYEC,4
Solanum,CTFEC,4
Solanum,CTMEC,4
Solanum,CLQYC,3
Solanum,CPKNC,3
Solanum,CHLNC,2
Solanum,CPFYC,2
Solanum,CPLFC,2
Solanum,CPLYC,2
Solanum,CPPNC,2
Solanum,CPRIC,2
Solanum,CTQEC,2
Solanum,CIREC,1
Solanum,CTRNC,1
Sorghum,CIETC,1
Sorghum,CPLYC,1
Sorghum,CPQYC,1
Spinacia,CPQFC,1
Triticum,CPQYC,4
Triticum,CHQYC,1
Vitis,CPLYC,1
Zea,CPQFC,2
