RCL,Domain Count
CPRNC,291
CTLNC,36
CPLNC,35
CTLEC,25
CPQFC,23
CPLYC,23
CTKEC,20
CPQYC,19
CTREC,19
CPRYC,18
CTFEC,12
CPFNC,12
CSKEC,11
CTQEC,10
CTQQC,8
CPLIC,7
CTFNC,7
CPKNC,7
CTRNC,7
CLQVC,6
CPAIC,5
CTMEC,5
CSRNC,5
CPANC,5
CTTEC,4
CPRDC,4
CTQHC,4
CPKEC,4
CPPNC,4
CPQIC,3
CPLFC,3
CPSYC,3
CRRNC,3
CAMYC,3
CPRIC,3
CPLVC,2
CNKIC,2
CTIEC,2
CLQYC,2
CSYEC,2
CIQVC,2
CHLNC,2
CTLDC,2
CLGNC,2
CLQFC,2
CPFYC,2
CTPNC,2
CPQNC,2
CIREC,1
CIEIC,1
CIQIC,1
CPFFC,1
CIETC,1
CTFKC,1
CPRFC,1
CLQKC,1
CHQYC,1
CYLYC,1
CPDIC,1
CPMYC,1
CSFNC,1
CTQDC,1
CYLIC,1
