Genus,Target Protease,Occurrences
Aegilops,Unknown,3
Ananas,Unknown,2
Apostasia,Chymotrypsin,1
Arabidopsis,Chymotrypsin,3
Brachypodium,Unknown,1
Brassica,Chymotrypsin,5
Capsella,Chymotrypsin,1
Capsicum,Trypsin,332
Capsicum,Chymotrypsin,112
Capsicum,Unknown,35
Capsicum,Elastase,12
Cicer,Chymotrypsin,1
Coffea,Chymotrypsin,2
Coffea,Unknown,2
Coffea,Trypsin,1
Cuscuta,Chymotrypsin,2
Cuscuta,Trypsin,1
Cuscuta,Unknown,1
Daucus,Chymotrypsin,1
Dendrobium,Unknown,1
Dichanthelium,Unknown,2
Dichanthelium,Chymotrypsin,1
Dorcoceras,Chymotrypsin,1
Erythranthe,Chymotrypsin,1
Eucalyptus,Chymotrypsin,1
Fagus,Chymotrypsin,1
Genlisea,Chymotrypsin,2
Handroanthus,Chymotrypsin,3
Hordeum,Unknown,1
Jatropha,Chymotrypsin,1
Juglans,Chymotrypsin,1
Leersia,Unknown,2
Manihot,Chymotrypsin,2
Medicago,Unknown,2
Morus,Unknown,1
Mucuna,Unknown,1
Nicotiana,Trypsin,360
Nicotiana,Chymotrypsin,73
Nicotiana,Unknown,26
Noccaea,Chymotrypsin,4
Olea,Trypsin,1
Oryza,Unknown,11
Panicum,Unknown,6
Parasponia,Unknown,1
Populus,Chymotrypsin,1
Prunus,Unknown,4
Prunus,Trypsin,3
Punica,Unknown,1
Ricinus,Chymotrypsin,1
Rosa,Unknown,3
Rosa,Chymotrypsin,2
Saccharum,Unknown,2
Selaginella,Chymotrypsin,7
Selaginella,Trypsin,3
Selaginella,Unknown,1
Setaria,Unknown,3
Solanum,Trypsin,104
Solanum,Chymotrypsin,91
Solanum,Unknown,33
Sorghum,Unknown,2
Sorghum,Chymotrypsin,1
Spinacia,Unknown,1
Triticum,Unknown,5
Vitis,Chymotrypsin,1
Zea,Unknown,2
