,DomainID
IRD-133,34
IRD-84,29
IRD-536,25
IRD-559,21
IRD-122,18
IRD-93,18
IRD-560,17
IRD-83,15
IRD-551,13
IRD-121,13
IRD-541,12
IRD-90,12
IRD-467,11
IRD-143,11
IRD-552,9
IRD-387,8
IRD-444,8
IRD-153,7
IRD-451,7
IRD-606,7
IRD-412,7
IRD-689,6
IRD-152,6
IRD-103,6
IRD-232,5
IRD-658,5
IRD-78,5
IRD-12,5
IRD-519,4
IRD-211,4
IRD-655,4
IRD-619,4
IRD-456,4
IRD-496,4
IRD-58,4
IRD-172,4
IRD-346,4
IRD-405,4
IRD-169,4
IRD-325,4
IRD-315,4
IRD-176,4
IRD-540,4
IRD-240,4
IRD-255,4
IRD-626,3
IRD-166,3
IRD-56,3
IRD-400,3
IRD-43,3
IRD-248,3
IRD-505,3
IRD-625,3
IRD-25,3
IRD-348,3
IRD-455,3
IRD-607,3
IRD-596,3
IRD-618,3
IRD-692,3
IRD-604,3
IRD-419,3
IRD-616,3
IRD-297,3
IRD-377,3
IRD-292,3
IRD-449,3
IRD-344,3
IRD-669,3
IRD-41,3
IRD-364,3
IRD-184,3
IRD-595,3
IRD-62,3
IRD-360,3
IRD-74,3
IRD-354,3
IRD-357,3
IRD-254,3
IRD-20,3
IRD-615,3
IRD-329,3
IRD-237,3
IRD-488,3
IRD-285,3
IRD-165,3
IRD-311,3
IRD-207,2
IRD-331,2
IRD-159,2
IRD-76,2
IRD-338,2
IRD-13,2
IRD-593,2
IRD-23,2
IRD-206,2
IRD-485,2
IRD-470,2
IRD-531,2
IRD-475,2
IRD-347,2
IRD-427,2
IRD-539,2
IRD-609,2
IRD-209,2
IRD-666,2
IRD-307,2
IRD-164,2
IRD-10,2
IRD-57,2
IRD-464,2
IRD-535,2
IRD-160,2
IRD-24,2
IRD-489,2
IRD-621,2
IRD-437,2
IRD-3,2
IRD-524,2
IRD-617,2
IRD-529,2
IRD-32,2
IRD-108,2
IRD-401,2
IRD-644,2
IRD-239,2
IRD-500,2
IRD-638,2
IRD-185,2
IRD-637,2
IRD-592,2
IRD-653,2
IRD-155,2
IRD-367,2
IRD-581,2
IRD-516,2
IRD-52,2
IRD-156,2
IRD-189,2
IRD-499,2
IRD-651,2
IRD-491,2
IRD-278,2
IRD-679,2
IRD-158,2
IRD-361,2
IRD-690,2
IRD-63,2
IRD-494,2
IRD-28,2
IRD-665,2
IRD-612,2
IRD-253,2
IRD-275,2
IRD-579,2
IRD-265,2
IRD-440,2
IRD-460,2
IRD-466,2
IRD-186,2
IRD-452,2
IRD-61,2
IRD-586,2
IRD-661,2
IRD-698,2
IRD-620,2
IRD-210,2
IRD-154,2
IRD-611,2
IRD-378,2
IRD-597,2
IRD-418,2
IRD-241,2
IRD-695,2
IRD-608,2
IRD-518,2
IRD-168,2
IRD-640,2
IRD-157,2
IRD-591,2
IRD-163,2
IRD-217,2
IRD-465,2
IRD-680,2
IRD-162,2
IRD-483,2
IRD-472,2
IRD-310,2
IRD-459,2
IRD-75,2
IRD-199,2
IRD-580,2
IRD-14,2
IRD-600,2
IRD-495,2
IRD-435,2
IRD-196,2
IRD-363,2
IRD-428,2
IRD-341,2
IRD-590,1
IRD-289,1
IRD-538,1
IRD-129,1
IRD-561,1
IRD-86,1
IRD-40,1
IRD-229,1
IRD-633,1
IRD-697,1
IRD-521,1
IRD-17,1
IRD-213,1
IRD-571,1
IRD-547,1
IRD-554,1
IRD-6,1
IRD-376,1
IRD-80,1
IRD-218,1
IRD-342,1
IRD-339,1
IRD-26,1
IRD-352,1
IRD-389,1
IRD-417,1
IRD-564,1
IRD-15,1
IRD-532,1
IRD-120,1
IRD-622,1
IRD-70,1
IRD-370,1
IRD-55,1
IRD-468,1
IRD-281,1
IRD-320,1
IRD-271,1
IRD-9,1
IRD-301,1
IRD-288,1
IRD-333,1
IRD-136,1
IRD-686,1
IRD-585,1
IRD-672,1
IRD-359,1
IRD-37,1
IRD-104,1
IRD-408,1
IRD-45,1
IRD-522,1
IRD-639,1
IRD-534,1
IRD-391,1
IRD-477,1
IRD-372,1
IRD-631,1
IRD-150,1
IRD-550,1
IRD-304,1
IRD-382,1
IRD-233,1
IRD-257,1
IRD-72,1
IRD-19,1
IRD-324,1
IRD-330,1
IRD-132,1
IRD-576,1
IRD-187,1
IRD-282,1
IRD-18,1
IRD-51,1
IRD-149,1
IRD-50,1
IRD-161,1
IRD-302,1
IRD-687,1
IRD-73,1
IRD-91,1
IRD-134,1
IRD-503,1
IRD-236,1
IRD-268,1
IRD-178,1
IRD-549,1
IRD-355,1
IRD-1,1
IRD-545,1
IRD-88,1
IRD-194,1
IRD-670,1
IRD-407,1
IRD-337,1
IRD-642,1
IRD-99,1
IRD-272,1
IRD-316,1
IRD-589,1
IRD-476,1
IRD-568,1
IRD-286,1
IRD-682,1
IRD-287,1
IRD-501,1
IRD-636,1
IRD-380,1
IRD-97,1
IRD-572,1
IRD-82,1
IRD-336,1
IRD-111,1
IRD-390,1
IRD-369,1
IRD-220,1
IRD-430,1
IRD-118,1
IRD-192,1
IRD-406,1
IRD-106,1
IRD-497,1
IRD-388,1
IRD-610,1
IRD-46,1
IRD-273,1
IRD-385,1
IRD-353,1
IRD-474,1
IRD-274,1
IRD-71,1
IRD-542,1
IRD-351,1
IRD-398,1
IRD-247,1
IRD-413,1
IRD-317,1
IRD-314,1
IRD-667,1
IRD-574,1
IRD-696,1
IRD-647,1
IRD-77,1
IRD-537,1
IRD-203,1
IRD-128,1
IRD-246,1
IRD-553,1
IRD-656,1
IRD-436,1
IRD-528,1
IRD-21,1
IRD-89,1
IRD-659,1
IRD-384,1
IRD-171,1
IRD-116,1
IRD-371,1
IRD-33,1
IRD-506,1
IRD-349,1
IRD-480,1
IRD-411,1
IRD-190,1
IRD-478,1
IRD-558,1
IRD-603,1
IRD-228,1
IRD-562,1
IRD-231,1
IRD-299,1
IRD-397,1
IRD-294,1
IRD-179,1
IRD-396,1
IRD-410,1
IRD-123,1
IRD-222,1
IRD-598,1
IRD-454,1
IRD-573,1
IRD-356,1
IRD-645,1
IRD-358,1
IRD-577,1
IRD-526,1
IRD-442,1
IRD-432,1
IRD-137,1
IRD-98,1
IRD-443,1
IRD-234,1
IRD-67,1
IRD-258,1
IRD-635,1
IRD-383,1
IRD-544,1
IRD-624,1
IRD-94,1
IRD-4,1
IRD-379,1
IRD-263,1
IRD-290,1
IRD-681,1
IRD-260,1
IRD-65,1
IRD-85,1
IRD-523,1
IRD-79,1
IRD-226,1
IRD-191,1
IRD-215,1
IRD-264,1
IRD-350,1
IRD-632,1
IRD-677,1
IRD-520,1
IRD-183,1
IRD-634,1
IRD-533,1
IRD-7,1
IRD-482,1
IRD-629,1
IRD-2,1
IRD-249,1
IRD-323,1
IRD-343,1
IRD-439,1
IRD-115,1
IRD-614,1
IRD-135,1
IRD-392,1
IRD-225,1
IRD-87,1
IRD-431,1
IRD-517,1
IRD-48,1
IRD-318,1
IRD-458,1
IRD-627,1
IRD-463,1
IRD-64,1
IRD-613,1
IRD-102,1
IRD-530,1
IRD-140,1
IRD-479,1
IRD-557,1
IRD-44,1
IRD-244,1
IRD-130,1
IRD-433,1
IRD-514,1
IRD-238,1
IRD-481,1
IRD-22,1
IRD-588,1
IRD-434,1
IRD-29,1
IRD-662,1
IRD-525,1
IRD-224,1
IRD-276,1
IRD-587,1
IRD-546,1
IRD-177,1
IRD-394,1
IRD-112,1
IRD-36,1
IRD-649,1
IRD-648,1
IRD-438,1
IRD-214,1
IRD-125,1
IRD-508,1
IRD-381,1
IRD-386,1
IRD-567,1
IRD-69,1
IRD-527,1
IRD-197,1
IRD-227,1
IRD-469,1
IRD-660,1
IRD-426,1
IRD-340,1
IRD-81,1
IRD-313,1
IRD-570,1
IRD-119,1
IRD-694,1
IRD-322,1
IRD-250,1
IRD-628,1
IRD-599,1
IRD-230,1
IRD-654,1
IRD-676,1
IRD-548,1
IRD-393,1
IRD-27,1
IRD-113,1
IRD-453,1
IRD-92,1
IRD-279,1
IRD-54,1
IRD-68,1
IRD-308,1
IRD-223,1
IRD-487,1
IRD-270,1
IRD-47,1
IRD-11,1
IRD-147,1
IRD-498,1
IRD-127,1
IRD-53,1
IRD-252,1
IRD-295,1
IRD-575,1
IRD-566,1
IRD-95,1
IRD-601,1
IRD-312,1
IRD-319,1
IRD-138,1
IRD-424,1
IRD-365,1
IRD-306,1
IRD-678,1
IRD-146,1
IRD-673,1
IRD-605,1
IRD-31,1
IRD-38,1
IRD-447,1
IRD-262,1
IRD-584,1
IRD-684,1
IRD-126,1
IRD-416,1
IRD-139,1
IRD-493,1
IRD-212,1
IRD-259,1
IRD-509,1
IRD-399,1
IRD-683,1
IRD-110,1
IRD-445,1
IRD-202,1
IRD-180,1
IRD-450,1
IRD-34,1
IRD-243,1
IRD-555,1
IRD-543,1
IRD-675,1
IRD-256,1
IRD-59,1
IRD-582,1
IRD-422,1
IRD-182,1
IRD-309,1
IRD-515,1
IRD-144,1
IRD-16,1
IRD-462,1
IRD-167,1
IRD-623,1
IRD-242,1
IRD-280,1
IRD-8,1
IRD-39,1
IRD-284,1
IRD-578,1
IRD-291,1
IRD-512,1
IRD-556,1
IRD-5,1
IRD-293,1
IRD-181,1
IRD-216,1
IRD-269,1
IRD-688,1
IRD-124,1
IRD-502,1
IRD-569,1
IRD-693,1
IRD-461,1
IRD-131,1
IRD-148,1
IRD-425,1
IRD-335,1
IRD-201,1
IRD-409,1
IRD-219,1
IRD-66,1
IRD-513,1
IRD-691,1
IRD-109,1
IRD-373,1
IRD-395,1
IRD-277,1
IRD-650,1
IRD-368,1
IRD-193,1
IRD-49,1
IRD-101,1
IRD-457,1
IRD-441,1
IRD-205,1
IRD-221,1
IRD-60,1
IRD-303,1
IRD-657,1
IRD-471,1
IRD-641,1
IRD-404,1
IRD-188,1
IRD-630,1
IRD-583,1
IRD-664,1
IRD-30,1
IRD-334,1
IRD-668,1
IRD-141,1
IRD-446,1
IRD-646,1
IRD-490,1
IRD-492,1
IRD-175,1
IRD-402,1
IRD-484,1
IRD-414,1
IRD-685,1
IRD-327,1
IRD-283,1
IRD-403,1
IRD-96,1
IRD-511,1
IRD-261,1
IRD-563,1
IRD-448,1
IRD-296,1
IRD-510,1
IRD-145,1
IRD-142,1
IRD-117,1
IRD-362,1
IRD-114,1
IRD-504,1
IRD-170,1
IRD-35,1
IRD-652,1
IRD-366,1
IRD-208,1
IRD-195,1
IRD-602,1
IRD-174,1
IRD-507,1
IRD-298,1
IRD-671,1
IRD-429,1
IRD-198,1
IRD-173,1
IRD-267,1
IRD-663,1
IRD-200,1
IRD-321,1
IRD-300,1
IRD-421,1
IRD-594,1
IRD-245,1
IRD-415,1
IRD-42,1
IRD-204,1
IRD-420,1
IRD-674,1
IRD-105,1
IRD-565,1
IRD-375,1
IRD-332,1
IRD-151,1
IRD-107,1
IRD-473,1
IRD-266,1
IRD-643,1
IRD-100,1
IRD-251,1
