DomainID,Species,Species
IRD-1,Solanum lycopersicum ,1
IRD-10,Capsicum annuum ,1
IRD-10,Capsicum chinense ,1
IRD-100,Capsicum annuum ,1
IRD-101,Capsicum annuum ,1
IRD-102,Capsicum annuum ,1
IRD-103,Capsicum annuum ,1
IRD-104,Capsicum annuum ,1
IRD-105,Capsicum annuum ,1
IRD-106,Capsicum annuum ,1
IRD-107,Capsicum annuum ,1
IRD-108,Capsicum annuum ,1
IRD-109,Capsicum annuum ,1
IRD-11,Capsicum baccatum ,1
IRD-110,Capsicum annuum ,1
IRD-111,Capsicum annuum ,1
IRD-112,Capsicum annuum ,1
IRD-113,Capsicum annuum ,1
IRD-114,Capsicum annuum ,1
IRD-115,Capsicum annuum ,1
IRD-116,Capsicum annuum ,1
IRD-117,Capsicum annuum ,1
IRD-118,Capsicum annuum ,1
IRD-119,Capsicum baccatum ,1
IRD-12,Capsicum annuum ,1
IRD-120,Capsicum annuum ,1
IRD-121,Capsicum annuum ,1
IRD-122,Capsicum annuum ,1
IRD-122,Capsicum chinense ,1
IRD-123,Capsicum annuum ,1
IRD-124,Capsicum annuum ,1
IRD-125,Capsicum annuum ,1
IRD-126,Capsicum annuum ,1
IRD-127,Capsicum annuum ,1
IRD-128,Capsicum annuum ,1
IRD-129,Capsicum annuum ,1
IRD-13,Solanum tuberosum ,1
IRD-130,Capsicum annuum ,1
IRD-131,Capsicum chinense ,1
IRD-132,Capsicum annuum ,1
IRD-133,Capsicum annuum ,1
IRD-133,Capsicum baccatum ,1
IRD-134,Capsicum chinense ,1
IRD-135,Capsicum annuum ,1
IRD-136,Capsicum annuum ,1
IRD-137,Capsicum annuum ,1
IRD-138,Capsicum annuum ,1
IRD-139,Capsicum annuum ,1
IRD-14,Capsicum annuum ,1
IRD-14,Capsicum chinense ,1
IRD-140,Capsicum baccatum ,1
IRD-141,Capsicum annuum ,1
IRD-142,Capsicum baccatum ,1
IRD-143,Capsicum annuum ,1
IRD-143,Capsicum chinense ,1
IRD-144,Capsicum baccatum ,1
IRD-145,Capsicum annuum ,1
IRD-146,Capsicum annuum ,1
IRD-147,Capsicum annuum ,1
IRD-148,Capsicum annuum ,1
IRD-149,Capsicum annuum ,1
IRD-15,Capsicum annuum ,1
IRD-150,Nicotiana sylvestris ,1
IRD-151,Solanum tuberosum ,1
IRD-152,Nicotiana sylvestris ,1
IRD-152,Nicotiana tabacum ,1
IRD-153,Nicotiana alata ,1
IRD-153,Nicotiana sylvestris ,1
IRD-153,Nicotiana tabacum ,1
IRD-154,Nicotiana obtusifolia,1
IRD-155,Nicotiana obtusifolia,1
IRD-156,Nicotiana obtusifolia,1
IRD-157,Nicotiana obtusifolia,1
