Solanaceae,Species,Species
0,Coffea canephora ,5
0,Rosa chinensis ,5
0,Noccaea caerulescens ,4
0,Panicum hallii var. hallii,4
0,Cuscuta australis,3
0,Dichanthelium oligosanthes,3
0,Handroanthus impetiginosus,3
0,Prunus dulcis ,3
0,Prunus persica ,3
0,Selaginella moellendorffii ,3
0,Sorghum bicolor ,3
0,Triticum aestivum ,3
0,Aegilops tauschii subsp. strangulata ,2
0,Ananas comosus ,2
0,Arabidopsis thaliana ,2
0,Coffea arabica ,2
0,Genlisea aurea,2
0,Leersia perrieri,2
0,Manihot esculenta ,2
0,Medicago truncatula ,2
0,Oryza sativa subsp. japonica ,2
0,Saccharum hybrid cultivar R570,2
0,Setaria italica ,2
0,Zea mays ,2
0,Aegilops tauschii ,1
0,Apostasia shenzhenica,1
0,Arabidopsis lyrata subsp. lyrata ,1
0,Brachypodium distachyon ,1
0,Brassica campestris ,1
0,Brassica cretica ,1
0,Brassica oleracea ,1
0,Brassica oleracea var. oleracea,1
0,Brassica rapa subsp. pekinensis ,1
0,Capsella rubella,1
0,Cicer arietinum ,1
0,Cuscuta campestris,1
0,Daucus carota subsp. sativus ,1
0,Dendrobium catenatum,1
0,Dorcoceras hygrometricum,1
0,Erythranthe guttata ,1
0,Eucalyptus grandis ,1
0,Fagus sylvatica ,1
0,Hordeum vulgare subsp. vulgare ,1
0,Jatropha curcas ,1
0,Morus notabilis,1
0,Mucuna pruriens ,1
0,Olea europaea ,1
0,Oryza barthii,1
0,Oryza brachyantha,1
0,Oryza glaberrima ,1
0,Oryza glumipatula,1
0,Oryza meridionalis,1
0,Oryza nivara ,1
0,Oryza punctata ,1
0,Oryza rufipogon ,1
0,Oryza sativa subsp. indica ,1
0,Panicum hallii,1
0,Panicum miliaceum ,1
0,Parasponia andersonii ,1
0,Populus trichocarpa ,1
0,Prunus armeniaca ,1
0,Prunus yedoensis var. nudiflora,1
0,Punica granatum ,1
0,Ricinus communis ,1
0,Setaria viridis ,1
0,Spinacia oleracea ,1
0,Trema orientale ,1
0,Triticum turgidum subsp. durum ,1
0,Triticum urartu ,1
0,Vitis vinifera ,1
1,Capsicum annuum ,16
1,Solanum tuberosum ,12
1,Nicotiana tabacum ,8
1,Capsicum baccatum ,6
1,Capsicum chinense ,6
1,Nicotiana sylvestris ,4
1,Nicotiana attenuata ,3
1,Solanum americanum ,2
1,Solanum chilense ,2
1,Solanum lycopersicum ,2
1,Solanum melongena ,1
