DomainType,Organism,Organism
1.0,Capsicum annuum (Capsicum pepper),68
1.0,Nicotiana tabacum (Common tobacco),24
1.0,Solanum tuberosum (Potato),21
1.0,Nicotiana sylvestris (Wood tobacco) (South American tobacco),14
1.0,Nicotiana attenuata (Coyote tobacco),13
1.0,Capsicum chinense (Scotch bonnet) (Bonnet pepper),12
1.0,Solanum lycopersicum (Tomato) (Lycopersicon esculentum),11
1.0,Capsicum baccatum (Peruvian pepper),10
1.0,Nicotiana obtusifolia,7
1.0,Nicotiana acuminata (Acuminate tobacco),6
1.0,Nicotiana glutinosa (Tobacco),6
1.0,Nicotiana alata (Winged tobacco) (Persian tobacco),5
1.0,Nicotiana clevelandii (Wild tobacco),5
1.0,Nicotiana miersii,5
1.0,Nicotiana occidentalis subsp. hesperis,5
1.0,Nicotiana pauciflora,5
1.0,Nicotiana repanda,5
1.0,Nicotiana rustica (Aztec tobacco),5
1.0,Nicotiana linearis,4
1.0,Nicotiana megalosiphon,4
1.0,Nicotiana quadrivalvis,4
1.0,Nicotiana simulans,4
1.0,Nicotiana spegazzinii,4
1.0,Nicotiana umbratica,4
1.0,Nicotiana benthamiana,3
1.0,Solanum chacoense (Chaco potato),3
1.0,Solanum americanum (American black nightshade) (Solanum nodiflorum),2
1.0,Solanum nigrum (Black nightshade),2
1.0,Nicotiana cavicola,1
1.0,Nicotiana corymbosa,1
1.0,Solanum chilense (Tomato) (Lycopersicon chilense),1
1.0,Solanum melongena (Eggplant) (Aubergine),1
1.0,Solanum phureja,1
2.0,Capsicum annuum (Capsicum pepper),49
2.0,Nicotiana tabacum (Common tobacco),35
2.0,Solanum tuberosum (Potato),26
2.0,Nicotiana sylvestris (Wood tobacco) (South American tobacco),19
2.0,Solanum lycopersicum (Tomato) (Lycopersicon esculentum),19
2.0,Capsicum chinense (Scotch bonnet) (Bonnet pepper),13
2.0,Nicotiana attenuata (Coyote tobacco),11
2.0,Capsicum baccatum (Peruvian pepper),10
2.0,Nicotiana acuminata (Acuminate tobacco),7
2.0,Nicotiana glutinosa (Tobacco),7
