,RclID
RL-1,578
RL-3,113
RL-6,94
RL-2,55
RL-9,52
RL-12,36
RL-4,36
RL-27,30
RL-10,27
RL-33,25
RL-13,21
RL-11,17
RL-5,16
RL-8,14
RL-7,13
RL-18,11
RL-20,11
RL-30,8
RL-24,8
RL-36,8
RL-43,7
RL-19,7
RL-39,7
RL-44,6
RL-46,6
RL-25,6
RL-37,6
RL-40,5
RL-21,5
RL-29,5
RL-22,5
RL-42,4
RL-14,4
RL-32,4
RL-17,4
RL-50,4
RL-38,4
RL-26,4
RL-23,4
RL-59,3
RL-35,3
RL-31,2
RL-34,2
RL-16,2
RL-53,2
RL-15,2
RL-47,2
RL-41,2
RL-49,2
RL-28,2
RL-52,1
RL-62,1
RL-60,1
RL-56,1
RL-58,1
RL-48,1
RL-61,1
RL-51,1
RL-45,1
RL-55,1
RL-57,1
RL-54,1
