OrganismID,DomainID,DomainID
3476,IRD-676,1
3562,IRD-393,1
3694,IRD-301,1
3702,IRD-307,2
3711,IRD-310,1
3712,IRD-311,1
3755,IRD-325,2
3755,IRD-357,1
3760,IRD-325,2
3760,IRD-357,1
3827,IRD-398,1
3880,IRD-381,1
3880,IRD-383,1
3983,IRD-302,1
3983,IRD-303,1
3988,IRD-304,1
4072,IRD-133,38
4072,IRD-84,29
4072,IRD-536,25
4072,IRD-559,21
4072,IRD-122,18
4072,IRD-560,17
4072,IRD-93,17
4072,IRD-551,14
4072,IRD-83,14
4072,IRD-121,13
4072,IRD-541,12
4072,IRD-90,12
4072,IRD-143,10
4072,IRD-552,9
4072,IRD-444,7
4072,IRD-103,6
4072,IRD-412,6
4072,IRD-451,6
4072,IRD-12,5
4072,IRD-232,5
4072,IRD-78,5
4072,IRD-519,4
4072,IRD-540,4
4072,IRD-108,2
4072,IRD-28,2
4072,IRD-344,2
4072,IRD-348,2
4072,IRD-377,2
4072,IRD-43,2
4072,IRD-491,2
4072,IRD-539,2
4072,IRD-692,2
4072,IRD-10,1
4072,IRD-100,1
4072,IRD-101,1
4072,IRD-102,1
4072,IRD-104,1
4072,IRD-105,1
4072,IRD-106,1
4072,IRD-107,1
4072,IRD-109,1
4072,IRD-110,1
4072,IRD-111,1
4072,IRD-112,1
4072,IRD-113,1
4072,IRD-114,1
4072,IRD-115,1
4072,IRD-116,1
4072,IRD-117,1
4072,IRD-118,1
4072,IRD-120,1
4072,IRD-123,1
4072,IRD-124,1
4072,IRD-125,1
4072,IRD-126,1
4072,IRD-127,1
4072,IRD-128,1
4072,IRD-129,1
4072,IRD-130,1
4072,IRD-132,1
4072,IRD-135,1
4072,IRD-136,1
4072,IRD-137,1
4072,IRD-138,1
4072,IRD-139,1
4072,IRD-14,1
4072,IRD-141,1
4072,IRD-145,1
4072,IRD-146,1
4072,IRD-147,1
4072,IRD-148,1
4072,IRD-149,1
4072,IRD-15,1
4072,IRD-233,1
4072,IRD-280,1
4072,IRD-282,1
4072,IRD-289,1
4072,IRD-295,1
4072,IRD-296,1
4072,IRD-316,1
4072,IRD-354,1
4072,IRD-404,1
4072,IRD-415,1
4072,IRD-416,1
4072,IRD-445,1
4072,IRD-446,1
4072,IRD-447,1
4072,IRD-448,1
4072,IRD-472,1
4072,IRD-474,1
4072,IRD-479,1
4072,IRD-48,1
4072,IRD-482,1
4072,IRD-49,1
4072,IRD-50,1
4072,IRD-502,1
4072,IRD-518,1
4072,IRD-520,1
4072,IRD-521,1
4072,IRD-528,1
4072,IRD-534,1
4072,IRD-537,1
4072,IRD-544,1
4072,IRD-545,1
4072,IRD-546,1
4072,IRD-547,1
4072,IRD-548,1
4072,IRD-549,1
4072,IRD-550,1
4072,IRD-553,1
4072,IRD-554,1
4072,IRD-555,1
4072,IRD-556,1
4072,IRD-557,1
4072,IRD-558,1
4072,IRD-561,1
4072,IRD-562,1
4072,IRD-563,1
4072,IRD-564,1
4072,IRD-60,1
4072,IRD-67,1
4072,IRD-693,1
4072,IRD-82,1
4072,IRD-85,1
4072,IRD-86,1
4072,IRD-89,1
4072,IRD-91,1
4072,IRD-92,1
4072,IRD-94,1
4072,IRD-95,1
4072,IRD-96,1
4072,IRD-97,1
4072,IRD-98,1
4072,IRD-99,1
4081,IRD-405,4
4081,IRD-456,3
4081,IRD-62,3
4081,IRD-20,2
4081,IRD-285,2
4081,IRD-32,2
4081,IRD-375,2
4081,IRD-418,2
4081,IRD-459,2
4081,IRD-505,2
4081,IRD-63,2
4081,IRD-1,1
4081,IRD-18,1
4081,IRD-19,1
4081,IRD-275,1
4081,IRD-276,1
4081,IRD-290,1
4081,IRD-291,1
4081,IRD-376,1
4081,IRD-379,1
4081,IRD-4,1
4081,IRD-40,1
4081,IRD-406,1
4081,IRD-407,1
4081,IRD-424,1
4081,IRD-431,1
4081,IRD-432,1
4081,IRD-452,1
4081,IRD-453,1
4081,IRD-47,1
4081,IRD-470,1
4081,IRD-471,1
4081,IRD-483,1
4081,IRD-493,1
4081,IRD-507,1
4081,IRD-511,1
4081,IRD-512,1
4081,IRD-524,1
4081,IRD-527,1
4081,IRD-55,1
4081,IRD-69,1
4081,IRD-7,1
4081,IRD-70,1
4081,IRD-71,1
4081,IRD-73,1
4083,IRD-20,1
4083,IRD-275,1
4083,IRD-285,1
4083,IRD-297,1
4083,IRD-452,1
4083,IRD-456,1
4083,IRD-483,1
4083,IRD-505,1
4083,IRD-524,1
4086,IRD-176,1
4086,IRD-179,1
4086,IRD-180,1
4086,IRD-181,1
4086,IRD-182,1
4086,IRD-183,1
4086,IRD-569,1
4086,IRD-570,1
4086,IRD-571,1
4086,IRD-572,1
4086,IRD-584,1
4086,IRD-585,1
4086,IRD-666,1
4087,IRD-661,4
4087,IRD-153,2
4087,IRD-192,2
4087,IRD-253,2
4087,IRD-606,2
4087,IRD-624,2
4087,IRD-191,1
4087,IRD-229,1
4087,IRD-623,1
4087,IRD-653,1
4093,IRD-252,2
4093,IRD-594,2
4093,IRD-659,2
4093,IRD-170,1
4093,IRD-171,1
4093,IRD-172,1
4093,IRD-173,1
4093,IRD-613,1
4093,IRD-614,1
4093,IRD-660,1
4096,IRD-152,10
4096,IRD-604,9
4096,IRD-658,3
4096,IRD-153,2
4096,IRD-176,2
4096,IRD-606,2
4096,IRD-655,2
4096,IRD-150,1
4096,IRD-174,1
4096,IRD-175,1
4096,IRD-177,1
4096,IRD-178,1
4096,IRD-199,1
4096,IRD-251,1
4096,IRD-254,1
4096,IRD-255,1
4096,IRD-266,1
4096,IRD-292,1
4096,IRD-323,1
4096,IRD-346,1
4096,IRD-360,1
4096,IRD-365,1
4096,IRD-39,1
4096,IRD-41,1
4096,IRD-419,1
4096,IRD-428,1
4096,IRD-435,1
4096,IRD-480,1
4096,IRD-522,1
4096,IRD-529,1
4096,IRD-565,1
4096,IRD-566,1
4096,IRD-567,1
4096,IRD-568,1
4096,IRD-582,1
4096,IRD-583,1
4096,IRD-605,1
4096,IRD-620,1
4096,IRD-675,1
4097,IRD-172,6
4097,IRD-596,6
4097,IRD-658,5
4097,IRD-152,4
4097,IRD-153,3
4097,IRD-184,3
4097,IRD-255,3
4097,IRD-595,3
4097,IRD-606,3
4097,IRD-625,3
4097,IRD-626,3
4097,IRD-74,3
4097,IRD-206,2
4097,IRD-207,2
4097,IRD-209,2
4097,IRD-210,2
4097,IRD-254,2
4097,IRD-265,2
4097,IRD-292,2
4097,IRD-346,2
4097,IRD-401,2
4097,IRD-41,2
4097,IRD-419,2
4097,IRD-427,2
4097,IRD-531,2
4097,IRD-586,2
4097,IRD-597,2
4097,IRD-621,2
4097,IRD-655,2
4097,IRD-75,2
4097,IRD-76,2
4097,IRD-201,1
4097,IRD-202,1
4097,IRD-203,1
4097,IRD-204,1
4097,IRD-205,1
4097,IRD-208,1
4097,IRD-242,1
4097,IRD-243,1
4097,IRD-268,1
4097,IRD-321,1
4097,IRD-322,1
4097,IRD-359,1
4097,IRD-360,1
4097,IRD-368,1
4097,IRD-38,1
4097,IRD-402,1
4097,IRD-435,1
4097,IRD-5,1
4097,IRD-501,1
4097,IRD-514,1
4097,IRD-523,1
4097,IRD-529,1
4097,IRD-530,1
4097,IRD-532,1
4097,IRD-573,1
4097,IRD-578,1
4097,IRD-598,1
4097,IRD-599,1
4097,IRD-6,1
4097,IRD-601,1
4097,IRD-602,1
4097,IRD-603,1
4097,IRD-620,1
4097,IRD-622,1
4097,IRD-627,1
4097,IRD-628,1
4097,IRD-632,1
4097,IRD-653,1
4097,IRD-656,1
4100,IRD-211,1
4100,IRD-230,1
4100,IRD-261,1
4100,IRD-449,1
4100,IRD-640,1
4100,IRD-654,1
4100,IRD-669,1
4108,IRD-249,1
4108,IRD-26,1
4108,IRD-278,1
4108,IRD-34,1
4108,IRD-426,1
4108,IRD-434,1
4108,IRD-437,1
4108,IRD-467,1
4108,IRD-475,1
4108,IRD-496,1
4108,IRD-498,1
4108,IRD-58,1
4108,IRD-691,1
4111,IRD-51,1
4112,IRD-3,2
4112,IRD-516,2
4112,IRD-2,1
4112,IRD-264,1
4112,IRD-272,1
4112,IRD-299,1
4112,IRD-409,1
4112,IRD-455,1
4112,IRD-458,1
4112,IRD-515,1
4112,IRD-526,1
4113,IRD-467,9
4113,IRD-689,6
4113,IRD-240,4
4113,IRD-237,3
4113,IRD-248,3
4113,IRD-25,3
4113,IRD-488,3
4113,IRD-496,3
4113,IRD-56,3
4113,IRD-58,3
4113,IRD-13,2
4113,IRD-23,2
4113,IRD-239,2
4113,IRD-24,2
4113,IRD-297,2
4113,IRD-341,2
4113,IRD-378,2
4113,IRD-464,2
4113,IRD-465,2
4113,IRD-466,2
4113,IRD-485,2
4113,IRD-489,2
4113,IRD-494,2
4113,IRD-495,2
4113,IRD-499,2
4113,IRD-500,2
4113,IRD-52,2
4113,IRD-57,2
4113,IRD-690,2
4113,IRD-151,1
4113,IRD-16,1
4113,IRD-21,1
4113,IRD-22,1
4113,IRD-238,1
4113,IRD-247,1
4113,IRD-250,1
4113,IRD-27,1
4113,IRD-274,1
4113,IRD-278,1
4113,IRD-279,1
4113,IRD-286,1
4113,IRD-298,1
4113,IRD-31,1
4113,IRD-320,1
4113,IRD-33,1
4113,IRD-340,1
4113,IRD-342,1
4113,IRD-380,1
4113,IRD-403,1
4113,IRD-411,1
4113,IRD-413,1
4113,IRD-417,1
4113,IRD-425,1
4113,IRD-429,1
4113,IRD-430,1
4113,IRD-433,1
4113,IRD-437,1
4113,IRD-442,1
4113,IRD-443,1
4113,IRD-454,1
4113,IRD-46,1
4113,IRD-468,1
4113,IRD-469,1
4113,IRD-470,1
4113,IRD-475,1
4113,IRD-476,1
4113,IRD-478,1
4113,IRD-481,1
4113,IRD-484,1
4113,IRD-490,1
4113,IRD-497,1
4113,IRD-504,1
4113,IRD-525,1
4113,IRD-53,1
4113,IRD-54,1
4113,IRD-59,1
4113,IRD-64,1
4113,IRD-65,1
4113,IRD-66,1
4113,IRD-8,1
4113,IRD-9,1
4146,IRD-17,1
4155,IRD-300,1
4529,IRD-387,1
4533,IRD-386,1
4536,IRD-387,1
4537,IRD-382,1
4538,IRD-387,1
4540,IRD-364,1
4555,IRD-362,1
4555,IRD-363,1
4556,IRD-363,1
4558,IRD-373,1
4558,IRD-394,1
4558,IRD-396,1
4565,IRD-329,1
4565,IRD-331,1
4565,IRD-400,1
4567,IRD-331,1
4572,IRD-329,1
4577,IRD-390,1
4577,IRD-391,1
4615,IRD-336,1
4615,IRD-337,1
13443,IRD-367,1
13443,IRD-680,1
15368,IRD-397,1
22663,IRD-327,1
28930,IRD-313,1
29760,IRD-308,1
33114,IRD-559,2
33114,IRD-11,1
33114,IRD-119,1
33114,IRD-133,1
33114,IRD-140,1
33114,IRD-142,1
