DomainID,OrganismID,OrganismID
IRD-1,4081,1
IRD-10,4072,1
IRD-10,80379,1
IRD-100,4072,1
IRD-101,4072,1
IRD-102,4072,1
IRD-103,4072,6
IRD-104,4072,1
IRD-105,4072,1
IRD-106,4072,1
IRD-107,4072,1
IRD-108,4072,2
IRD-109,4072,1
IRD-11,33114,1
IRD-110,4072,1
IRD-111,4072,1
IRD-112,4072,1
IRD-113,4072,1
IRD-114,4072,1
IRD-115,4072,1
IRD-116,4072,1
IRD-117,4072,1
IRD-118,4072,1
IRD-119,33114,1
IRD-12,4072,5
IRD-120,4072,1
IRD-121,4072,13
IRD-122,4072,18
IRD-122,80379,1
IRD-123,4072,1
IRD-124,4072,1
IRD-125,4072,1
IRD-126,4072,1
IRD-127,4072,1
IRD-128,4072,1
IRD-129,4072,1
IRD-13,4113,2
IRD-130,4072,1
IRD-131,80379,1
IRD-132,4072,1
IRD-133,4072,38
IRD-133,33114,1
IRD-134,80379,1
IRD-135,4072,1
IRD-136,4072,1
IRD-137,4072,1
IRD-138,4072,1
IRD-139,4072,1
IRD-14,4072,1
IRD-14,80379,1
IRD-140,33114,1
IRD-141,4072,1
IRD-142,33114,1
IRD-143,4072,10
IRD-143,80379,1
IRD-144,33114,1
IRD-145,4072,1
IRD-146,4072,1
IRD-147,4072,1
IRD-148,4072,1
IRD-149,4072,1
IRD-15,4072,1
IRD-150,4096,1
IRD-151,4113,1
IRD-152,4096,10
IRD-152,4097,4
IRD-153,4097,3
IRD-153,4087,2
IRD-153,4096,2
IRD-154,200316,2
IRD-155,200316,2
IRD-156,200316,2
IRD-157,200316,2
IRD-158,200316,2
IRD-159,200316,2
IRD-16,4113,1
IRD-160,35889,2
IRD-161,35889,2
IRD-162,35889,2
IRD-163,35889,2
IRD-164,35889,2
IRD-165,49451,4
IRD-166,49451,4
IRD-167,49451,1
IRD-168,49451,2
IRD-169,49451,3
IRD-169,200315,1
IRD-17,4146,1
IRD-170,4093,1
IRD-171,4093,1
IRD-172,4097,6
IRD-172,4093,1
IRD-173,4093,1
IRD-174,4096,1
IRD-175,4096,1
IRD-176,4096,2
IRD-176,4086,1
IRD-176,49451,1
IRD-176,200301,1
IRD-177,4096,1
IRD-178,4096,1
IRD-179,4086,1
IRD-18,4081,1
IRD-180,4086,1
IRD-181,4086,1
IRD-182,4086,1
IRD-183,4086,1
IRD-184,4097,3
IRD-185,81866,1
IRD-185,278839,1
IRD-186,81866,1
IRD-186,278839,1
IRD-187,81866,1
IRD-188,81866,1
IRD-189,278839,2
IRD-189,81866,1
IRD-19,4081,1
IRD-190,278839,1
IRD-191,4087,1
IRD-192,4087,2
IRD-193,200315,1
IRD-194,200315,1
IRD-195,200315,1
IRD-196,118704,1
IRD-196,200315,1
IRD-197,118704,1
IRD-198,118704,1
IRD-199,4096,1
IRD-199,118704,1
IRD-2,4112,1
IRD-20,4081,2
IRD-20,4083,1
IRD-200,118704,1
IRD-201,4097,1
IRD-202,4097,1
IRD-203,4097,1
IRD-204,4097,1
IRD-205,4097,1
IRD-206,4097,2
IRD-207,4097,2
IRD-208,4097,1
IRD-209,4097,2
IRD-21,4113,1
IRD-210,4097,2
IRD-211,4100,1
IRD-211,118709,1
IRD-211,118712,1
IRD-211,200306,1
IRD-212,200306,1
IRD-213,200306,1
