linkerID,Linker,Type
L-1,DPRNP,1
L-2,GPKNP,1
L-3,DPKNP,1
L-4,DPRNS,1
L-5,DPNNP,1
L-6,DLRNP,1
L-7,DPTNP,1
L-8,DPNHP,1
L-9,GPNNP,1
L-10,DPNTP,1
L-11,DNNHG,1
L-12,DPNSP,1
L-13,DPKKP,1
L-14,HPKNP,1
L-15,HPNNP,1
L-16,DPRKP,1
L-17,NPENP,1
L-18,DLKNP,1
L-19,DPNNS,1
L-20,DPINP,1
L-21,DPKRP,1
L-22,DPKEGP,1
L-23,DPRKT,1
L-24,ESDEP,1
L-25,EEKKN,2
L-26,EEKKD,2
L-27,EEKNN,2
L-28,EKKDN,2
L-29,EEKDN,2
L-30,EKEDN,2
L-31,KEKDN,2
L-32,EAKKN,2
L-33,EGNAE,2
L-34,EETKN,2
L-35,EGNTE,2
L-36,ETKRI,2
L-37,EENAE,2
L-38,GGNAE,2
L-39,KEKKN,2
L-40,EEKKT,2
L-41,QEKKN,2
L-42,EASAE,2
L-43,EEKTN,2
L-44,EGSAE,2
L-45,EGSPR,2
L-46,EGSPK,2
L-47,EGSPE,2
L-48,EGSPL,2
L-49,EGSPQ,2
L-50,EEDKN,2
L-51,EGGAE,2
L-52,EGSPT,2
L-53,EGSAK,2
L-54,QGSPQ,2
L-55,GLVKI,2
L-56,GDEQI,2
L-57,EGNVE,2
L-58,EKDNN,2
L-59,QRNAK,2
L-60,EETQK,2
L-61,EEKKS,2
L-62,EISNK,2
L-63,EISNE,2
L-64,KISNK,2
L-65,GNKKF,2
L-66,ETKRV,2
L-67,QGETL,2
L-68,GLAKI,2
L-69,GGNTL,2
L-70,RGKTL,2
L-71,GLAKL,2
L-72,GGNTI,2
L-73,GSTKL,2
L-74,GGKTF,2
L-75,EGKTI,2
L-76,GRNTI,2
L-77,EGNRV,2
L-78,EGETI,2
