Taxon,Mnemonic,Scientific name,Common name,Synonym,Other Names,Reviewed,Rank,Lineage,Parent,Virus hosts,Organism,Genus,Species,Solanaceae
52838,MUSBA,Musa balbisiana,Banana,,Balbis banana; Musa BB Group; Musa balbisiana Colla; Musa sp. 'Pisang klutuk'; starchy banana,annotated,Species,Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; Liliopsida; Zingiberales; Musaceae; Musa,4640.0,,Musa balbisiana (Banana),Musa,balbisiana,0
38414,,Eragrostis curvula,weeping love grass,,Boer love grass; Eragrostis curvula (Schrad.) Nees,annotated,Species,Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; Liliopsida; Poales; Poaceae; PACMAD clade; Chloridoideae; Eragrostideae; Eragrostidinae; Eragrostis,38413.0,,Eragrostis curvula (weeping love grass),Eragrostis,curvula,0
15368,BRADI,Brachypodium distachyon,Purple false brome,Trachynia distachya,Brachypodium distachyon (L.) P.Beauv.; annual false brome; false brome; stiff brome,reviewed,Species,Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; Liliopsida; Poales; Poaceae; BOP clade; Pooideae; Brachypodieae; Brachypodium,15367.0,,Brachypodium distachyon (Purple false brome) (Trachynia distachya),Brachypodium,distachyon,0
1088818,,Apostasia shenzhenica,,,Apostasia shenzhenense; Apostasia shenzhenica Z.J.Liu & L.J.Chen,annotated,Species,Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; Liliopsida; Asparagales; Orchidaceae; Apostasioideae; Apostasia,49693.0,,Apostasia shenzhenica,Apostasia,shenzhenica,0
906689,,Dendrobium catenatum,,,"Dendrobium catenatum Lindl., 1830",annotated,Species,Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; Liliopsida; Asparagales; Orchidaceae; Epidendroideae; Malaxideae; Dendrobiinae; Dendrobium,37818.0,,Dendrobium catenatum,Dendrobium,catenatum,0
542762,,Camellia sinensis var. sinensis,,,Camelllia sinensis var. sinensis,annotated,Varietas,Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; asterids; Ericales; Theaceae; Camellia,4442.0,,Camellia sinensis var. sinensis,Camellia,sinensis,0
33113,ATRBE,Atropa belladonna,Belladonna,Deadly nightshade,Atropa belladonna L.,reviewed,Species,Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; asterids; lamiids; Solanales; Solanaceae; Solanoideae; Hyoscyameae; Atropa,24609.0,,Atropa belladonna (Belladonna) (Deadly nightshade),Atropa,belladonna,1
4081,SOLLC,Solanum lycopersicum,Tomato,Lycopersicon esculentum,Lycopersicon esculentum Mill.; Lycopersicon esculentum var. esculentum; Lycopersicon lycopersicum; Lycopersicum esculentum; Solanum esculentum; Solanum esculentum Dunal; Solanum lycopersicon; Solanum lycopersicum L.; Solanum lycopersicum var. humboldtii,reviewed,Species,Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; asterids; lamiids; Solanales; Solanaceae; Solanoideae; Solaneae; Solanum; Lycopersicon,49274.0,,Solanum lycopersicum (Tomato) (Lycopersicon esculentum),Solanum,lycopersicum,1
4072,CAPAN,Capsicum annuum,Bell pepper,,Capsicum annum; Capsicum annuum L.; Capsicum capsicum; Capsicum sp. HD-HW; Capsicum sp. JYM-2013,reviewed,Species,Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; asterids; lamiids; Solanales; Solanaceae; Solanoideae; Capsiceae; Capsicum,4071.0,,Capsicum annuum (Capsicum pepper),Capsicum,annuum,1
33114,CAPBA,Capsicum baccatum,Peruvian pepper,,Capsicum bacatum; Capsicum baccatum L.,reviewed,Species,Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; asterids; lamiids; Solanales; Solanaceae; Solanoideae; Capsiceae; Capsicum,4071.0,,Capsicum baccatum (Peruvian pepper),Capsicum,baccatum,1
4108,SOLCH,Solanum chacoense,Chaco potato,,Solanum chacoense Bitter,reviewed,Species,Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; asterids; lamiids; Solanales; Solanaceae; Solanoideae; Solaneae; Solanum,4107.0,,Solanum chacoense (Chaco potato),Solanum,chacoense,1
4093,NICRU,Nicotiana rustica,Aztec tobacco,,Nicotiana rustica L.; wild tobacco,reviewed,Species,Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; asterids; lamiids; Solanales; Solanaceae; Nicotianoideae; Nicotianeae; Nicotiana,4085.0,,Nicotiana rustica (Aztec tobacco),Nicotiana,rustica,1
4096,NICSY,Nicotiana sylvestris,Wood tobacco,South American tobacco,Nicotiana sylvestris Speg. & Comes,reviewed,Species,Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; asterids; lamiids; Solanales; Solanaceae; Nicotianoideae; Nicotianeae; Nicotiana,4085.0,,Nicotiana sylvestris (Wood tobacco) (South American tobacco),Nicotiana,sylvestris,1
80379,CAPCH,Capsicum chinense,Scotch bonnet,Bonnet pepper,Capsicum chinense Jacq.; habanero; piri piri; rocotillo,reviewed,Species,Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; asterids; lamiids; Solanales; Solanaceae; Solanoideae; Capsiceae; Capsicum,4071.0,,Capsicum chinense (Scotch bonnet) (Bonnet pepper),Capsicum,chinense,1
4111,SOLME,Solanum melongena,Eggplant,Aubergine,Solanum melongena L.; brinjal,reviewed,Species,Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; asterids; lamiids; Solanales; Solanaceae; Solanoideae; Solaneae; Solanum,4107.0,,Solanum melongena (Eggplant) (Aubergine),Solanum,melongena,1
4097,TOBAC,Nicotiana tabacum,Common tobacco,,American tobacco; Nicotania tabacum; Nicotiana tabacum L.; Nicotiana tabacum var. Samsun; tobacco,reviewed,Species,Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; asterids; lamiids; Solanales; Solanaceae; Nicotianoideae; Nicotianeae; Nicotiana,4085.0,,Nicotiana tabacum (Common tobacco),Nicotiana,tabacum,1
4100,NICBE,Nicotiana benthamiana,,,Nicotiana benthamania; Nicotiana benthamiana Domin,reviewed,Species,Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; asterids; lamiids; Solanales; Solanaceae; Nicotianoideae; Nicotianeae; Nicotiana,4085.0,,Nicotiana benthamiana,Nicotiana,benthamiana,1
4112,SOLNI,Solanum nigrum,Black nightshade,,Solanum niger; Solanum nigrum L.,reviewed,Species,Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; asterids; lamiids; Solanales; Solanaceae; Solanoideae; Solaneae; Solanum,4107.0,,Solanum nigrum (Black nightshade),Solanum,nigrum,1
35889,NICGU,Nicotiana glutinosa,Tobacco,,Nicotiana glutinosa L.,reviewed,Species,Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; asterids; lamiids; Solanales; Solanaceae; Nicotianoideae; Nicotianeae; Nicotiana,4085.0,,Nicotiana glutinosa (Tobacco),Nicotiana,glutinosa,1
49451,NICAT,Nicotiana attenuata,Coyote tobacco,,Nicotiana attenuata Torr. ex S.Watson,reviewed,Species,Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; asterids; lamiids; Solanales; Solanaceae; Nicotianoideae; Nicotianeae; Nicotiana,4085.0,,Nicotiana attenuata (Coyote tobacco),Nicotiana,attenuata,1
4113,SOLTU,Solanum tuberosum,Potato,,Solanum tuberosum L.; Solanum tuberosum subsp. tuberosum; potatoes,reviewed,Species,Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; asterids; lamiids; Solanales; Solanaceae; Solanoideae; Solaneae; Solanum,4107.0,,Solanum tuberosum (Potato),Solanum,tuberosum,1
76336,,Nicotiana repanda,,,Nicotiana repanda Willd. ex Lehm.,annotated,Species,Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; asterids; lamiids; Solanales; Solanaceae; Nicotianoideae; Nicotianeae; Nicotiana,4085.0,,Nicotiana repanda,Nicotiana,repanda,1
81866,NICCL,Nicotiana clevelandii,Wild tobacco,,Nicotiana clevelandii A.Gray,reviewed,Species,Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; asterids; lamiids; Solanales; Solanaceae; Nicotianoideae; Nicotianeae; Nicotiana,4085.0,,Nicotiana clevelandii (Wild tobacco),Nicotiana,clevelandii,1
118690,,Nicotiana cavicola,,,Nicotiana cavicola N.T.Burb.,annotated,Species,Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; asterids; lamiids; Solanales; Solanaceae; Nicotianoideae; Nicotianeae; Nicotiana,4085.0,,Nicotiana cavicola,Nicotiana,cavicola,1
118701,,Nicotiana linearis,,,Nicotiana linearis Phil.,annotated,Species,Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; asterids; lamiids; Solanales; Solanaceae; Nicotianoideae; Nicotianeae; Nicotiana,4085.0,,Nicotiana linearis,Nicotiana,linearis,1
118703,,Nicotiana megalosiphon,,,Nicotiana megalosiphon Van Heurck & Muell.Arg.,annotated,Species,Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; asterids; lamiids; Solanales; Solanaceae; Nicotianoideae; Nicotianeae; Nicotiana,4085.0,,Nicotiana megalosiphon,Nicotiana,megalosiphon,1
118704,,Nicotiana miersii,,,Nicotiana miersii J.Remy,annotated,Species,Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; asterids; lamiids; Solanales; Solanaceae; Nicotianoideae; Nicotianeae; Nicotiana,4085.0,,Nicotiana miersii,Nicotiana,miersii,1
118709,,Nicotiana simulans,,,Nicotiana simulans N.T.Burb.,annotated,Species,Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; asterids; lamiids; Solanales; Solanaceae; Nicotianoideae; Nicotianeae; Nicotiana,4085.0,,Nicotiana simulans,Nicotiana,simulans,1
118712,,Nicotiana umbratica,,,Nicotiana umbratica N.T.Burb.,annotated,Species,Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; asterids; lamiids; Solanales; Solanaceae; Nicotianoideae; Nicotianeae; Nicotiana,4085.0,,Nicotiana umbratica,Nicotiana,umbratica,1
109975,SOLAR,Solanum americanum,American black nightshade,Solanum nodiflorum,Solanum americanum Mill.,annotated,Species,Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; asterids; lamiids; Solanales; Solanaceae; Solanoideae; Solaneae; Solanum,4107.0,,Solanum americanum (American black nightshade) (Solanum nodiflorum),Solanum,americanum,1
200300,,Nicotiana spegazzinii,,,Nicotiana spegazzinii Millan,annotated,Species,Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; asterids; lamiids; Solanales; Solanaceae; Nicotianoideae; Nicotianeae; Nicotiana,4085.0,,Nicotiana spegazzinii,Nicotiana,spegazzinii,1
200301,,Nicotiana corymbosa,,,Nicotiana corymbosa J.Remy,annotated,Species,Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; asterids; lamiids; Solanales; Solanaceae; Nicotianoideae; Nicotianeae; Nicotiana,4085.0,,Nicotiana corymbosa,Nicotiana,corymbosa,1
200306,,Nicotiana occidentalis subsp. hesperis,,,Nicotiana hesperis; Nicotiana hesperis N.T.Burb.; Nicotiana occidentalis subsp. hesperis (N.T.Burb.) P.Horton,annotated,Subspecies,Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; asterids; lamiids; Solanales; Solanaceae; Nicotianoideae; Nicotianeae; Nicotiana,200313.0,,Nicotiana occidentalis subsp. hesperis,Nicotiana,occidentalis,1
200315,,Nicotiana pauciflora,,,Nicotiana pauciflora J.Remy,annotated,Species,Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; asterids; lamiids; Solanales; Solanaceae; Nicotianoideae; Nicotianeae; Nicotiana,4085.0,,Nicotiana pauciflora,Nicotiana,pauciflora,1
200316,,Nicotiana obtusifolia,,,Nicotiana obtusifolia M.Martens & Galeotti,annotated,Species,Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; asterids; lamiids; Solanales; Solanaceae; Nicotianoideae; Nicotianeae; Nicotiana,4085.0,,Nicotiana obtusifolia,Nicotiana,obtusifolia,1
172790,,Solanum phureja,,,Solanum phureja Juz. & Bukasov; chaucha; phureja,annotated,Species,Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; asterids; lamiids; Solanales; Solanaceae; Solanoideae; Solaneae; Solanum,4107.0,,Solanum phureja,Solanum,phureja,1
278839,,Nicotiana quadrivalvis,,,Nicotiana quadrivalvis Pursh,annotated,Species,Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; asterids; lamiids; Solanales; Solanaceae; Nicotianoideae; Nicotianeae; Nicotiana,4085.0,,Nicotiana quadrivalvis,Nicotiana,quadrivalvis,1
4086,NICAC,Nicotiana acuminata,Acuminate tobacco,,Nicotiana acuminata (Graham) Hook.,reviewed,Species,Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; asterids; lamiids; Solanales; Solanaceae; Nicotianoideae; Nicotianeae; Nicotiana,4085.0,,Nicotiana acuminata (Acuminate tobacco),Nicotiana,acuminata,1
