,DomainID,OrganismID,Genus,Organism,C
0,IRD-62,4081,Solanum,Solanum lycopersicum (Tomato) (Lycopersicon esculentum),8
1,IRD-405,4081,Solanum,Solanum lycopersicum (Tomato) (Lycopersicon esculentum),8
2,IRD-456,4081,Solanum,Solanum lycopersicum (Tomato) (Lycopersicon esculentum),8
3,IRD-54,4113,Solanum,Solanum tuberosum (Potato),7
4,IRD-56,4113,Solanum,Solanum tuberosum (Potato),8
5,IRD-478,4113,Solanum,Solanum tuberosum (Potato),8
6,IRD-496,4113,Solanum,Solanum tuberosum (Potato),8
7,IRD-51,4111,Solanum,Solanum melongena (Eggplant) (Aubergine),8
8,IRD-491,4072,Capsicum,Capsicum annuum (Capsicum pepper),8
9,IRD-250,4113,Solanum,Solanum tuberosum (Potato),8
10,IRD-499,4113,Solanum,Solanum tuberosum (Potato),8
11,IRD-133,4072,Capsicum,Capsicum annuum (Capsicum pepper),8
12,IRD-18,4081,Solanum,Solanum lycopersicum (Tomato) (Lycopersicon esculentum),8
13,IRD-19,4081,Solanum,Solanum lycopersicum (Tomato) (Lycopersicon esculentum),8
14,IRD-375,4081,Solanum,Solanum lycopersicum (Tomato) (Lycopersicon esculentum),8
15,IRD-376,4081,Solanum,Solanum lycopersicum (Tomato) (Lycopersicon esculentum),8
16,IRD-20,4081,Solanum,Solanum lycopersicum (Tomato) (Lycopersicon esculentum),8
17,IRD-276,4081,Solanum,Solanum lycopersicum (Tomato) (Lycopersicon esculentum),7
18,IRD-418,4081,Solanum,Solanum lycopersicum (Tomato) (Lycopersicon esculentum),8
19,IRD-471,4081,Solanum,Solanum lycopersicum (Tomato) (Lycopersicon esculentum),8
20,IRD-505,4081,Solanum,Solanum lycopersicum (Tomato) (Lycopersicon esculentum),8
21,IRD-41,4097,Nicotiana,Nicotiana tabacum (Common tobacco),8
22,IRD-265,4097,Nicotiana,Nicotiana tabacum (Common tobacco),8
23,IRD-292,4097,Nicotiana,Nicotiana tabacum (Common tobacco),8
24,IRD-419,4097,Nicotiana,Nicotiana tabacum (Common tobacco),8
25,IRD-427,4097,Nicotiana,Nicotiana tabacum (Common tobacco),8
26,IRD-16,4113,Solanum,Solanum tuberosum (Potato),8
27,IRD-59,4113,Solanum,Solanum tuberosum (Potato),8
28,IRD-497,4113,Solanum,Solanum tuberosum (Potato),8
29,IRD-9,4113,Solanum,Solanum tuberosum (Potato),7
30,IRD-46,4113,Solanum,Solanum tuberosum (Potato),7
31,IRD-464,4113,Solanum,Solanum tuberosum (Potato),8
32,IRD-484,4113,Solanum,Solanum tuberosum (Potato),8
33,IRD-248,4113,Solanum,Solanum tuberosum (Potato),8
34,IRD-52,4113,Solanum,Solanum tuberosum (Potato),8
35,IRD-467,4113,Solanum,Solanum tuberosum (Potato),8
36,IRD-485,4113,Solanum,Solanum tuberosum (Potato),8
37,IRD-121,4072,Capsicum,Capsicum annuum (Capsicum pepper),8
38,IRD-122,4072,Capsicum,Capsicum annuum (Capsicum pepper),8
39,IRD-143,4072,Capsicum,Capsicum annuum (Capsicum pepper),8
40,IRD-444,4072,Capsicum,Capsicum annuum (Capsicum pepper),8
41,IRD-551,4072,Capsicum,Capsicum annuum (Capsicum pepper),8
42,IRD-240,4113,Solanum,Solanum tuberosum (Potato),8
43,IRD-346,4097,Nicotiana,Nicotiana tabacum (Common tobacco),8
44,IRD-307,3702,Arabidopsis,Arabidopsis thaliana (Mouse-ear cress),8
45,IRD-1,4081,Solanum,Solanum lycopersicum (Tomato) (Lycopersicon esculentum),8
46,IRD-7,4081,Solanum,Solanum lycopersicum (Tomato) (Lycopersicon esculentum),8
47,IRD-47,4081,Solanum,Solanum lycopersicum (Tomato) (Lycopersicon esculentum),8
48,IRD-71,4081,Solanum,Solanum lycopersicum (Tomato) (Lycopersicon esculentum),7
49,IRD-511,4081,Solanum,Solanum lycopersicum (Tomato) (Lycopersicon esculentum),8
50,IRD-512,4081,Solanum,Solanum lycopersicum (Tomato) (Lycopersicon esculentum),8
51,IRD-527,4081,Solanum,Solanum lycopersicum (Tomato) (Lycopersicon esculentum),8
52,IRD-391,4577,Zea,Zea mays (Maize),8
53,IRD-313,28930,Fagus,Fagus sylvatica (Beechnut),7
54,IRD-311,109376,Brassica,Brassica oleracea var. oleracea,8
55,IRD-78,4072,Capsicum,Capsicum annuum (Capsicum pepper),8
56,IRD-540,4072,Capsicum,Capsicum annuum (Capsicum pepper),8
57,IRD-364,1504633,Panicum,Panicum hallii var. hallii,8
58,IRD-680,49390,Coffea,Coffea canephora (Robusta coffee),8
59,IRD-394,4558,Sorghum,Sorghum bicolor (Sorghum) (Sorghum vulgare),8
60,IRD-93,33114,Capsicum,Capsicum baccatum (Peruvian pepper),8
61,IRD-133,33114,Capsicum,Capsicum baccatum (Peruvian pepper),8
62,IRD-140,33114,Capsicum,Capsicum baccatum (Peruvian pepper),8
63,IRD-559,33114,Capsicum,Capsicum baccatum (Peruvian pepper),8
64,IRD-373,4558,Sorghum,Sorghum bicolor (Sorghum) (Sorghum vulgare),8
65,IRD-400,4565,Triticum,Triticum aestivum (Wheat),8
66,IRD-11,33114,Capsicum,Capsicum baccatum (Peruvian pepper),8
67,IRD-119,33114,Capsicum,Capsicum baccatum (Peruvian pepper),8
68,IRD-410,33114,Capsicum,Capsicum baccatum (Peruvian pepper),8
69,IRD-451,33114,Capsicum,Capsicum baccatum (Peruvian pepper),8
70,IRD-517,33114,Capsicum,Capsicum baccatum (Peruvian pepper),8
71,IRD-393,3562,Spinacia,Spinacia oleracea (Spinach),8
72,IRD-347,33114,Capsicum,Capsicum baccatum (Peruvian pepper),8
73,IRD-396,4558,Sorghum,Sorghum bicolor (Sorghum) (Sorghum vulgare),8
74,IRD-679,429701,Handroanthus,Handroanthus impetiginosus,8
75,IRD-377,33114,Capsicum,Capsicum baccatum (Peruvian pepper),8
76,IRD-678,429701,Handroanthus,Handroanthus impetiginosus,8
77,IRD-84,4072,Capsicum,Capsicum annuum (Capsicum pepper),8
78,IRD-109,4072,Capsicum,Capsicum annuum (Capsicum pepper),8
79,IRD-141,4072,Capsicum,Capsicum annuum (Capsicum pepper),8
80,IRD-528,4072,Capsicum,Capsicum annuum (Capsicum pepper),8
81,IRD-536,4072,Capsicum,Capsicum annuum (Capsicum pepper),8
82,IRD-12,4072,Capsicum,Capsicum annuum (Capsicum pepper),8
83,IRD-232,4072,Capsicum,Capsicum annuum (Capsicum pepper),8
84,IRD-412,4072,Capsicum,Capsicum annuum (Capsicum pepper),8
85,IRD-451,4072,Capsicum,Capsicum annuum (Capsicum pepper),8
86,IRD-519,4072,Capsicum,Capsicum annuum (Capsicum pepper),8
87,IRD-90,4072,Capsicum,Capsicum annuum (Capsicum pepper),8
88,IRD-560,4072,Capsicum,Capsicum annuum (Capsicum pepper),8
89,IRD-174,4096,Nicotiana,Nicotiana sylvestris (Wood tobacco) (South American tobacco),8
90,IRD-175,4096,Nicotiana,Nicotiana sylvestris (Wood tobacco) (South American tobacco),8
91,IRD-176,4096,Nicotiana,Nicotiana sylvestris (Wood tobacco) (South American tobacco),8
92,IRD-177,4096,Nicotiana,Nicotiana sylvestris (Wood tobacco) (South American tobacco),8
93,IRD-178,4096,Nicotiana,Nicotiana sylvestris (Wood tobacco) (South American tobacco),8
94,IRD-565,4096,Nicotiana,Nicotiana sylvestris (Wood tobacco) (South American tobacco),8
95,IRD-566,4096,Nicotiana,Nicotiana sylvestris (Wood tobacco) (South American tobacco),8
96,IRD-567,4096,Nicotiana,Nicotiana sylvestris (Wood tobacco) (South American tobacco),8
97,IRD-568,4096,Nicotiana,Nicotiana sylvestris (Wood tobacco) (South American tobacco),8
