Sequence,LinkerID,Occurrences
A0A023UDB8,L-3,2
A0A023UDB8,L-47,1
A0A075EZT7,L-24,1
A0A075EZT7,L-3,1
A0A075EZT7,L-55,1
A0A075EZT7,L-78,1
A0A097H1A1,L-3,2
A0A097H1A1,L-47,1
A0A097H1D6,L-13,1
A0A097H1D6,L-47,1
A0A097J9B6,L-5,3
A0A097J9B6,L-33,2
A0A097J9C0,L-33,2
A0A097J9C0,L-5,2
A0A097J9C1,L-5,3
A0A097J9C1,L-33,2
A0A097J9C5,L-5,3
A0A097J9C5,L-33,2
A0A097J9C9,L-3,1
A0A097J9C9,L-44,1
A0A097J9C9,L-67,1
A0A097J9C9,L-68,1
A0A097J9D1,L-5,1
A0A097J9D3,L-5,3
A0A097J9D3,L-33,1
A0A097J9D3,L-37,1
A0A097J9D4,L-3,1
A0A097J9D4,L-44,1
A0A097J9D4,L-67,1
A0A097J9D4,L-68,1
A0A097J9D5,L-3,1
A0A097J9D5,L-44,1
A0A097J9D5,L-67,1
A0A097J9D5,L-68,1
A0A097J9D6,L-5,1
A0A097J9D7,L-33,2
A0A097J9D7,L-5,2
A0A097J9D7,L-9,1
A0A097J9D8,L-3,1
A0A097J9D8,L-44,1
A0A097J9D8,L-67,1
A0A097J9D8,L-68,1
A0A0V0GWC2,L-73,1
A0A0V0GWC2,L-77,1
A0A0V0GZD4,L-13,1
A0A0V0GZD4,L-47,1
A0A0V0H1C2,L-1,1
A0A0V0H1C2,L-47,1
A0A0V0HBN9,L-3,1
A0A1J6J0L2,L-25,5
A0A1J6J0L2,L-1,4
A0A1J6JJ91,L-24,1
A0A1J6JJ91,L-3,1
A0A1J6JJ91,L-55,1
A0A1J6JJ91,L-78,1
A0A1J6JY14,L-56,1
A0A1S3YL26,L-56,1
A0A1S3YTB5,L-56,1
A0A1S3YZT7,L-1,5
A0A1S3YZT7,L-26,3
A0A1S3YZT7,L-25,1
A0A1S3YZT7,L-31,1
A0A1S3YZT7,L-39,1
A0A1S3Z2Q3,L-65,2
A0A1S4A0N1,L-1,5
A0A1S4A0N1,L-26,2
A0A1S4A0N1,L-27,1
A0A1S4A0N1,L-29,1
A0A1S4A0N1,L-30,1
A0A1S4A0N1,L-50,1
A0A1S4BIG0,L-65,2
A0A1S4CNP7,L-1,3
A0A1S4CNP7,L-26,3
A0A1S4CNP7,L-25,2
A0A1S4CNP7,L-4,2
A0A1S4CNR9,L-1,3
A0A1S4CNR9,L-25,3
A0A1S4CNR9,L-26,3
A0A1S4CNR9,L-4,2
A0A1S4CPA1,L-1,3
A0A1S4CPA1,L-25,3
A0A1S4CPA1,L-26,3
A0A1S4CPA1,L-4,3
A0A1U7VHX6,L-65,2
A0A1U7WDA6,L-25,11
A0A1U7WDA6,L-1,10
A0A1U7XB93,L-24,1
A0A1U7XB93,L-3,1
A0A1U7XB93,L-55,1
A0A1U7XB93,L-78,1
A0A1U7XTK4,L-1,2
A0A1U7XTK4,L-25,1
A0A1U7XTK4,L-39,1
A0A1U7Y2F0,L-1,6
A0A1U7Y2F0,L-27,2
A0A1U7Y2F0,L-28,2
A0A1U7Y2F0,L-29,2
A0A1U7Y2F0,L-25,1
A0A1U7YPZ0,L-56,1
A0A1U8FXN6,L-3,1
A0A1U8FXN6,L-44,1
A0A1U8FXN6,L-67,1
A0A1U8FXN6,L-68,1
A0A1U8G7B9,L-5,3
A0A1U8G7B9,L-33,2
A0A1U8GFH5,L-23,1
A0A1U8GFH5,L-73,1
A0A1U8GFH5,L-76,1
A0A1U8GHX6,L-16,1
A0A1U8GHX6,L-46,1
A0A1U8GHX6,L-75,1
A0A1X9QDN7,L-13,1
A0A1X9QDN7,L-47,1
A0A1X9QDN8,L-3,1
A0A1X9QDP2,L-3,1
A0A1X9QDP7,L-13,1
A0A1X9QDP7,L-47,1
A0A2G2V3L6,L-44,1
A0A2G2V3L6,L-5,1
A0A2G2V3L6,L-67,1
A0A2G2V3L6,L-68,1
A0A2G2V3L7,L-42,2
A0A2G2V3L7,L-5,2
A0A2G2V3L7,L-3,1
A0A2G2V3L7,L-33,1
A0A2G2V3L7,L-8,1
A0A2G2X8Q0,L-16,1
A0A2G2X8Q0,L-46,1
A0A2G2X8Q0,L-75,1
A0A2G2X8T6,L-22,1
A0A2G2X8T6,L-53,1
A0A2G2X8V0,L-5,3
A0A2G2X8V0,L-33,2
A0A2G2XU31,L-3,1
A0A2G2XU31,L-44,1
A0A2G2XU31,L-67,1
A0A2G2XU31,L-68,1
A0A2G3A0S4,L-5,5
A0A2G3A0S4,L-33,4
A0A2G3A0S4,L-42,1
A0A2G3A0S4,L-8,1
A0A2G3A0T9,L-16,1
A0A2G3A0T9,L-46,1
A0A2G3A0T9,L-75,1
A0A2G3A0U2,L-5,3
A0A2G3A0U2,L-33,1
A0A2G3A0U2,L-37,1
A0A2G3A0X2,L-23,1
A0A2G3A0X2,L-72,1
A0A2G3A0X2,L-73,1
A0A2G3AT01,L-3,1
A0A2G3AT01,L-67,1
A0A2G3AT01,L-68,1
A0A2G3AT14,L-3,2
A0A2G3AT14,L-33,1
A0A2G3AT14,L-35,1
A0A2G3AT14,L-42,1
A0A2G3AT14,L-5,1
A0A2G3AT14,L-8,1
A0A2G3AT15,L-5,1
A0A2G3AW40,L-23,1
A0A2G3AW40,L-72,1
A0A2G3AW40,L-73,1
A0A2G3AW51,L-16,1
A0A2G3AW51,L-46,1
A0A2G3AW51,L-75,1
A0A2G3AW63,L-5,4
A0A2G3AW63,L-33,2
A0A2G3AW63,L-42,1
A0A2G3AW67,L-22,1
A0A2G3AW67,L-53,1
A0A3Q7FEG3,L-16,1
A0A3Q7FEG3,L-24,1
A0A3Q7FEG3,L-54,1
A0A3Q7FEG3,L-71,1
A0A3Q7FEG3,L-74,1
A0A3Q7FEJ3,L-16,1
A0A3Q7FEJ3,L-45,1
A0A3Q7FH03,L-13,1
A0A3Q7FH03,L-54,1
A0A3Q7FH03,L-74,1
A0A3Q7FH23,L-16,1
A0A3Q7FH23,L-46,1
A0A3Q7FH27,L-3,1
A0A3Q7FH27,L-47,1
A0A3Q7FH27,L-71,1
A0A3Q7FH27,L-75,1
A0A3Q7IU74,L-64,2
A0A3Q7IU74,L-11,1
A0A3Q7IU74,L-62,1
B3F0C1,L-1,5
B3F0C1,L-26,2
B3F0C1,L-27,1
B3F0C1,L-29,1
B3F0C1,L-30,1
B3F0C1,L-50,1
D2CGQ2,L-5,2
D2CGQ2,L-33,1
D2CGT3,L-5,2
D2CGT3,L-33,1
D2CGT4,L-5,2
D2CGT4,L-33,1
D2CGT5,L-5,2
D2CGT5,L-33,1
D2CGT6,L-5,2
D2CGT6,L-33,1
D2CGT7,L-5,2
D2CGT7,L-33,1
D2CGT8,L-42,1
D2CGT8,L-5,1
D2CGT8,L-8,1
