LinkerID,Sequences,Occurrences
L-1,A0A1U7WDA6,10
L-1,A0A1U7Y2F0,6
L-1,Q1WL36,6
L-1,Q1WL38,6
L-1,Q84LJ9,6
L-1,A0A1S3YZT7,5
L-1,A0A1S4A0N1,5
L-1,B3F0C1,5
L-1,Q1WL29,5
L-1,Q1WL30,5
L-1,Q1WL31,5
L-1,Q1WL35,5
L-1,Q1WL39,5
L-1,Q1WL43,5
L-1,Q1WL44,5
L-1,Q1WL49,5
L-1,Q2XVY5,5
L-1,Q5YLI5,5
L-1,A0A1J6J0L2,4
L-1,Q1WL40,4
L-1,Q1WL45,4
L-1,Q1WL46,4
L-1,Q1WL47,4
L-1,Q1WL48,4
L-1,A0A1S4CNP7,3
L-1,A0A1S4CNR9,3
L-1,A0A1S4CPA1,3
L-1,Q1WL42,3
L-1,Q1WL50,3
L-1,Q3SBE6,3
L-1,Q40378,3
L-1,Q6H238,3
L-1,A0A1U7XTK4,2
L-1,Q1WL41,2
L-1,Q9SDW7,2
L-1,Q9SDW8,2
L-1,Q9SQ77,2
L-1,A0A0V0H1C2,1
L-1,E9JGS8,1
L-1,M1B8F7,1
L-1,M1D0E9,1
L-1,Q1WL37,1
L-1,Q1WL51,1
L-1,Q7M1P5,1
L-1,Q8W2K6,1
L-10,T1PZK2,1
L-11,A0A3Q7IU74,1
L-12,T1PZ88,1
L-13,A0A097H1D6,1
L-13,A0A0V0GZD4,1
L-13,A0A1X9QDN7,1
L-13,A0A1X9QDP7,1
L-13,A0A3Q7FH03,1
L-13,J7ENS8,1
L-13,J7EQ13,1
L-13,J7EQ14,1
L-13,M1B8F8,1
L-13,O82735,1
L-13,P01080,1
L-13,P84813,1
L-13,Q3S483,1
L-13,Q3S485,1
L-13,Q41488,1
L-14,Q00782,1
L-15,Q9M514,1
L-16,A0A1U8GHX6,1
L-16,A0A2G2X8Q0,1
L-16,A0A2G3A0T9,1
L-16,A0A2G3AW51,1
L-16,A0A3Q7FEG3,1
L-16,A0A3Q7FEJ3,1
L-16,A0A3Q7FH23,1
L-16,M1B8F7,1
L-16,M1DJV3,1
L-17,P01078,1
L-18,Q43652,1
L-19,T1PZK4,1
L-2,Q9SDW8,3
L-2,Q9SDW7,1
L-20,Q1WL31,1
L-20,Q1WL35,1
L-21,I3QHF0,1
L-21,I3QHF1,1
L-21,I6Q7H6,1
L-21,P05119,1
L-21,Q6H3X6,1
L-22,A0A2G2X8T6,1
L-22,A0A2G3AW67,1
L-23,A0A1U8GFH5,1
L-23,A0A2G3A0X2,1
L-23,A0A2G3AW40,1
L-24,A0A075EZT7,1
L-24,A0A1J6JJ91,1
L-24,A0A1U7XB93,1
L-24,A0A3Q7FEG3,1
L-24,Q40561,1
L-25,A0A1U7WDA6,11
L-25,Q84LJ9,7
L-25,Q1WL39,6
L-25,Q1WL43,6
L-25,Q1WL44,6
L-25,Q2XVY5,6
L-25,Q40378,6
L-25,Q5YLI5,6
L-25,A0A1J6J0L2,5
L-25,Q1WL31,5
L-25,Q1WL35,5
L-25,Q1WL36,5
L-25,Q1WL40,5
L-25,Q1WL46,5
L-25,Q1WL49,5
L-25,Q1WL47,4
L-25,Q3SBE6,4
L-25,Q9SDW8,4
L-25,Q9SQ77,4
L-25,A0A1S4CNR9,3
L-25,A0A1S4CPA1,3
L-25,Q1WL29,3
L-25,Q1WL30,3
L-25,Q1WL41,3
L-25,Q1WL45,3
L-25,Q1WL48,3
L-25,Q1WL50,3
L-25,A0A1S4CNP7,2
L-25,Q1WL42,2
L-25,Q1WL51,2
L-25,Q9SDW7,2
L-25,A0A1S3YZT7,1
L-25,A0A1U7XTK4,1
L-25,A0A1U7Y2F0,1
L-25,Q1WL37,1
L-25,Q1WL38,1
L-26,A0A1S3YZT7,3
L-26,A0A1S4CNP7,3
L-26,A0A1S4CNR9,3
L-26,A0A1S4CPA1,3
L-26,Q1WL31,3
L-26,Q1WL35,3
L-26,A0A1S4A0N1,2
L-26,B3F0C1,2
L-26,Q1WL29,2
L-26,Q1WL30,2
L-26,Q1WL36,2
L-27,Q9SDW7,3
L-27,Q9SDW8,3
L-27,A0A1U7Y2F0,2
L-27,Q1WL38,2
L-27,Q6H238,2
L-27,A0A1S4A0N1,1
L-27,B3F0C1,1
L-27,Q1WL41,1
L-27,Q1WL42,1
L-28,A0A1U7Y2F0,2
L-29,Q1WL38,4
L-29,A0A1U7Y2F0,2
L-29,A0A1S4A0N1,1
L-29,B3F0C1,1
L-29,Q1WL29,1
L-29,Q1WL30,1
L-29,Q1WL37,1
L-29,Q6H238,1
L-3,A0A023UDB8,2
L-3,A0A097H1A1,2
L-3,A0A2G3AT14,2
L-3,J7EN94,2
L-3,Q40378,2
L-3,Q9SDW7,2
L-3,Q9SDW8,2
L-3,A0A075EZT7,1
L-3,A0A097J9C9,1
L-3,A0A097J9D4,1
L-3,A0A097J9D5,1
L-3,A0A097J9D8,1
L-3,A0A0V0HBN9,1
L-3,A0A1J6JJ91,1
L-3,A0A1U7XB93,1
L-3,A0A1U8FXN6,1
L-3,A0A1X9QDN8,1
L-3,A0A1X9QDP2,1
L-3,A0A2G2V3L7,1
L-3,A0A2G2XU31,1
L-3,A0A2G3AT01,1
L-3,A0A3Q7FH27,1
L-3,J7EN93,1
L-3,J7EQ45,1
L-3,J7EQ46,1
L-3,M0ZZR6,1
L-3,M1B8F9,1
L-3,P01079,1
L-3,Q1WL31,1
