UniprotID,RclID,RclID
A0A022Q5A4,RL-27,1
A0A023UDB8,RL-1,3
A0A023UDB8,RL-9,1
A0A059BUH3,RL-41,1
A0A059PYZ4,RL-58,1
A0A059Q2U6,RL-61,1
A0A067L586,RL-27,1
A0A068UQ46,RL-33,1
A0A068UQG0,RL-41,1
A0A068UQV4,RL-33,1
A0A068UQY4,RL-52,1
A0A068VJU5,RL-53,1
A0A072UHW5,RL-12,1
A0A075EZT7,RL-12,2
A0A075EZT7,RL-24,2
A0A075EZT7,RL-10,1
A0A097H191,RL-13,2
A0A097H193,RL-13,2
A0A097H1A1,RL-1,3
A0A097H1A1,RL-9,1
A0A097H1D1,RL-13,2
A0A097H1D6,RL-1,2
A0A097H1D6,RL-9,1
A0A097J9B6,RL-1,3
A0A097J9B6,RL-6,2
A0A097J9C0,RL-1,2
A0A097J9C0,RL-6,2
A0A097J9C1,RL-6,4
A0A097J9C1,RL-1,1
A0A097J9C5,RL-1,3
A0A097J9C5,RL-6,2
A0A097J9C9,RL-1,2
A0A097J9C9,RL-9,2
A0A097J9C9,RL-4,1
A0A097J9D1,RL-3,1
A0A097J9D3,RL-1,3
A0A097J9D3,RL-6,2
A0A097J9D4,RL-1,2
A0A097J9D4,RL-9,2
A0A097J9D4,RL-4,1
A0A097J9D5,RL-1,2
A0A097J9D5,RL-9,2
A0A097J9D5,RL-4,1
A0A097J9D6,RL-1,1
A0A097J9D7,RL-6,4
A0A097J9D7,RL-1,1
A0A097J9D8,RL-1,2
A0A097J9D8,RL-9,2
A0A097J9D8,RL-4,1
A0A0D3APY5,RL-27,1
A0A0D3FNQ1,RL-12,1
A0A0D9VYN1,RL-12,1
A0A0D9VYN2,RL-12,1
A0A0D9ZCR1,RL-12,1
A0A0E0D682,RL-12,1
A0A0E0GTG1,RL-12,1
A0A0E0KIP4,RL-12,1
A0A0E0P0X3,RL-12,1
A0A0K9S2T0,RL-12,1
A0A0V0GNA2,RL-13,2
A0A0V0GWC2,RL-20,2
A0A0V0GWC2,RL-11,1
A0A0V0GZD4,RL-2,2
A0A0V0GZD4,RL-9,1
A0A0V0H1C2,RL-50,2
A0A0V0H1C2,RL-17,1
A0A0V0HBN9,RL-2,2
A0A166GCC0,RL-57,1
A0A199UJF1,RL-33,1
A0A199W8X6,RL-33,1
A0A1B6Q2N4,RL-27,1
A0A1E5UMZ8,RL-12,1
A0A1E5UNA0,RL-27,1
A0A1E5VFG3,RL-33,1
A0A1J3DYX7,RL-27,1
A0A1J3G2U3,RL-27,1
A0A1J3HRR4,RL-27,1
A0A1J3ILC6,RL-27,1
A0A1J6J0L2,RL-1,9
A0A1J6JJ91,RL-12,2
A0A1J6JJ91,RL-24,2
A0A1J6JJ91,RL-10,1
A0A1J6JY14,RL-37,1
A0A1J6KQH3,RL-43,1
A0A1S2Z6Q3,RL-39,1
A0A1S3X5H6,RL-54,1
A0A1S3XF39,RL-43,1
A0A1S3Y6L6,RL-30,1
A0A1S3YL26,RL-37,1
A0A1S3YTB5,RL-37,1
A0A1S3YZT7,RL-1,6
A0A1S3YZT7,RL-2,4
A0A1S3YZT7,RL-5,1
A0A1S3Z2Q3,RL-32,2
A0A1S3Z2Q3,RL-5,2
A0A1S3Z2Q3,RL-1,1
A0A1S3Z2Q3,RL-30,1
A0A1S3ZJX9,RL-43,1
A0A1S4A0N1,RL-1,10
A0A1S4A0N1,RL-5,1
A0A1S4BIG0,RL-1,2
A0A1S4BIG0,RL-30,1
A0A1S4CNP7,RL-1,10
A0A1S4CNR9,RL-1,11
A0A1S4CPA1,RL-1,12
A0A1S4DR24,RL-30,1
A0A1U7VHX6,RL-32,2
A0A1U7VHX6,RL-1,1
A0A1U7VHX6,RL-30,1
A0A1U7VLC3,RL-51,1
A0A1U7WDA6,RL-1,18
A0A1U7WDA6,RL-3,2
A0A1U7WDA6,RL-2,1
A0A1U7XB93,RL-12,2
A0A1U7XB93,RL-24,2
A0A1U7XB93,RL-10,1
A0A1U7XBN8,RL-30,1
A0A1U7XKN6,RL-43,1
A0A1U7XTK4,RL-1,4
A0A1U7Y2F0,RL-1,12
A0A1U7Y2F0,RL-45,1
A0A1U7YPZ0,RL-37,1
A0A1U8FAF4,RL-22,1
A0A1U8FJ97,RL-1,1
A0A1U8FXN6,RL-1,2
A0A1U8FXN6,RL-9,2
A0A1U8FXN6,RL-4,1
A0A1U8G7B9,RL-1,3
A0A1U8G7B9,RL-6,2
A0A1U8GFH5,RL-25,2
A0A1U8GFH5,RL-9,2
A0A1U8GFH5,RL-19,1
A0A1U8GHX6,RL-1,2
A0A1U8GHX6,RL-18,2
A0A1U8GHX6,RL-10,1
A0A1U8H7N7,RL-12,1
A0A1U8HFR9,RL-36,1
A0A1U8HFS2,RL-38,1
A0A1X9QDN7,RL-2,2
A0A1X9QDN7,RL-9,1
A0A1X9QDN8,RL-1,2
A0A1X9QDP2,RL-2,2
A0A1X9QDP7,RL-14,2
A0A1X9QDP7,RL-9,1
A0A218XK76,RL-33,1
A0A251RIY1,RL-33,1
A0A287GT10,RL-33,1
A0A2C9U1Z6,RL-27,1
A0A2C9U386,RL-27,1
A0A2G2V3L6,RL-1,2
A0A2G2V3L6,RL-9,2
A0A2G2V3L6,RL-4,1
A0A2G2V3L7,RL-1,2
A0A2G2V3L7,RL-31,2
A0A2G2V3L7,RL-9,2
A0A2G2V3L7,RL-11,1
A0A2G2WDG3,RL-12,1
A0A2G2WK73,RL-36,1
A0A2G2WK87,RL-38,1
A0A2G2WK91,RL-43,1
A0A2G2WK98,RL-40,1
A0A2G2WX27,RL-37,1
A0A2G2X8Q0,RL-18,2
A0A2G2X8Q0,RL-47,2
A0A2G2X8Q0,RL-10,1
A0A2G2X8T6,RL-21,2
A0A2G2X8T6,RL-29,2
A0A2G2X8T6,RL-10,1
A0A2G2X8V0,RL-6,4
