DomainID,UniprotID,UniprotID
IRD-1,A0A3Q7IU74,1
IRD-10,A0A2G2XU31,1
IRD-10,A0A2G3AT01,1
IRD-100,T1PZ73,1
IRD-101,T1PZK0,1
IRD-102,T1PZ65,1
IRD-103,T1PZ68,1
IRD-103,T1PZ72,1
IRD-103,T1PZ90,1
IRD-103,T1PZF2,1
IRD-103,T1PZJ7,1
IRD-103,T1PZK4,1
IRD-104,T1PZ75,1
IRD-105,Q9SDL4,1
IRD-106,Q9SDL4,1
IRD-107,T1PZK2,1
IRD-108,T1PZ78,1
IRD-108,T1PZ86,1
IRD-109,A0A2G3A0U2,1
IRD-11,A0A2G2V3L6,1
IRD-110,T1PZ90,1
IRD-111,T1PZF8,1
IRD-112,T1PZF7,1
IRD-113,T1PZF7,1
IRD-114,T1PZB6,1
IRD-115,T1PZF9,1
IRD-116,Q4U5Z3,1
IRD-117,T1PZK4,1
IRD-118,D2CGT6,1
IRD-119,A0A2G2V3L6,1
IRD-12,A0A097J9C9,1
IRD-12,A0A097J9D4,1
IRD-12,A0A097J9D5,1
IRD-12,A0A097J9D8,1
IRD-12,A0A1U8FXN6,1
IRD-120,Q9M514,1
IRD-121,A0A2G3A0S4,1
IRD-121,D2CGT3,1
IRD-121,D2CGT8,1
IRD-121,O49146,1
IRD-121,Q4U5Z5,1
IRD-121,Q4ZIQ2,1
IRD-121,Q4ZIQ4,1
IRD-121,Q4ZIQ5,1
IRD-121,T1PZ63,1
IRD-121,T1PZB4,1
IRD-121,T1PZF6,1
IRD-121,T1PZF9,1
IRD-121,T1PZJ8,1
IRD-122,A0A2G3A0S4,2
IRD-122,A0A2G3AT14,1
IRD-122,O49146,1
IRD-122,Q4U5Z5,1
IRD-122,Q4ZIQ2,1
IRD-122,Q4ZIQ3,1
IRD-122,Q4ZIQ5,1
IRD-122,T1PZ65,1
IRD-122,T1PZ68,1
IRD-122,T1PZ72,1
IRD-122,T1PZ75,1
IRD-122,T1PZ78,1
IRD-122,T1PZ86,1
IRD-122,T1PZ90,1
IRD-122,T1PZB2,1
IRD-122,T1PZB6,1
IRD-122,T1PZF2,1
IRD-122,T1PZF7,1
IRD-123,A0A2G3A0S4,1
IRD-124,Q4ZIQ4,1
IRD-125,T1PZF6,1
IRD-126,T1PZF8,1
IRD-127,T1PZJ7,1
IRD-128,T1PZ88,1
IRD-129,T1PZB0,1
IRD-13,M0ZZR6,1
IRD-13,M1B8F8,1
IRD-130,T1PZJ5,1
IRD-131,A0A2G3AT15,1
IRD-132,A0A097J9D1,1
IRD-133,A0A097J9C1,2
IRD-133,Q4U5Z3,2
IRD-133,Q4Z8K3,2
IRD-133,Q4ZIQ6,2
IRD-133,T1PZK0,2
IRD-133,A0A097J9B6,1
IRD-133,A0A097J9C5,1
IRD-133,A0A097J9D3,1
IRD-133,A0A097J9D7,1
IRD-133,A0A1U8G7B9,1
IRD-133,A0A2G2X8V0,1
IRD-133,D2CGQ2,1
IRD-133,D2CGT6,1
IRD-133,P56615,1
IRD-133,Q4Z8K2,1
IRD-133,Q4ZIQ3,1
IRD-133,Q9SDL4,1
IRD-133,T1PZ64,1
IRD-133,T1PZ73,1
IRD-133,T1PZ76,1
IRD-133,T1PZ85,1
IRD-133,T1PZ91,1
IRD-133,T1PZA9,1
IRD-133,T1PZB1,1
IRD-133,T1PZB3,1
IRD-133,T1PZB4,1
IRD-133,T1PZB5,1
IRD-133,T1PZE6,1
IRD-133,T1PZE8,1
IRD-133,T1PZF0,1
IRD-133,T1PZF5,1
IRD-133,T1PZJ8,1
IRD-133,T1PZK7,1
IRD-133,T1PZL0,1
IRD-134,A0A2G3AW63,1
IRD-135,Q4U5Z4,1
IRD-136,T1PZB7,1
IRD-137,A0A097J9C0,1
IRD-138,A0A097J9D7,1
IRD-139,T1PZK2,1
IRD-14,A0A1U8GFH5,1
IRD-14,A0A2G3AW40,1
IRD-140,A0A2G2X8V0,1
IRD-141,A0A2G3A0U2,1
