RclID,UniprotID,UniprotID
RL-1,A0A1U7WDA6,18
RL-1,Q1WL31,13
RL-1,Q1WL35,13
RL-1,Q84LJ9,13
RL-1,Q9SDW8,13
RL-1,A0A1S4CPA1,12
RL-1,A0A1U7Y2F0,12
RL-1,Q1WL38,12
RL-1,A0A1S4CNR9,11
RL-1,Q1WL29,11
RL-1,Q1WL30,11
RL-1,Q5YLI5,11
RL-1,A0A1S4A0N1,10
RL-1,A0A1S4CNP7,10
RL-1,Q1WL39,10
RL-1,Q1WL40,10
RL-1,Q6H238,10
RL-1,A0A1J6J0L2,9
RL-1,Q1WL42,9
RL-1,Q9SDW7,9
RL-1,B3F0C1,8
RL-1,Q1WL36,8
RL-1,Q40378,8
RL-1,Q1WL41,7
RL-1,A0A1S3YZT7,6
RL-1,Q1WL43,6
RL-1,Q1WL44,6
RL-1,Q1WL46,6
RL-1,Q1WL47,6
RL-1,Q1WL48,6
RL-1,Q1WL49,6
RL-1,Q2XVY5,6
RL-1,A0A2G3AW63,5
RL-1,T1PZ64,5
RL-1,T1PZ85,5
RL-1,T1PZ89,5
RL-1,A0A1U7XTK4,4
RL-1,A0A3Q7IU74,4
RL-1,E9JGT1,4
RL-1,Q1WL50,4
RL-1,Q3SBE6,4
RL-1,Q9SQ77,4
RL-1,A0A023UDB8,3
RL-1,A0A097H1A1,3
RL-1,A0A097J9B6,3
RL-1,A0A097J9C5,3
RL-1,A0A097J9D3,3
RL-1,A0A1U8G7B9,3
RL-1,A0A2G3A0U2,3
RL-1,D2CGT4,3
RL-1,D2CGT5,3
RL-1,D2CGT7,3
RL-1,D2CH22,3
RL-1,J7EN94,3
RL-1,Q4U5Z4,3
RL-1,Q4Z8K2,3
RL-1,Q7M222,3
RL-1,Q9M514,3
RL-1,Q9SDL4,3
RL-1,T1PZ65,3
RL-1,T1PZ68,3
RL-1,T1PZ72,3
RL-1,T1PZ73,3
RL-1,T1PZ75,3
RL-1,T1PZ76,3
RL-1,T1PZ78,3
RL-1,T1PZ86,3
RL-1,T1PZ90,3
RL-1,T1PZ91,3
RL-1,T1PZB1,3
RL-1,T1PZB2,3
RL-1,T1PZB3,3
RL-1,T1PZB4,3
RL-1,T1PZB5,3
RL-1,T1PZB6,3
RL-1,T1PZB7,3
RL-1,T1PZF0,3
RL-1,T1PZF2,3
RL-1,T1PZF5,3
RL-1,T1PZF7,3
RL-1,T1PZF8,3
RL-1,T1PZF9,3
RL-1,T1PZK2,3
RL-1,T1PZK4,3
RL-1,T1PZK7,3
RL-1,T1PZL0,3
RL-1,A0A097H1D6,2
RL-1,A0A097J9C0,2
RL-1,A0A097J9C9,2
RL-1,A0A097J9D4,2
RL-1,A0A097J9D5,2
RL-1,A0A097J9D8,2
RL-1,A0A1S4BIG0,2
RL-1,A0A1U8FXN6,2
RL-1,A0A1U8GHX6,2
RL-1,A0A1X9QDN8,2
